ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,assigned_labels
2068792,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Time Pressure; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,2068792,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Taxi,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,Have submitted report. Bio hazard found by Flight Attendants behind last row of seats in economy. Plane had already pushed back from the gate. Crew voiced concerns about the finding and I held conversation with Captain about crew concerns. Captain initiated a conversation with operations; and I went to the rear of the plane to investigate the situation further. The biohazard bag had not been closed so I put on gloves and carefully looked  inside. The contents were soiled; linens; wipes; and the dustpan from the large bag. After discussion with the crew; we agreed that we were happy to put the bag into a sealed container as we knew what the contents were. I returned to door; and reported my findings to the Captain and also of the conversation amongst the crew. Had the bag being sealed and tied it was agreed amongst the crew that none of us were happy or comfortable; taking the bag on a flight due to security concerns; and we would have wanted to have had the bag removed. This situation could have been avoided had there been more time to do a thorough cleaning of the aircraft and for the flight attendants to do their thorough checks before passengers; started boarding,,,,Air carrier Flight Attendant reported notifying the Captain of a 'Bio hazard' container of soiled linen during departure taxi. The crew sealed the bag and the flight continued to destination.,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.","safety related, crew-related issues, operational issues, health and medical issues, between attendant and crew"
2100755,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Confusion; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2100755,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security,,,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors; Procedure,Human Factors,There was a security breach incident. I feel like the company's policy regarding electronic devices containing lithium-ion batteries and spare lithium-ion batteries was not clear or fully understood by ask of the employees involved in this incident and the confusion contributed to the security breach. I also believe the agents were overzealous in enforcing the carry-on policy and the bag in question should have never been gate checked.,,,,Air carrier Flight Attendant reported a safety concern regarding the company's handling of gate checked bags that contain spare lithium-ion batteries and electronics with lithium-ion batteries.,"The incident arose from a security breach involving a gate-checked bag containing spare lithium-ion batteries. The flight attendant cited unclear company policies on lithium-ion batteries and excessive enforcement of carry-on policies by ground personnel as contributing factors. The flight attendant suggested that such bags should not be gate-checked, underscoring the importance of improved guidelines and staff training to prevent future breaches.","lithium batteries, training, communication issues, between attendant and crew"
2102491,Aircraft X,General Seating Area,Air Carrier,Off Duty,Flight Attendant Current,,,Communication Breakdown; Fatigue,Party1 Flight Attendant; Party2 Flight Attendant,2102491,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Human Factors; Aircraft,Human Factors,"The captain advised via PA that there was an issue with landing gear and instructed the crew to perform a Prep for Land Evacuation demonstration. At no time was the entertainment system switched off prior to; during or following the demonstration. Once the demonstration was complete I went to the aft galley; where only 3 FAs (Flight Attendants) sit; and offered to be a 4th FA and sit at jump seat  and assume FA #8. I was in uniform and willing to assist. A short while later the Purser came to the back galley and informed me that she only wanted working"" FAs to be involved and asked that I return to my seat in the cabin. As the aircraft approached the runway there was no command from the Flight Deck to assume the demonstrated brace positions which made something of a mockery of performing an evacuation demonstration. After landing and deplaning the DHD (Deadhead) FAs were then converted to work the sector departing some 5 hours later at XA50 landing in ZZZZ airport at XK33; meaning extreme fatigue ensued due to being awake for approx. 27 hours prior to landing. The operating Pilots and FAs were released from duty following the incident yet the DHD crew onboard were not afforded the same courtesy even though they had less hours available to them and had experienced the same situation.""",,,,An off-duty Flight Attendant reported while dead heading the aircraft had an issue with the landing gear and offered to assist with safety procedures but was denied.,"The incident involved an off-duty Flight Attendant (Party1) who attempted to assist during a safety procedure on a flight. The aircraft experienced an issue with the landing gear, prompting the captain to conduct a preparation for land evacuation demonstration. During this time, Party1, who was in uniform and seated in the cabin, volunteered to assist by taking on the role of FA #8 at the jump seat in the aft galley. However, the Purser (Party2) denied this offer, instructing Party1 to return to their seat in the cabin, stating that only working Flight Attendants should be involved in the safety procedure. After landing, the off-duty Flight Attendants (deadhead crew) were reassigned to work the next departing flight, which caused significant fatigue due to being awake for approximately 27 hours. This decision was particularly challenging because the deadhead crew had less time available compared to the on-duty crew, who were subsequently released from their duties. The inconsistency in treatment and the denial of assistance led to frustration among the deadhead crew, who felt their efforts and well-being were overlooked despite being part of the same incident. A proposed solution is to ensure fair treatment and consideration for all crew members, including those deadheading, in such situations.","safety related, crew-related issues, operational issues, between attendant and crew"
2119017,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown; Other / Unknown; Troubleshooting,Party1 Flight Attendant; Party2 Ground Personnel,2119017,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Pre-flight; In-flight,,Human Factors; Procedure,Human Factors,A passenger made me aware during boarding that they had placed both a men's electric razor and a camera(s) in their checked luggage and they were concerned that either or both contained lithium batterie(s).At the time; my thought process was that; they may or may not actually be lithium batteries; they were not just 'loose' batteries; and they were housed in a device. Ultimately; I failed to notify either Operations in ZZZ or the Captain. Upon reflection during the flight and; as not to create an 'issue;' I realized that I had failed to handle the situation correctly. In an effort to not continue the risk; upon arrival in ZZZ1; I spoke with the Operations Agent and explained the situation and asked if it could be corrected. The Operations Agent indicated to me that the passenger's bags would be pulled prior to their connecting flight. I then spoke to the passenger(s) and asked them to speak with the Operations Agent. Self-realization that each of us is critically responsible for the safety of our crew; our passengers and our assets. That it is not an issue to stop what is currently happening and address it at the time. To hope that if you do make an error that by handling it at the time; that you will not be perceived differently by the crew. Is it possible that checked baggage be screened for items such as lithium batteries; thereby reducing the factor of human error?,,,,Air carrier Flight Attendant reported failing to notify the appropriate parties before departure after learning about a passenger's checked bag that may have potentially contained lithium batteries. After arriving; the reporter notified an Operations Agent to deal with the bag's contents.,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.","between attendant and passengers, crew-related issues, equipment malfunction, training, operational issues"
2168329,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Time Pressure; Workload,Party1 Flight Attendant; Party2 Ground Personnel,2168329,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors,Human Factors,During boarding I; the B-FA; was talking to someone who tagged a bag; and then made an announcement to make sure that everyone had all laptops and lithium batteries removed from any gate checked tagged bags. Two passengers; the one I was talking to; and another let me know that they had laptops in their bags. I let the A-FA know what was going on so that he could help monitor what was going on; and the passengers went to the front of the plane to retrieve their laptops. I let the CA and Gate Agent know what was going on when I was able to make it to the front of the plane because the passengers had come back down the aisle and said the Ramp person; or someone; had told them the cargo hold was closed and they weren't going to get them. It's my understanding that all laptops and lithium batteries need to be taken out and are unable to go in that cargo area; so that is when I spoke with the Captain and Gate Agent. The Captain said we would wait. The passengers then came back again and said the CA said that it was ok to go due to the size and them being off. I checked with the CA one last time and he deemed it safe. I was not there for the conversation when they declared it safe; so I can only go with the CA telling me it is safe.If something was deemed safe by the CA then I go with that; but just everyone checking bags beforehand; Gate Agents and also ramp crew not saying no due to potentially just not wanting to get the bag. But if it's declared safe; it's declared safe.,,,,ERJ-170 Flight Attendant reported to the Captain and Gate Agent that two passenger bags with laptops that had lithium-ion batteries were mistakenly gate checked in cargo during boarding. The Captain then deemed it safe to not remove as the devices were off and approved gate departure.,"The incident involved a flight attendant (Party1) who identified two gate-checked bags containing laptops with lithium-ion batteries during boarding. The flight attendant informed the other flight attendant and the captain about the situation, as these items are prohibited in cargo holds due to safety regulations. Two passengers confirmed they had laptops in their bags, and they retrieved them after being instructed to do so. However, the passengers reported that ground personnel had initially prevented them from retrieving the laptops, stating the cargo hold was closed. The flight attendant communicated with the captain and gate agent, and the captain eventually deemed the situation safe, allowing the flight to depart. The issue was resolved after the captain's assessment, and the flight proceeded as scheduled.","lithium batteries, between attendant and crew, between attendant and passengers, operational issues"
2172923,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,2172923,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight; Aircraft In Service At Gate; Routine Inspection,Flight Crew Overcame Equipment Problem,Human Factors,Human Factors,Date: ZZZ to ZZZ1Position: B-FA (Flight Attendant)During boarding; passenger on my flight was upset about having to check her bags because she was traveling internationally to ZZZZ. She approached me in the back and insisted there was space for her bag and that she wanted to bring it on board. I suggested she speak to the speak to the A-FA in the front and see if it was possible. Once she went back to the front and saw the ramp agent threw her bag down; she approached me again and began yelling at me demanding an explanation for the other flight attendants refusal. I explained that it's protocol for any tagged bag to be sent to cargo. She returned to her seat after our discussion. It wasn't until we were inflight and I was doing beverage service that I noticed she was filling out a complaint form to company. I saw her writing but I continued with my duties and asked if she wanted anything to drink or a snack. She looked at me; noted my name and requested water. After I finished service; I started to reorganize my galley for the next flight. However; I heard several overhead bins opening simultaneously which concerned me. I discovered that the passenger had opened them and was taking photos of all the empty bins. I needed to prioritize securing my galley so I focused on the safety in the back. Once I finished; I checked to see if the passenger was still standing in the aisle but she had returned to her seat. I called the A-FA to inform her about the passengers actions and we both agreed to notify the Captain. The A-FA also mentioned another issue involving a different passenger who had allegedly checked a bag containing lithium batteries and medication. I then updated the Captain about the upset passenger regarding her checked bag.,,,,Air carrier Flight Attendant reported a passenger misconduct and an unrelated issue of a passenger who allegedly checked a bag with lithium battery. The Captain was notified of both issues with no additional information provided.,"The incident occurred on a flight from ZZZ to ZZZ1, involving a passenger (Party2) and a flight attendant (Party1). The cause was the passenger's refusal to check her bag for an international trip, leading to a confrontation. The process began with the passenger insisting her bag fit in the overhead compartment, which the flight attendant redirected to the front attendant. When the passenger was denied, she became upset, yelled at the flight attendant, and filled out a complaint form during the flight. The result was the passenger opening multiple overhead bins and taking photos, prompting the flight attendant to secure the galley and notify the captain. The captain was informed about both this misconduct and a separate issue involving a passenger's bag with lithium batteries. The proposed solution involved notifying the captain to handle these issues through appropriate channels.","crew-related issues, between attendant and passengers, operational issues, lithium batteries"
2175448,Aircraft X,Door Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,,Distraction; Confusion; Communication Breakdown; Workload; Situational Awareness,Party1 Flight Attendant; Party2 Flight Crew,2175448,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Distraction; Situational Awareness; Workload,,,2175455.0,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Other / Unknown,,,Person Flight Attendant,Aircraft In Service At Gate,General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Human Factors,I had accidentally blew the main cabin door slide. We had been on this aircraft for 3 legs. The second leg was ZZZ1 to ZZZ flight. I had notice the door; closing on a swift swing than a slight click for closure. I was uncomfortable with that and reopened and closed the door. On; the next flight; ZZZ to ZZZ1; we rushed boarding; with a full flight and a jump seater. I had done my drink orders. Boarding was complete and the Captain said it was ok to close the MC (Main Cabin) door. After flight attendant B said cross check; I didn't feel like the MC door had closed completely. So; I asked; the Captain if the flight deck indicator said my door was locked and he replied no. I was thinking I needed to resecure the door. In feeling a time limit; I rushed to open the door it felt heavy and I felt the resistance so I only cracked it before I saw a little part of the grey slide appearing.  I stopped opening  the door and told the captain. The Captain was trying to communicate to the jet bridge driver and calling the necessary people and the jet bridge driver and supervisor did the same.  I noticed the  door was armed; when the airport managers came over and took pictures. The Captain made a PA. Passengers calmly deplaned by 2L door with their belongings and went to the boarding area at the next gate. No one was hurt or injured; When we reached the gate area we were met with  appropriate authorities per procedures. After the debrief  the Captain and I realized that we had a miscommunication about the door. Thankfully;the slide was not fully deployed until the passengers were off the aircraft.,,Boarding had been completed and I was ensuring compliance while waiting for A FA (Flight Attendant) to close door.  After the initial complaint check my A FA made PA to prepare doors for departure and cross check.  I armed the L2 door; verified it was armed and crossed to R2 door and did the same.  I made the PA that cross check was complete and cabin was ready for push back. I picked up demo equipment and started to walk towards the front of cabin when I received a call from A FA; they told me that they blew the L1 slide. Then the captain and airport officials coordinated deplaning from the L2 door. Once air stairs were in place; my disarmed door was opened by a Gate Agent and we deplaned all passengers.,,Flight Attendants reported the A Flight Attendant deployed the escape slide at the gate while attempting to close the main cabin door.,"The incident occurred when a Flight Attendant attempted to close the main cabin door, mistakenly deploying the escape slide. The cause stemmed from the Flight Attendant's concern about the door's closure, which led her to reopen and check it. During this process, the slide deployed. The Flight Crew and airport officials coordinated the safe deplaning of passengers using the L2 door and air stairs. The result was a successful, injury-free evacuation. The debrief highlighted a miscommunication regarding the door status, leading to the incident. No explicit solution was proposed, but the situation was managed effectively, with the crew learning from the miscommunication.","operational issues, communication issues, safety related, between attendant and crew"
2182306,Gate / Ramp / Line,,Air Carrier,Off Duty,Flight Attendant Current,,,Workload; Training / Qualification; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2182306,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Procedure; Human Factors,Human Factors,Traveling in uniform and forced to check flight bag! When I attempted to cite the CFR and REG; the agents became hostile.Cause: Poor training. I WAS able to carry my personal lap top and my daily meds. There were at least 4 other lithium ion batteries the agents forced me to surrender!  These items were placed in the cargo hold! I tried to calmly explain that I was NOT over the carry on allowance AND that there were manuals (EFB) and extra lithium ion batteries in the flight bag!,,,,Air carrier Flight Attendant reported they were required to check their flight bag as cargo due to items containing lithium batteries.,"The incident involved a Flight Attendant and Ground Personnel, with the Flight Attendant being required to check their flight bag due to lithium batteries. The cause was attributed to poor training among the Ground Personnel, leading to the forced surrender of lithium-ion batteries and their placement in the cargo hold. Despite the Flight Attendant's attempt to explain that they were within carry-on limits and that the bag contained necessary manuals, the situation remained unresolved. The summary highlights the conflict arising from regulatory enforcement and the resulting actions taken by the Ground Personnel.","lithium batteries, training, communication issues, between attendant and crew"
1963800,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1963800,Aircraft X,Flight Deck,Air Carrier,Check Pilot; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,,1963322.0,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,General None Reported / Taken,Procedure; Human Factors; Environment - Non Weather Related,Human Factors,On the descent; we encountered wake turbulence. Seat belt sign was on. No PA was made as we were in the descent and was in a critical phase of flight. Flight Attendants did not call me. Upon gate arrival; the Flight Attendants asked 'was that wake turbulence?' I said yes but the seat belt sign was on and; in my opinion; wasn't greater than moderate wake. One Flight Attendant commented that they were in the aisles and they fell down. I asked if anyone was injured or any passengers asked for assistance. She responded no and no injury report was filed. Being in clear air; no reports of turbulence and we were not following a heavy aircraft; makes it nearly impossible to predict wake turbulence. The seat belt sign was on and that did help mitigate any injuries. A call back to the cabin to see if everyone was ok could have been used; but; being in the descent and not receiving a call from them gave me the understanding no injuries were encountered. Upon deplaning was the first time I heard that a flight attendant fell. Once again though; I asked if everyone was ok. She responded yes and no injuries were encountered or reportedBetter communication between cabin and flight crew would have helped. Nobody was hurt; aircraft had no damage and the flight ended routine.,,During descent; we experienced a minor wake turbulence event.  No reports from the Flight Attendants during the descent.  After all passengers disembarked; one of the FA's wanted to ensure that the pilots checked on them after an event like this.  No injuries were reported.ATC [should notify] aircraft if they are following a heavy aircraft; even at altitude.,,A321 flight crew reported the cabin crew was concerned they were not contacted by the pilots to check on their condition after a minor wake turbulence encounter .,"A minor wake turbulence event occurred during the descent of an A321 flight. The flight crew did not contact the cabin crew post-incident, as they were in a critical phase of flight. Following landing, the cabin crew expressed concern about not being contacted. Although no injuries or damage occurred, the cabin crew felt reassurance could have been beneficial. The flight crew suggested improved communication between the cabin and cockpit, and highlighted the need for ATC notifications when following heavy aircraft.","safety related, operational issues, between attendant and crew"
1974967,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1974967,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Passenger Electronic Device; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,,Human Factors; Procedure,Human Factors,Working Aircraft X ZZZ to ZZZ1 as the Forward Flight Attendant. Passenger; Person A; who just happens to also be a non-rev; asked if there are any outlets. I directed to them. Their block was broken so I allowed them to use my charger. As we are inflight I am doing my service and walking and asking my first class passengers if they need anything. Around XA:30 I notice my charger was out of the outlet. Right then shocked me of what I just saw. They were charging their e-cigarette in the outlet. My jaw dropped as to what I just witnessed. They asked if that was okay to charge. And I said absolutely not! They comply and puts it away. My question though if these are rules we have to follow on a daily basis and we hear announcements all the time about this; how did they not think this was okay to do? Furthermore; who to say they haven't done this on any other flights non-revving.,,,,CRJ-900 Flight Attendant reported a non-rev passenger was charging an e-cigarette during the flight. The Flight Attendant directed the passenger to discontinue and the passenger complied.,"The incident occurred on a CRJ-900 flight, involving a forward flight attendant (Party1) and a non-revenue (non-rev) passenger (Party2). During the flight, the passenger requested an outlet and was directed to use one. Later, the flight attendant noticed the passenger charging an e-cigarette in the outlet, which is against airline policies. The flight attendant instructed the passenger to stop, and the passenger complied. The flight attendant expressed surprise that the passenger did not recognize the restriction, given the airline's regular announcements about such rules. No further action was reported beyond the passenger discontinuing the activity.","between attendant and passengers, electronic cigarettes"
