ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2068792,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Time Pressure; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,2068792,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Taxi,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,Have submitted report. Bio hazard found by Flight Attendants behind last row of seats in economy. Plane had already pushed back from the gate. Crew voiced concerns about the finding and I held conversation with Captain about crew concerns. Captain initiated a conversation with operations; and I went to the rear of the plane to investigate the situation further. The biohazard bag had not been closed so I put on gloves and carefully looked  inside. The contents were soiled; linens; wipes; and the dustpan from the large bag. After discussion with the crew; we agreed that we were happy to put the bag into a sealed container as we knew what the contents were. I returned to door; and reported my findings to the Captain and also of the conversation amongst the crew. Had the bag being sealed and tied it was agreed amongst the crew that none of us were happy or comfortable; taking the bag on a flight due to security concerns; and we would have wanted to have had the bag removed. This situation could have been avoided had there been more time to do a thorough cleaning of the aircraft and for the flight attendants to do their thorough checks before passengers; started boarding,,,,Air carrier Flight Attendant reported notifying the Captain of a 'Bio hazard' container of soiled linen during departure taxi. The crew sealed the bag and the flight continued to destination.,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",between attendant and crew
2100755,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Confusion; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2100755,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security,,,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors; Procedure,Human Factors,There was a security breach incident. I feel like the company's policy regarding electronic devices containing lithium-ion batteries and spare lithium-ion batteries was not clear or fully understood by ask of the employees involved in this incident and the confusion contributed to the security breach. I also believe the agents were overzealous in enforcing the carry-on policy and the bag in question should have never been gate checked.,,,,Air carrier Flight Attendant reported a safety concern regarding the company's handling of gate checked bags that contain spare lithium-ion batteries and electronics with lithium-ion batteries.,"The incident arose from a security breach involving a gate-checked bag containing spare lithium-ion batteries. The flight attendant cited unclear company policies on lithium-ion batteries and excessive enforcement of carry-on policies by ground personnel as contributing factors. The flight attendant suggested that such bags should not be gate-checked, underscoring the importance of improved guidelines and staff training to prevent future breaches.",between attendant and crew
2102491,Aircraft X,General Seating Area,Air Carrier,Off Duty,Flight Attendant Current,,,Communication Breakdown; Fatigue,Party1 Flight Attendant; Party2 Flight Attendant,2102491,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Human Factors; Aircraft,Human Factors,"The captain advised via PA that there was an issue with landing gear and instructed the crew to perform a Prep for Land Evacuation demonstration. At no time was the entertainment system switched off prior to; during or following the demonstration. Once the demonstration was complete I went to the aft galley; where only 3 FAs (Flight Attendants) sit; and offered to be a 4th FA and sit at jump seat  and assume FA #8. I was in uniform and willing to assist. A short while later the Purser came to the back galley and informed me that she only wanted working"" FAs to be involved and asked that I return to my seat in the cabin. As the aircraft approached the runway there was no command from the Flight Deck to assume the demonstrated brace positions which made something of a mockery of performing an evacuation demonstration. After landing and deplaning the DHD (Deadhead) FAs were then converted to work the sector departing some 5 hours later at XA50 landing in ZZZZ airport at XK33; meaning extreme fatigue ensued due to being awake for approx. 27 hours prior to landing. The operating Pilots and FAs were released from duty following the incident yet the DHD crew onboard were not afforded the same courtesy even though they had less hours available to them and had experienced the same situation.""",,,,An off-duty Flight Attendant reported while dead heading the aircraft had an issue with the landing gear and offered to assist with safety procedures but was denied.,"The incident involved an off-duty Flight Attendant (Party1) who attempted to assist during a safety procedure on a flight. The aircraft experienced an issue with the landing gear, prompting the captain to conduct a preparation for land evacuation demonstration. During this time, Party1, who was in uniform and seated in the cabin, volunteered to assist by taking on the role of FA #8 at the jump seat in the aft galley. However, the Purser (Party2) denied this offer, instructing Party1 to return to their seat in the cabin, stating that only working Flight Attendants should be involved in the safety procedure. After landing, the off-duty Flight Attendants (deadhead crew) were reassigned to work the next departing flight, which caused significant fatigue due to being awake for approximately 27 hours. This decision was particularly challenging because the deadhead crew had less time available compared to the on-duty crew, who were subsequently released from their duties. The inconsistency in treatment and the denial of assistance led to frustration among the deadhead crew, who felt their efforts and well-being were overlooked despite being part of the same incident. A proposed solution is to ensure fair treatment and consideration for all crew members, including those deadheading, in such situations.",between attendant and crew
2168329,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Time Pressure; Workload,Party1 Flight Attendant; Party2 Ground Personnel,2168329,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors,Human Factors,During boarding I; the B-FA; was talking to someone who tagged a bag; and then made an announcement to make sure that everyone had all laptops and lithium batteries removed from any gate checked tagged bags. Two passengers; the one I was talking to; and another let me know that they had laptops in their bags. I let the A-FA know what was going on so that he could help monitor what was going on; and the passengers went to the front of the plane to retrieve their laptops. I let the CA and Gate Agent know what was going on when I was able to make it to the front of the plane because the passengers had come back down the aisle and said the Ramp person; or someone; had told them the cargo hold was closed and they weren't going to get them. It's my understanding that all laptops and lithium batteries need to be taken out and are unable to go in that cargo area; so that is when I spoke with the Captain and Gate Agent. The Captain said we would wait. The passengers then came back again and said the CA said that it was ok to go due to the size and them being off. I checked with the CA one last time and he deemed it safe. I was not there for the conversation when they declared it safe; so I can only go with the CA telling me it is safe.If something was deemed safe by the CA then I go with that; but just everyone checking bags beforehand; Gate Agents and also ramp crew not saying no due to potentially just not wanting to get the bag. But if it's declared safe; it's declared safe.,,,,ERJ-170 Flight Attendant reported to the Captain and Gate Agent that two passenger bags with laptops that had lithium-ion batteries were mistakenly gate checked in cargo during boarding. The Captain then deemed it safe to not remove as the devices were off and approved gate departure.,"The incident involved a flight attendant (Party1) who identified two gate-checked bags containing laptops with lithium-ion batteries during boarding. The flight attendant informed the other flight attendant and the captain about the situation, as these items are prohibited in cargo holds due to safety regulations. Two passengers confirmed they had laptops in their bags, and they retrieved them after being instructed to do so. However, the passengers reported that ground personnel had initially prevented them from retrieving the laptops, stating the cargo hold was closed. The flight attendant communicated with the captain and gate agent, and the captain eventually deemed the situation safe, allowing the flight to depart. The issue was resolved after the captain's assessment, and the flight proceeded as scheduled.",between attendant and crew
2175448,Aircraft X,Door Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,,Distraction; Confusion; Communication Breakdown; Workload; Situational Awareness,Party1 Flight Attendant; Party2 Flight Crew,2175448,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Distraction; Situational Awareness; Workload,,,2175455.0,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Other / Unknown,,,Person Flight Attendant,Aircraft In Service At Gate,General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Human Factors,I had accidentally blew the main cabin door slide. We had been on this aircraft for 3 legs. The second leg was ZZZ1 to ZZZ flight. I had notice the door; closing on a swift swing than a slight click for closure. I was uncomfortable with that and reopened and closed the door. On; the next flight; ZZZ to ZZZ1; we rushed boarding; with a full flight and a jump seater. I had done my drink orders. Boarding was complete and the Captain said it was ok to close the MC (Main Cabin) door. After flight attendant B said cross check; I didn't feel like the MC door had closed completely. So; I asked; the Captain if the flight deck indicator said my door was locked and he replied no. I was thinking I needed to resecure the door. In feeling a time limit; I rushed to open the door it felt heavy and I felt the resistance so I only cracked it before I saw a little part of the grey slide appearing.  I stopped opening  the door and told the captain. The Captain was trying to communicate to the jet bridge driver and calling the necessary people and the jet bridge driver and supervisor did the same.  I noticed the  door was armed; when the airport managers came over and took pictures. The Captain made a PA. Passengers calmly deplaned by 2L door with their belongings and went to the boarding area at the next gate. No one was hurt or injured; When we reached the gate area we were met with  appropriate authorities per procedures. After the debrief  the Captain and I realized that we had a miscommunication about the door. Thankfully;the slide was not fully deployed until the passengers were off the aircraft.,,Boarding had been completed and I was ensuring compliance while waiting for A FA (Flight Attendant) to close door.  After the initial complaint check my A FA made PA to prepare doors for departure and cross check.  I armed the L2 door; verified it was armed and crossed to R2 door and did the same.  I made the PA that cross check was complete and cabin was ready for push back. I picked up demo equipment and started to walk towards the front of cabin when I received a call from A FA; they told me that they blew the L1 slide. Then the captain and airport officials coordinated deplaning from the L2 door. Once air stairs were in place; my disarmed door was opened by a Gate Agent and we deplaned all passengers.,,Flight Attendants reported the A Flight Attendant deployed the escape slide at the gate while attempting to close the main cabin door.,"The incident occurred when a Flight Attendant attempted to close the main cabin door, mistakenly deploying the escape slide. The cause stemmed from the Flight Attendant's concern about the door's closure, which led her to reopen and check it. During this process, the slide deployed. The Flight Crew and airport officials coordinated the safe deplaning of passengers using the L2 door and air stairs. The result was a successful, injury-free evacuation. The debrief highlighted a miscommunication regarding the door status, leading to the incident. No explicit solution was proposed, but the situation was managed effectively, with the crew learning from the miscommunication.",between attendant and crew
2182306,Gate / Ramp / Line,,Air Carrier,Off Duty,Flight Attendant Current,,,Workload; Training / Qualification; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2182306,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Procedure; Human Factors,Human Factors,Traveling in uniform and forced to check flight bag! When I attempted to cite the CFR and REG; the agents became hostile.Cause: Poor training. I WAS able to carry my personal lap top and my daily meds. There were at least 4 other lithium ion batteries the agents forced me to surrender!  These items were placed in the cargo hold! I tried to calmly explain that I was NOT over the carry on allowance AND that there were manuals (EFB) and extra lithium ion batteries in the flight bag!,,,,Air carrier Flight Attendant reported they were required to check their flight bag as cargo due to items containing lithium batteries.,"The incident involved a Flight Attendant and Ground Personnel, with the Flight Attendant being required to check their flight bag due to lithium batteries. The cause was attributed to poor training among the Ground Personnel, leading to the forced surrender of lithium-ion batteries and their placement in the cargo hold. Despite the Flight Attendant's attempt to explain that they were within carry-on limits and that the bag contained necessary manuals, the situation remained unresolved. The summary highlights the conflict arising from regulatory enforcement and the resulting actions taken by the Ground Personnel.",between attendant and crew
1963800,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1963800,Aircraft X,Flight Deck,Air Carrier,Check Pilot; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,,1963322.0,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,General None Reported / Taken,Procedure; Human Factors; Environment - Non Weather Related,Human Factors,On the descent; we encountered wake turbulence. Seat belt sign was on. No PA was made as we were in the descent and was in a critical phase of flight. Flight Attendants did not call me. Upon gate arrival; the Flight Attendants asked 'was that wake turbulence?' I said yes but the seat belt sign was on and; in my opinion; wasn't greater than moderate wake. One Flight Attendant commented that they were in the aisles and they fell down. I asked if anyone was injured or any passengers asked for assistance. She responded no and no injury report was filed. Being in clear air; no reports of turbulence and we were not following a heavy aircraft; makes it nearly impossible to predict wake turbulence. The seat belt sign was on and that did help mitigate any injuries. A call back to the cabin to see if everyone was ok could have been used; but; being in the descent and not receiving a call from them gave me the understanding no injuries were encountered. Upon deplaning was the first time I heard that a flight attendant fell. Once again though; I asked if everyone was ok. She responded yes and no injuries were encountered or reportedBetter communication between cabin and flight crew would have helped. Nobody was hurt; aircraft had no damage and the flight ended routine.,,During descent; we experienced a minor wake turbulence event.  No reports from the Flight Attendants during the descent.  After all passengers disembarked; one of the FA's wanted to ensure that the pilots checked on them after an event like this.  No injuries were reported.ATC [should notify] aircraft if they are following a heavy aircraft; even at altitude.,,A321 flight crew reported the cabin crew was concerned they were not contacted by the pilots to check on their condition after a minor wake turbulence encounter .,"A minor wake turbulence event occurred during the descent of an A321 flight. The flight crew did not contact the cabin crew post-incident, as they were in a critical phase of flight. Following landing, the cabin crew expressed concern about not being contacted. Although no injuries or damage occurred, the cabin crew felt reassurance could have been beneficial. The flight crew suggested improved communication between the cabin and cockpit, and highlighted the need for ATC notifications when following heavy aircraft.",between attendant and crew
1978886,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),,,,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1978886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Human Factors; Aircraft,Human Factors,Around XA45 while in flight; in cruise; Captain calls and informs Person A and I that we have a situation in which the nose gear is not functioning properly and that it's still down. That we will be landing in 20 minutes; but he's going to circle to get rid of some fuel and hear back from Tower on what to do next. He will call back shortly with an update; for Person A and I to remain seated until he calls back to give us further instructions and information. We complete our procedure and hang up. Person A then calls me and we synchronize our watches and talk about what we plan on doing once the Captain calls back with further instructions. By this time it's XA51; 14 minutes left before we land. Around XA58; Captain comes on the PA and informs passengers of the situation. States we're heading back to ZZZ; due to nose gear issue; but it will be a normal landing. XA59; Captain calls to Person A and myself; repeats normal landing; all gears are down; including the nose gear; all lights show green; we should now be landing in 10 minutes. We repeat procedure; Person A ask Captain is it okay to make our announcements now; he states 'Yes' and set clocks now to 9 minutes; which is XB01. Person A does the announcement; we do compliance check and walk through. After accessing outside; we noticed we still had time and we made the before landing announcement. Did another compliance check; after that we took our seats. By that time it was XB10; landed at XB20. Normal landing as stated by the Captain; arrived to gate; and then deplane. End up switching aircraft and departing out of another gate.,,,,Flight Attendant reported a landing gear malfunction required a return to the field.,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",between attendant and crew
1895886,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Communication Breakdown; Confusion; Other / Unknown,Party1 Flight Attendant; Party2 Flight Crew,1895886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; No Specific Anomaly Occurred Unwanted Situation,,N,Person Flight Crew,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Aircraft,Human Factors,"I was the FA on the flight and was working with Captain (CA) and First Officer (FO) from ZZZ1-ZZZ. We landed in ZZZ and as I opened the Main Cabin Door; I was greeted by about six people. One from Rescue asked is everyone alright?' I said yes why? He said we had [requested priority handling]. I then noticed fire trucks beside us. I had no idea about anything happening until the flight deck door opened and then I heard some things...I was then told that we had a pressure issue and we had [requested priority handling]. To my surprise; I was taken back and waited until I could talk to the Captain after passengers deplaned. We (passengers and I) didn't have any indications of a problem and O2 masks did not deploy at any time during the flight. A few passengers asked why the fire trucks were there and I could not answer them. After everyone was gone and the Captain was off the cell and did paperwork on the aircraft; I asked him what happened. He told me we had pressure problems during the flight and that they had to [request priority handling]. I asked him why I wasn't informed of any of this and he apologized and said he was sorry. He said he was too busy...""",,,,Air carrier Flight Attendant reported discovering a pressurization malfunction had occurred in flight after the aircraft had arrived at the destination gate where several emergency and company personnel were waiting. The Flight Attendant reported there was very poor communication with the pilot crew.,"The incident involved a pressurization malfunction during a flight, which led to the aircraft landing with emergency services present. The flight attendant observed fire trucks and was informed of the issue after passengers had disembarked. The captain later explained the pressurization problem but apologized for not informing the attendant, attributing the lapse to being too occupied. The flight attendant experienced poor communication from the flight crew, resulting in unanswered passenger inquiries about the emergency vehicles. The outcome highlighted a communication breakdown between the flight attendant and the pilot crew. The captain acknowledged the issue and apologized, indicating a recognition of the communication failure but not specifying a particular resolution.",between attendant and crew
1918721,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Training / Qualification; Time Pressure; Communication Breakdown; Troubleshooting; Workload,Party1 Flight Crew; Party2 Flight Attendant,1918721,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Landed As Precaution; Flight Crew Diverted; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors,Human Factors,Flight from ZZZ to ZZZZ; flying a route down to coast to avoid weather Severe WX. Between ZZZ1 and ZZZZZ Captain did a normal system monitor check. Upon looking at the COND page; he noticed the AFT Cargo Temp at 180 degrees (Steady Green); asked me if I had seen a temp that high; I replied No! We kept an eye on it; over the next 10 minutes; noticed it rising to 188 degrees; then 194 degrees (still Steady Green) where it stayed for the duration of the flight. This made us uncomfortable for normal Cargo Bay temperatures in my 3;000+ hours flying this aircraft at 2 different airlines have never exceeded cabin temperatures during cruise. We simultaneously started looking into what could be a catastrophic problem. I got into the QRH AOM/FOM/and other manuals to look for temperature limitations and fixes. I found none; anywhere. During the same time; Captain got on the Phone with Operations and phone patched to Maintenance Control; where they attempted multiple resets to no success. When Captain got off the phone with Maintenance; he said; 'Well nothing fixed It; and they (Maintenance) said we are on our own.'At that point; we agreed as a crew that we didn't know what was going on down there. We were both not comfortable taking an aircraft with this indication over water; with limited divert options to an international location; and with no company or Contract Maintenance at the destination not knowing what was going on down there. The indication was steady at this point; not rising higher [than] 194 degrees; nor giving any other indications to the back when we notified the Flight Attendants and told them what was going on. At this point; we felt we were not in a land as soon as possible scenario; but in a land as soon as practical scenario but keeping land as soon as possible options available and we decided to divert to ZZZ2. We gave ATC a PAN PAN call since we were going to a divert airport that wasn't our alternate but that we were not at the time an emergency aircraft; we just wanted to have all our bases covered. We notified Dispatch both via phone patch and ACARS. During descent we were cleared the ZZZZZ Arrival to ZZZ2.We were still grossly overweight with a lot of gas; so we referenced the overweight Checklist. With that; we decided that with the condition still not worsening from what had been continuously indicated with no secondary indications or issues coming from the cabin; Captain and I both agreed that in an effort not to compound the problem we should hold to burn down gas; but having immediate [landing] options nearby; so we held at ZZZZZ1 at 16;000 ft. for 30-40 min and got to a calculated weight that would put us on deck in ZZZ2 right at Max landing weight. We continued to ZZZ2 via the arrival; for an uneventful Runway XX landing. On a side note; the XX transition from the ZZZZZ Arrival is a bit of a slam dunk. We asked for a bit longer final to get down; stabilized; and situated; and ATC approach gave us a few last second altitude; headings; and speed amendments through final which started to task saturate us as we prepared for landing. For example: open descent from 6;000-3;000; we were told to amend altitude and maintain 4;000 ft. while passing 4;200 feet; thrust idle; and speed brakes out. We blew through the altitude and had to climb back up Auto Pilot off; ALT horn blaring; and engines spooling up to 80+%; and getting speed brakes back in. We were also given several headings through final; and were asked to slow to final approach speed 10 plus miles outside the final approach fix at 4;000 feet; and approach didn't give us an approach clearance until we had flown through the glide slope on the localizer; and had to join from above; in order to sequence aircraft landing [Runway] XYL; which started to compound our landing configuration planning; and a go around was not something we were hoping to do; especially off of a PAN PAN call. We later found that on a couple of occurrences; ATC did not pass the PANPAN or divert info from Center to Center to Approach. We were later reassigned upon arrival to fly a ZZZ3 Turn that left in 5 minutes.I told Company that we just went through a lot; and that if they wanted us to fly that turn; that I needed a break for an amount of time that I was setting; some food; and so the Captain and I went and had a sit down meal; decompressed; talked about what had happened; after an hour or so I assessed my fitness for duty and felt I was good to fly the turn. The Captain and I were sitting on the jet; and when we called for push going to ZZZ3; Ramp told us to hold and that Maintenance wanted to talk to us. The maintenance team member got on the radio; asked if we were the crew that brought Aircraft X in from ZZZ; I replied yes; and he told us we needed to fill out a fume report. Captain asked what he was talking about; and told him this was the first we have heard about any fume incident. The Maintainer on the radio said the Flight Attendants had filed a fume report after the flight; and we needed to do the same. The Flight Attendants never told us anything about fumes nor their intent to fill out any such reports. Captain then filed a fume report said he had no information to give for we knew nothing about it. I felt Captain had communicated very clearly what was going on to the flight attendants about the situation; and our intent to divert. They had never communicated any such issues during any duration of or after the flight. Unknown from the high temperature in the Aft Cargo Bay. We did later saw that Maintenance replaced the sensor in the aft cargo bay via the app. We were curious that with all the ZZZ team members in Training vests if maybe they stacked the bags in the aft cargo bay above the line and possibly covered the sensor or did something to It. However; As far as the 'suspected' fume event; there was no communication from the flight attendants to the cockpit crew for this event. We noticed via the app that Maintenance later deferred the APU to prevent 'further fume events' due to the suspected fume event we were later notified about from ZZZ2 Maintenance. Not sure why if there is a fume event (or even a suspected fume event) why they don't further investigate the problem or fix the problem; rather than just pencil whip it into deferment. If there was any fumes in this situation; how would MX (Maintenance) know they came from the APU and not from any potential problem we were encountering? Put quick reference limitations on a Cockpit Card or in the QRH or checklist to quickly reference for situations such as these. I felt like we were on an Easter egg hunt for something that we later found wasn't there which wasted a lot of our decision making time. I know that Airbus FCOM (Flight Crew Operations Manual) and other manufacture manuals/reference material has such limitations for quick reference from my experience at a previous Airbus airline. Why can't the company get on board with Airbus??? Make sure Flight Attendants communicate to the cockpit if they were smelling fumes.,,,,A321 First Officer reported an abnormally elevated Aft Cargo Bay temperature during cruise. After conferring with maintenance; the flight executed a precautionary diversion for maintenance.,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",between attendant and crew
