ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
1797439,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Other / Unknown; Confusion; Communication Breakdown; Situational Awareness; Time Pressure,Party1 Flight Attendant; Party2 Ground Personnel,1797439,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,I was thanking passengers as they disembarked onto the jet-bridge in ZZZ; and I was trying to call rows to deplane on the PA. The cleaning crew were at the front door (1Left) trying to get on the plane while the passengers were leaving; and the pilots were also trying to gather their bags and leave. This made the situation very chaotic. I was not aware of it being a 'quick-turn'; as I am always happy to try and help out with the quick-turn cleaning.The cleaners slipped on a few at a time; in between passengers leaving. I saw the two aft crewmembers with their luggage; and moving forward through the cabin; towards me. The cleaners were already onboard; cleaning throughout the plane. I said; 'last but not least!' to the final passenger; thanked her and gathered my belongings. I looked back and only saw the cleaners; and my crew who were almost to me. I didn't see any more passengers and thought we were done. I double-checked my doors and the forward lavatory and stepped off the plane. When the aft crew stepped off; there was a male passenger with them who had been mixed in with the cleaners. He did not have his boarding pass with him. He said he wouldn't leave without it; and that his seat was XX6. He wanted to go look for it himself; but crew went to look. His boarding card was found under his seat.A contributing factor is having so many people onboard/in jetbridge and the cleaning crew coming onboard (sometimes in just sweatshirts; hoodies; jackets; hats; masks; etc.) and mixing in with disembarking passengers; and vice versa.  Flights are more full now; and anyone can be mistaken for a cleaner.Other factors: double-checking the passengers haven't lowered or removed their masks; as they often do now; as they are coming down the aisle towards me and the boarding door. The passengers are trying to look down the aisle and gauge how far we've gotten with the row announcements to deplane. Also; 2-3 pilots using the lavatory; gathering bags and leaving; while passengers are disembarking causes more confusion. All of this; and the extra amount of ground-staff/cleaners onboard and in the jet-bridge in civilian clothing; causes more confusion; multitasking/load at the boarding/deplaning door.I assumed the last passenger I saw; and said goodbye to; was our final passenger onboard.I would not have stepped off the plane had I known there was still one passenger onboard.I will also alert corporate security to this incident; and the added potential for this confusion during disembarkation.,,,,Flight Attendant reported the aircraft cleaners were slipping onboard to clean the aircraft before the passengers were completely off. One last passenger; resembling a cleaner; remained intermixed with crew and cleaners during the crew's exit.,"A conflict occurred between a flight attendant (Party 1) and ground personnel (Party 2) during the disembarkation process of a flight at ZZZ airport. The incident arose due to a ""quick-turn"" operation, where the cleaning crew boarded the aircraft before all passengers had disembarked. This led to confusion as passengers, cleaning staff, and crew members were moving through the cabin simultaneously. The flight attendant was unaware of the situation escalating, as she was focused on her usual duties, including calling rows to deplane and ensuring passenger safety. During the process, she noticed the cleaning crew slipping onboard in casual attire, which blended them in with passengers and crew. Pilots were also leaving the aircraft, adding to the chaos. The flight attendant assumed all passengers had disembarked after seeing the last passenger, who resembled a cleaner, and stepped off the plane. However, a male passenger had remained onboard, intermixed with the cleaning crew and crew members. He was eventually found after his boarding pass was located under his seat. Contributing factors included the quick turnaround procedure, the lack of distinction in clothing between cleaning staff and other individuals onboard, and the presence of multiple ground staff and crew members in the jet-bridge and cabin. The flight attendant noted that double-checking passengers and crew for proper identification could help prevent such confusion in the future. She also expressed concerns about passengers removing or lowering their masks, which could further complicate the deplaning process. As a result of the incident, the flight attendant planned to alert corporate security to the situation and the potential for similar confusion during future disembarkations.",between attendant and other people
1819490,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,1819490,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR,,,Person Flight Attendant,Pre-flight; Routine Inspection,Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; General Maintenance Action,Human Factors,Human Factors,Passengers boarded & travelled from ZZZ to ZZZ1. In ZZZ1; the passengers then boarded a [make/model aircraft] and boarded through the aft with their carry on bags. I saw their bags and let them know they were too big to fit in the overhead bin. Passenger stated they were told to bring them onboard as a carry on. FA A and I were trying to accommodate the bags and were then told by the Gate Agent they were smart bags & since the battery couldn't be removed; the bags would need to come off. The pax were deplaned along with their bags. FA A stated the passengers were with us (along with their bags) on the previous flight. I did not see them board with their bags on the original flight.,,,,Air Carrier Flight Attendant reported passengers were denied boarding due to carry on smart bags with non removable batteries.,"A conflict occurred between a flight attendant and ground personnel concerning a passenger's carry-on smart bags with non-removable batteries. Passengers, traveling from ZZZ to ZZZ1, boarded an aircraft with the bags through the aft door. The flight attendant indicated the bags were too large for the overhead bins. The passengers claimed they were permitted to carry them onboard. Efforts to accommodate them were made, but the gate agent insisted the bags be checked due to safety regulations. As a result, the passengers were deplaned with their bags. The flight attendant noted the passengers had been on a previous flight but didn't observe them boarding with the bags earlier. No solution was proposed during the incident.",between attendant and other people
1848975,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning; Safety Related Duties,Confusion; Situational Awareness; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,1848975,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Aircraft In Service At Gate,General Flight Cancelled / Delayed,Human Factors,Human Factors,Upon Arrival to ZZZ International Airport I called the B Flight Attendant and stated over the PA 'prepare doors for Arrival and Cross Check'. As soon as I went to the door I look through the peep hole and saw the gate agents eyes. I reach for the flap to open it up to pull up the two red levers and as soon as I reached for the handles the main handle started to lift up and I jerked back. I never gave the gate agent a thumbs up to say that the doors were disarmed and I never went to disarm the R1 door either. I watched the gate agent continue to pull the door and I looked at him and the floor and saw the bag deploy. I immediately called the FO and the Captain of what had transpired. Only the B flight attendant try to console me and informed me to take pictures and fill out an incident report immediately.,,,,Flight Attendant reported that while preparing the doors for arrival; the gate agent opened the door before it was disarmed causing the slide to deploy.,"The incident occurred at ZZZ International Airport when a flight attendant instructed the cabin crew to prepare the doors for arrival. While the flight attendant was at the door, they noticed the gate agent and attempted to open the flap. However, the main handle unexpectedly lifted, causing the flight attendant to jerk back. The flight attendant did not signal the gate agent with a thumbs-up or disarm the R1 door. The gate agent continued to pull the door, causing the slide to deploy. The flight attendant promptly informed the first officer (FO) and the captain about the incident. The B flight attendant attempted to console the affected flight attendant and advised them to take pictures and file an incident report. The deployment of the slide resulted in an investigation and documentation of the event.",between attendant and other people
1751692,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Confusion,Party1 Flight Attendant; Party2 Other,1751692,,,,,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct; Flight Deck / Cabin / Aircraft Event Illness / Injury,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,Just after door closed; Passenger X came back and asked to use the restroom.  He said that he was about to start coughing.  Once inside the lav; we (myself and other passengers) could hear him coughing so hard that he was gagging.  2 passengers expressed concern.  When he came out; I asked if he was feeling alright.  He told me that it was just allergies and he didn't want to start coughing in front of everyone.  Twice; during taxi; I had to ask him to put his mask back on. (Note: if someone is eating or drinking; I leave them alone.  But he was reading and/or digging through his bags.)  In flight; as soon as I went upfront; we went into the lav again after 2 more lav visits; I went back and asked him again if he was alright.  He told me that he 'Wasn't feeling well;' but that it was because he hadn't eaten breakfast. We provided everyone with snack bags and I kept an eye on him.  After several more lav trips; I called the PIC and informed him of what was going on.  The PIC asked us if we had a way of taking his temp. We said no and suggested he call for a [customer service agent] to meet the flight.  Throughout the flight; Passenger X came back to use the restroom a total of 5 times and had to be told 3 times to; please; put his mask back on.  Just after we had taken our seats for landing; he came back for a 6th time and asked me to move so that he could use the restroom.  I told him that we were about to land and that he needed to return to his seat.  He wasn't happy; but complied.  After arriving at the gate; he came back to use the lav again.  The PIC called and asked if we (the FAs) would ask him to stay seated until everyone else had deplaned so someone to talk with him.  I asked him and he was very unhappy and agreed while yanking off his mask. I must have looked surprised because; after looking back at my face; he quickly put his mask back on.  He deplaned last and a [customer service agent] was there to meet him.  The other FA informed me that; when he first boarded the plane; he had immediately used the forward restroom.  That totaled 9 trips to the lav in 1.5-2 hrs and many requests to keep his mask on.,,,,Flight Attendant reported a passenger using the restroom numerous times; coughing and having to constantly be reminded to wear a mask.,"During a flight, a **Flight Attendant (FA)** reported an incident involving a passenger, referred to as Passenger X, who exhibited unusual behavior. Passenger X used the restroom a total of **nine times** within a span of **1.5 to 2 hours**, which raised concerns among the crew and other passengers. Upon entering the restroom, Passenger X was heard coughing heavily, to the point of gagging, which worried two other passengers. When asked about his condition, he initially claimed it was due to allergies but later stated he was not feeling well because he had not eaten breakfast. The FA provided snack bags to all passengers and kept a close eye on Passenger X throughout the flight. Additionally, Passenger X was repeatedly reminded to wear his mask properly. The FA noted that he was reading or digging through his bags, which may have contributed to the need for mask reminders. The FA informed the Pilot-in-Command (PIC) about the situation, and the PIC requested that the FA check if there was a way to take Passenger X's temperature. Since the crew did not have a thermometer, the PIC suggested contacting a customer service agent to meet the flight. After landing, the PIC instructed the FA to ask Passenger X to remain seated until all other passengers had deplaned, so that someone could speak with him privately. Passenger X complied but was visibly unhappy and removed his mask in frustration. After noticing the FA's surprise, he quickly put the mask back on. Passenger X was the last to deplane and was met by a customer service agent at the gate. The FA later reported that Passenger X had used the forward restroom immediately after boarding the plane, adding to the total of nine restroom visits. His behavior created disturbances and safety concerns during the flight.",between attendant and other people
1754883,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service; Boarding; Safety Related Duties,Distraction; Workload; Communication Breakdown,Party1 Flight Attendant; Party2 Other; Party2 Ground Personnel,1754883,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Pre-flight; In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,While passengers were boarding Passenger X assigned to seat XX3 did not have a mask on. The Gate Agent had not briefed the flight attendants on any exemptions; so I looked on EFB and just saw an Infant in XX3. I asked the Forward FA to ask the Gate Agent who was standing in the galley if we had any late exemptions and he advised no. Gate Agent came to back of plane to talk to Passenger X and advised him he would have to wear a mask since there was not an exemption. Passenger X advised he had gotten an exemption in ZZZ1 on way to ZZZ and showed a boarding pass that in ink was written exemption from mask but we had no idea who wrote it. Passenger X then pulled out a letter that only stated he was disabled and that he gets paid a certain amount. Gate Agent was advising it was OK with him for Passenger X to go; but I said no we need to talk to the Captain in regards to this. We went to the Captain who made a phone call and was told passenger would need to get an exemption for our flight. The Gate Agent at that time went to gate to meet a Supervisor and see if anything was in the record. When he came back suddenly there was a record for the passenger with the exemption of taking mask off for XX minute intervals. I then looked at my EFB and now it showed a wheelchair where the infant had been and the infant moved to XX4. We closed up after advising Passenger X of the exemption and the XX minutes only. During the 2 hour 30 minute flight we had to tell Passenger X at least 4 times that he had to put mask on and when he did we had to tell him over his nose and mouth not just his chin. Passenger also had a very disruptive 2 yr old as well; that was coughing and sneezing and Passenger X advised us his children gave him high anxiety and that was why he could not wear mask.Passenger X's total disregard of mask rule and even though he got [an] exemption to take mask off for XX minute intervals he did not follow the exemption.,,,,Flight Attendant reported a passenger would not comply with the face mask policy even though the passenger had a special exemption to take it off for periods at a time.,"During a flight, a passenger (Passenger X) assigned to seat XX3 refused to comply with the face mask policy despite being granted a special exemption to remove the mask for brief intervals. The incident began when the flight attendant noticed Passenger X without a mask during boarding. The Gate Agent, who had not briefed the flight crew on any exemptions, initially denied knowing about one. Passenger X presented a boarding pass with an ink-written exemption and a letter stating his disability. Despite the Gate Agent's initial approval, the flight attendant insisted on consulting the Captain, who confirmed that an exemption was needed specifically for the flight. The Gate Agent then retrieved a record confirming the exemption, allowing Passenger X to remove the mask for short periods. However, during the 2.5-hour flight, Passenger X repeatedly ignored the mask policy, often only covering his chin instead of his nose and mouth. Compounding the issue, Passenger X's disruptive two-year-old child coughed and sneezed throughout the flight, and Passenger X cited anxiety as a reason for non-compliance. Despite the exemption, Passenger X showed total disregard for the mask rules, requiring multiple reminders from the flight crew. An exemption was granted for Passenger X to remove the mask for specified intervals. However, Passenger X failed to adhere to the exemption, leading to repeated reminders and non-compliance during the flight.",between attendant and other people
1756195,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Troubleshooting; Time Pressure; Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant; Party2 Ground Personnel,1756195,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Crew; Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Procedure; Weather,Human Factors,I noticed before I left my house that the aircraft we were scheduled to fly had been sitting on the ground in ZZZ all day. The high temp was close to 100 degrees. Knowing this; I left a little early to make sure I could get to the aircraft early and ensure that it was cooled down before we began boarding. I got to the aircraft 62 minutes prior to our schedule push time. The aircraft was closed up; mobile bridge pulled and the vent flap on the main cabin door was opened. There was no external air hooked up. I proceeded to power up the aircraft and noted the cabin temp was reporting as 38 Celsius or 101 Fahrenheit. We had not yet been fueled; so I opted to start the APU to get air flowing and then made a call on the radio to Ops to get external air and AC connected in hopes it would happen before the fuel arrived and I would have to power down the APU. In the meantime; I personally walked through the cabin and opened each overhead gasper to maximize the airflow. Most of them were mostly or completely closed. About 5 minutes later; the fueler showed up; but there was still no external power or air connected. I told the fueler that I would prefer to wait until at least the external AC was hooked up since I had already 'set up' the aircraft FMS. As I was talking to the fueler; a ramp agent showed up; started the GPU and plugged in the cable. He then proceeded to walk to the gate next door. After getting back into the flight deck; I noticed that the external AC was not available. The same ramp agent was walking by the main cabin door at that point and I asked him to check the connection on the AC power as well as hook up the external air. He told me that he needed a lead to hook up the air; which was news to me. I called Ops again on the radio and requested a lead to hook up the air. About this time; the fueler had finished and I started up the APU again. Soon after; the gate agent came out to ask if we were ready to board. The FA (Flight Attendant) and I both agreed that the cabin was too warm to board right then; so we told them that we would wait and try to get the cabin a little cooler before we boarded. About 5 minutes prior to the normal boarding time (D-30); a ramp agent came up front and asked if we needed the external air hooked up. I told him that we had the APU running now and didn't need it anymore - note this was at least 30 minutes after I originally asked for air to be hooked up. Right at the regular boarding time (D-25); the cabin temp had shown a decreasing trend; down to 36 Celsius and the FA said she was comfortable boarding. We boarded up and pushed back on time. After arrival in ZZZ1 and walking to the van; the FA made a comment about how she 'shouldn't have done this' and that she had had trouble focusing and making her announcements because of the high cabin temperature. She made no mention of this to us until we were in ZZZ1. Flight Ops was asked multiple times to connect external air to help cool the cabin on an aircraft that was on the ground for nearly 10 hours in the sun and close to 100 degree temperatures. I was hoping that there would have been air hooked up at some point during that time period to help alleviate the heat issue in the cabin; of which the CRJ-200 is notorious for. While I felt that the cabin was noticeably cooler before we began to board; it was still fairly warm. I ultimately deferred to the FA as to whether or not she was comfortable boarding since she was the one that would be back there for the entirety of the flight. Maybe it was self-imposed pressure to try and get out on time or not cancel the flight that led her (and to a lesser extent; myself) to board before we should have. The FA did mention (multiple times) that she had picked up the trip so she could get to ZZZ2 the next morning from ZZZ.[I believe] there is no reason why an aircraft that is parked for 10 hours in high heat and direct sunlight is not hooked up to external air to cool the cabin. Even so; it shouldn't take 30 minutes to get someone out to the aircraft to hook it up after I call multiple times; especially after I advise them that we can't board until the cabin is cooled down. There really should be some kind of system in place for aircraft that are on the ground for an extended period to ensure that they are hooked up to external air at some point well prior to departure. On a day like this; I would think at least 90 minutes prior to departure would be prudent. In hindsight; I also could have coordinated with the regional controller and possibly swapped into a different aircraft.,,,,CRJ Captain reported issues getting cabin cooled before boarding. A Flight Attendant suggested they boarded too early.,"The incident involved a CRJ-200 aircraft experiencing difficulty in cooling its cabin before departure. The captain reported that the aircraft had been parked on the ground for over 10 hours in high temperatures, with the cabin temperature reaching 38°C (101°F). The captain made multiple requests to ground personnel to connect external cooling systems, but these were delayed. Despite starting the Auxiliary Power Unit (APU) and opening overhead gaspers to circulate air, the cabin remained warm. Approximately 30 minutes after the captain initially requested external air, a ramp agent connected the external cooling system. At the scheduled boarding time, the cabin temperature had decreased to 36°C (96.8°F), and the flight attendant felt comfortable boarding. The flight departed on time, but the flight attendant later expressed discomfort due to the high cabin temperature, which she believed impaired her ability to focus on her duties. The incident highlighted the challenges of cooling aircraft parked for extended periods in high temperatures and the need for improved communication and response protocols between flight crews and ground personnel to address such issues promptly. The captain suggested that a system should be in place to ensure external cooling is connected well in advance of departure, particularly for aircraft like the CRJ-200, which are more susceptible to heat-related comfort issues.",between attendant and other people
1760111,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,1760111,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Other Deplaning,General None Reported / Taken,Company Policy; Human Factors; Environment - Non Weather Related,Human Factors,Upon deplaning in ZZZ the cleaners barged their way on board before any passengers had even deplaned. Crowding the galley and the First Class area. This is not safe for social distancing purposes and disrupts the entire deplaning process. I explained they needed to wait for passengers to get off and the cleaners became very combative saying that they were following their protocol. The cleaner took off his mask to reprimand the D Flight Attendant after I pointed out their actions weren't safe. Furthermore; we have an hour and a half on the ground so such haste is not necessary. The practice of cleaners barging onboard and swimming upstream during deplaning is not safe and makes it even more impossible to socially distance.   Cleaners in ZZZ need to be reminded to give passengers space upon deplaning. The practice of coming onboard immediately after the L1 door opens needs to be stopped. Cleaners should also be reminded to leave their masks on when interacting with flight attendants.,,,,Flight Attendant reported that cleaners were barging onboard and 'swimming' upstream while passengers were trying to deplane.,"The incident occurred at ZZZ, where a conflict arose between a flight attendant and ground personnel (cleaners). The flight attendant reported that cleaners entered the aircraft prematurely, before passengers had fully deplaned, disrupting the deplaning process and compromising social distancing measures. The flight attendant instructed the cleaners to wait until passengers had disembarked, but they refused, citing adherence to their protocol. During the exchange, a cleaner removed his mask, prompting further concern. The flight attendant emphasized that the cleaners' actions were unnecessary given the ample ground time (one and a half hours) available. The flight attendant suggested that cleaners should wait for passengers to deplane and maintain their masks when interacting with crew.",between attendant and other people
1760736,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Situational Awareness; Distraction; Communication Breakdown,Party1 Flight Attendant; Party2 Other,1760736,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Attendant,Pre-flight,General None Reported / Taken,Environment - Non Weather Related; Company Policy; Human Factors,Human Factors,While A [Flight Attendant] was doing her final walk through prior to takeoff; she noticed a child seat behind the exit row. I was C; and could not see the seat from where I was standing in the exit row; and did not notice the passengers placing it during boarding.  I was busy greeting passengers as they walked through; and telling people who sat in the exit row that they were seated in the exit row; and verifying they were willing to sit there.  One woman was not responding to me; and I realized she could not hear me.  She said her ears were blocked from the last landing; and they had not cleared. Since she was unable to hear or respond to my questions; I told her I would have to re-seat her.  A gentleman in the exit row loudly said she was sick; and should not be allowed on the plane.  I asked her if she was sick; and she said no.  She appeared to be congested; which is likely the reason her ears blocked on landing.  I had her trade seats with another passenger; briefed the exit row and secured the forward cabin from the exit row forward.  When I got to the front; I informed A the exit row was briefed and the forward cabin was secure.  I did not hear a PA that the aft cabin was secure. I informed the A that the woman I moved from the exit row could not hear; that she was congested but said she was not sick.  The A said she did not appear sick or have any COVID symptoms when she boarded. I said congestion could be a COVID symptom; and A seemed surprised; and said she never heard that.  By then operations was in front with us; and he and A said all I was required to do was ask if they are sick; and if the response is no; then we leave it alone.  I did not know if the passenger had allergies; a cold; or something more serious.The A was doing her final walk through prior to takeoff; and noticed a child seat directly behind the exit row. Someone notified the Captain; and A and D quickly had passengers change rows. The captain rang; I answered; and he asked if they were finished. I said I was C in front; and they were not quite done. He asked to be notified; and a few seconds later I let him know the exchange was complete.,,,,Flight Attendant reported a passenger that sat in the exit row had hearing problems and was displaying symptoms of possibly being sick.,"During a pre-takeoff safety check, the flight attendant (Party1) noticed a child seat positioned directly behind the exit row. While conducting her duties, she was occupied with greeting passengers and ensuring that those seated in the exit row were willing to assume the responsibilities of that seat. A passenger in the exit row exhibited hearing difficulties, as she was unable to respond to the flight attendant's instructions. The passenger explained that her ears were blocked due to a prior landing, leading to congestion but not indicating that she was sick. The flight attendant attempted to reseat the passenger in accordance with safety protocols, but a gentleman seated nearby objected, claiming the passenger was sick and should not be on the plane. The passenger denied being sick, though her congestion raised concerns about potential COVID-19 symptoms. The flight attendant consulted with the captain and operations, who advised her that if the passenger was not explicitly sick or exhibiting COVID-19 symptoms, she could remain on the plane. The flight attendant proceeded with reseating the passenger and securing the forward cabin. The incident was resolved after the flight attendant successfully completed the seat change and informed the captain that the exit row was briefed and the forward cabin was secure. The flight attendant did not hear a public address (PA) confirming the aft cabin was secure but ultimately ensured the situation was managed.",between attendant and other people
1657011,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Total 17000,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Attendant; Party2 Ground Personnel,1657011,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant; Person Flight Crew,Aircraft In Service At Gate,General None Reported / Taken,Human Factors,Human Factors,We were completing checks and briefings; about to depart ZZZ with a full aircraft. There were 2 cockpit jumpseat riders. I; as Captain; heard the verbal request for clearance to close the entry door. I was unable to turn my head around to see; but I heard the request; and we were ready to close the entry door; so I stated that it was okay to close the door. The door subsequently closed; and we went on our way to ZZZ1. After the entry door was closed; but prior to closing the cockpit door; the Number 1 Flight Attendant advised me that the door had been closed by the agent without her permission. I told her what had happened; and we noted that there had been a miscommunication. After the flight; in ZZZ1 during the debrief; we noted that the agent should not have closed the door without talking to the Number 1 Flight Attendant. Also noted was the fact that due to the busy and crowded flight deck; and the difficulty for me to turn around; and see if the person asking if it was clear to close; I apparently had given clearance to close to the agent and not the Flight Attendant. We agreed that agent was in the wrong to have closed the door without coordinating with the Number 1 Flight Attendant.Agent closed the door without the consent of the Number 1 Flight Attendant. This occurred because the agent failed to follow the correct procedure. The Flight Attendant is supposed to close the door; not the agent.Agents need to be trained that they must have the Number 1 Flight Attendant there to close the entry door. Pilots should make every effort to see that the person they are giving clearance to close is the Number 1 Flight Attendant and not the agent; although; as I stated this can be difficult to do at times with a busy crowded cockpit and doorway. The most important thing is that the agents not close the door without the Flight Attendant.,,,,A319-100 Captain reported the gate CSR did not follow company policy during the final passenger boarding procedures.,"The incident involved a miscommunication during the final boarding procedures of an A319-100 flight, where the entry door was closed by ground personnel without the consent of the Number 1 Flight Attendant. The pilot, unable to visually confirm who was requesting clearance due to a busy cockpit, assumed it was the Flight Attendant and granted permission. However, it was later discovered that the ground agent had closed the door, violating company policy, which mandates that the Flight Attendant must authorize such actions. During the post-flight debrief, it was determined that the ground personnel were at fault for not coordinating with the Flight Attendant. The crew acknowledged the challenge pilots face in confirming identities in a crowded cockpit. To prevent future occurrences, it was agreed that ground personnel should be trained to follow proper procedures and wait for the Flight Attendant's authorization before closing the door. Additionally, pilots were encouraged to make every effort to confirm the identity of the person requesting clearance, highlighting the importance of clear communication protocols. This incident underscores the need for enhanced training and communication to ensure adherence to company policies, emphasizing the crucial role of the Flight Attendant in such procedures.",between attendant and other people
1578218,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Ground Personnel; Party2 Other,1578218,,,,,,,,,,,,Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security,,,Person Flight Crew,Taxi,Flight Crew Took Evasive Action,Airport; Human Factors,Human Factors,After arriving I was sent messages from scheduling about taking an empty airplane to ZZZ and then a few more days of flying. I was given a shuttle to the maintenance hangar to get onboard. When the FO and I had everything ready; I opened my window to speak with the ground agent standing outside. He said he had never towed from here before; and he didn't have a headset or wing-walkers. We were parked tightly at an angle between other things; so I asked him if he could get a headset and helpers. I also called maintenance to see if they could send someone out to help the guy. Finally; [the ground agent] came back with a headset and helpers; and he was fabulous about getting us pulled out. We flew to ZZZ and landed just after midnight. We landed and were cleared to the gate. As we were about to turn left; an airport bus almost drove right in front of us going westbound along the road. I hit the brakes. He stopped; but he stopped too close for me to go past him. I flashed all my lights at him and we told ground about that happened. The vehicle behind the bus flashed lights several times. We all needed him to back up but he didn't get it. Then he gunned it and drove right in front of us. We told ground; and I called the tower to clarify the details after landing. The bus was a blue and white design. When we arrived at [the] gate; the agent had positioned the jetway and then left. So we had to wait about 15 minutes for an agent to come and let us out of the jetway in order to avoid setting off security alarms. Make sure bus drivers on the ground know that they should give way to aircraft.,,,,An aircraft Captain reported he had to abruptly apply the brakes to avoid a bus driving in front of the aircraft.,"The incident involved a conflict between a flight attendant and ground personnel during aircraft operations. The flight attendant reported being sent messages about a reassignment to an empty airplane and subsequent flights. While preparing for departure, the flight attendant communicated with a ground agent who lacked necessary equipment (headset and wing-walkers) and experience in towing the aircraft from the location. After resolving this initial issue with the help of maintenance, the flight attendant proceeded to ZZZ, landing just after midnight. Upon landing and taxiing to the gate, the flight attendant encountered a near-accident when an airport bus failed to yield, nearly driving in front of the aircraft. The flight attendant had to apply brakes abruptly to avoid collision. Despite communication with ground personnel and the tower, the bus driver did not comply, creating a safety hazard. The aircraft was eventually positioned at the gate, but the ground agent left the jetway unattended, requiring a 15-minute wait for assistance to avoid triggering security alarms. The flight attendant recommended that ground personnel, particularly bus drivers, be informed to yield to aircraft to prevent similar incidents.",between attendant and other people
