ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2119017,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown; Other / Unknown; Troubleshooting,Party1 Flight Attendant; Party2 Ground Personnel,2119017,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Pre-flight; In-flight,,Human Factors; Procedure,Human Factors,A passenger made me aware during boarding that they had placed both a men's electric razor and a camera(s) in their checked luggage and they were concerned that either or both contained lithium batterie(s).At the time; my thought process was that; they may or may not actually be lithium batteries; they were not just 'loose' batteries; and they were housed in a device. Ultimately; I failed to notify either Operations in ZZZ or the Captain. Upon reflection during the flight and; as not to create an 'issue;' I realized that I had failed to handle the situation correctly. In an effort to not continue the risk; upon arrival in ZZZ1; I spoke with the Operations Agent and explained the situation and asked if it could be corrected. The Operations Agent indicated to me that the passenger's bags would be pulled prior to their connecting flight. I then spoke to the passenger(s) and asked them to speak with the Operations Agent. Self-realization that each of us is critically responsible for the safety of our crew; our passengers and our assets. That it is not an issue to stop what is currently happening and address it at the time. To hope that if you do make an error that by handling it at the time; that you will not be perceived differently by the crew. Is it possible that checked baggage be screened for items such as lithium batteries; thereby reducing the factor of human error?,,,,Air carrier Flight Attendant reported failing to notify the appropriate parties before departure after learning about a passenger's checked bag that may have potentially contained lithium batteries. After arriving; the reporter notified an Operations Agent to deal with the bag's contents.,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",between attendant and passengers
2168329,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Time Pressure; Workload,Party1 Flight Attendant; Party2 Ground Personnel,2168329,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors,Human Factors,During boarding I; the B-FA; was talking to someone who tagged a bag; and then made an announcement to make sure that everyone had all laptops and lithium batteries removed from any gate checked tagged bags. Two passengers; the one I was talking to; and another let me know that they had laptops in their bags. I let the A-FA know what was going on so that he could help monitor what was going on; and the passengers went to the front of the plane to retrieve their laptops. I let the CA and Gate Agent know what was going on when I was able to make it to the front of the plane because the passengers had come back down the aisle and said the Ramp person; or someone; had told them the cargo hold was closed and they weren't going to get them. It's my understanding that all laptops and lithium batteries need to be taken out and are unable to go in that cargo area; so that is when I spoke with the Captain and Gate Agent. The Captain said we would wait. The passengers then came back again and said the CA said that it was ok to go due to the size and them being off. I checked with the CA one last time and he deemed it safe. I was not there for the conversation when they declared it safe; so I can only go with the CA telling me it is safe.If something was deemed safe by the CA then I go with that; but just everyone checking bags beforehand; Gate Agents and also ramp crew not saying no due to potentially just not wanting to get the bag. But if it's declared safe; it's declared safe.,,,,ERJ-170 Flight Attendant reported to the Captain and Gate Agent that two passenger bags with laptops that had lithium-ion batteries were mistakenly gate checked in cargo during boarding. The Captain then deemed it safe to not remove as the devices were off and approved gate departure.,"The incident involved a flight attendant (Party1) who identified two gate-checked bags containing laptops with lithium-ion batteries during boarding. The flight attendant informed the other flight attendant and the captain about the situation, as these items are prohibited in cargo holds due to safety regulations. Two passengers confirmed they had laptops in their bags, and they retrieved them after being instructed to do so. However, the passengers reported that ground personnel had initially prevented them from retrieving the laptops, stating the cargo hold was closed. The flight attendant communicated with the captain and gate agent, and the captain eventually deemed the situation safe, allowing the flight to depart. The issue was resolved after the captain's assessment, and the flight proceeded as scheduled.",between attendant and passengers
2172923,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,2172923,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight; Aircraft In Service At Gate; Routine Inspection,Flight Crew Overcame Equipment Problem,Human Factors,Human Factors,Date: ZZZ to ZZZ1Position: B-FA (Flight Attendant)During boarding; passenger on my flight was upset about having to check her bags because she was traveling internationally to ZZZZ. She approached me in the back and insisted there was space for her bag and that she wanted to bring it on board. I suggested she speak to the speak to the A-FA in the front and see if it was possible. Once she went back to the front and saw the ramp agent threw her bag down; she approached me again and began yelling at me demanding an explanation for the other flight attendants refusal. I explained that it's protocol for any tagged bag to be sent to cargo. She returned to her seat after our discussion. It wasn't until we were inflight and I was doing beverage service that I noticed she was filling out a complaint form to company. I saw her writing but I continued with my duties and asked if she wanted anything to drink or a snack. She looked at me; noted my name and requested water. After I finished service; I started to reorganize my galley for the next flight. However; I heard several overhead bins opening simultaneously which concerned me. I discovered that the passenger had opened them and was taking photos of all the empty bins. I needed to prioritize securing my galley so I focused on the safety in the back. Once I finished; I checked to see if the passenger was still standing in the aisle but she had returned to her seat. I called the A-FA to inform her about the passengers actions and we both agreed to notify the Captain. The A-FA also mentioned another issue involving a different passenger who had allegedly checked a bag containing lithium batteries and medication. I then updated the Captain about the upset passenger regarding her checked bag.,,,,Air carrier Flight Attendant reported a passenger misconduct and an unrelated issue of a passenger who allegedly checked a bag with lithium battery. The Captain was notified of both issues with no additional information provided.,"The incident occurred on a flight from ZZZ to ZZZ1, involving a passenger (Party2) and a flight attendant (Party1). The cause was the passenger's refusal to check her bag for an international trip, leading to a confrontation. The process began with the passenger insisting her bag fit in the overhead compartment, which the flight attendant redirected to the front attendant. When the passenger was denied, she became upset, yelled at the flight attendant, and filled out a complaint form during the flight. The result was the passenger opening multiple overhead bins and taking photos, prompting the flight attendant to secure the galley and notify the captain. The captain was informed about both this misconduct and a separate issue involving a passenger's bag with lithium batteries. The proposed solution involved notifying the captain to handle these issues through appropriate channels.",between attendant and passengers
1974967,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1974967,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Passenger Electronic Device; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,,Human Factors; Procedure,Human Factors,Working Aircraft X ZZZ to ZZZ1 as the Forward Flight Attendant. Passenger; Person A; who just happens to also be a non-rev; asked if there are any outlets. I directed to them. Their block was broken so I allowed them to use my charger. As we are inflight I am doing my service and walking and asking my first class passengers if they need anything. Around XA:30 I notice my charger was out of the outlet. Right then shocked me of what I just saw. They were charging their e-cigarette in the outlet. My jaw dropped as to what I just witnessed. They asked if that was okay to charge. And I said absolutely not! They comply and puts it away. My question though if these are rules we have to follow on a daily basis and we hear announcements all the time about this; how did they not think this was okay to do? Furthermore; who to say they haven't done this on any other flights non-revving.,,,,CRJ-900 Flight Attendant reported a non-rev passenger was charging an e-cigarette during the flight. The Flight Attendant directed the passenger to discontinue and the passenger complied.,"The incident occurred on a CRJ-900 flight, involving a forward flight attendant (Party1) and a non-revenue (non-rev) passenger (Party2). During the flight, the passenger requested an outlet and was directed to use one. Later, the flight attendant noticed the passenger charging an e-cigarette in the outlet, which is against airline policies. The flight attendant instructed the passenger to stop, and the passenger complied. The flight attendant expressed surprise that the passenger did not recognize the restriction, given the airline's regular announcements about such rules. No further action was reported beyond the passenger discontinuing the activity.",between attendant and passengers
1978886,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),,,,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1978886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Human Factors; Aircraft,Human Factors,Around XA45 while in flight; in cruise; Captain calls and informs Person A and I that we have a situation in which the nose gear is not functioning properly and that it's still down. That we will be landing in 20 minutes; but he's going to circle to get rid of some fuel and hear back from Tower on what to do next. He will call back shortly with an update; for Person A and I to remain seated until he calls back to give us further instructions and information. We complete our procedure and hang up. Person A then calls me and we synchronize our watches and talk about what we plan on doing once the Captain calls back with further instructions. By this time it's XA51; 14 minutes left before we land. Around XA58; Captain comes on the PA and informs passengers of the situation. States we're heading back to ZZZ; due to nose gear issue; but it will be a normal landing. XA59; Captain calls to Person A and myself; repeats normal landing; all gears are down; including the nose gear; all lights show green; we should now be landing in 10 minutes. We repeat procedure; Person A ask Captain is it okay to make our announcements now; he states 'Yes' and set clocks now to 9 minutes; which is XB01. Person A does the announcement; we do compliance check and walk through. After accessing outside; we noticed we still had time and we made the before landing announcement. Did another compliance check; after that we took our seats. By that time it was XB10; landed at XB20. Normal landing as stated by the Captain; arrived to gate; and then deplane. End up switching aircraft and departing out of another gate.,,,,Flight Attendant reported a landing gear malfunction required a return to the field.,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",between attendant and passengers
1949120,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1949120,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,Y,Person Flight Crew; Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,Captain called me said smelled unusual odor please check cabin. Immediately made announcements is anyone vaping CA (Captain) smells a sweet odor. Then I check cabin quietly asking passengers no one in trouble be honest if vaping. Checking both bathrooms pulling out trash cans checking. Walk[ed through cabin]. Passenger A [had device] under her coat had some kind of medical device that was fogging up the cabin with a sweet smell passenger refuse to hand it over to me. I kept my voice low firmed told her for safety of the cabin. The Captain wants you to hand it over to isolate where this is coming from. After I did receive the device put it in the galley. Passenger A came to the galley demanded I give it back to her calling me stupid uneducated I kept my composure which other passengers relayed to the captain on deplaning. I did my job. Ban passenger from airline.,,,,Air Carrier Flight Attendant reported passenger device emitted odor in passenger cabin. Flight Attendant confiscated the device as requested by Captain.,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",between attendant and passengers
1954832,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1954832,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,Passenger was advised not [to] use his electronic cigarette and to put it away during the flight. The safety demo also states this. [The passenger] would not comply. He also went to the forward lavatory and vaped. He vaped at his seat as well. I didn't want to confront him any further because he already seemed agitated.,,,,B737-700 Flight Attendant reported a passenger would not comply with safety regulations and used an electronic cigarette during the flight; despite being notified not to do so.,"The incident involved a conflict between a flight attendant and a passenger on a B737-700 flight. The passenger was advised by the flight attendant to refrain from using an electronic cigarette during the flight, as per safety regulations outlined in the safety demonstration. Despite being informed, the passenger did not comply and used the electronic cigarette both at his seat and in the forward lavatory. The flight attendant chose not to confront the passenger further due to his apparent agitation. The flight attendant subsequently reported the incident to the authorities. No further action or proposed solution was mentioned in the context.",between attendant and passengers
1981241,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning; Safety Related Duties,Communication Breakdown; Training / Qualification,Party1 Flight Attendant; Party2 Ground Personnel,1981241,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Procedure,Human Factors,When we landed back in ZZZ from ZZZ1; the LFA (Lead Flight Attendant) told us that we had a huge risk on our flight that we didn't know about until we have deplaned. They said they saw a personal oxygen machine that you plug into the wall at home being brought up for our passenger who was deplaning in ZZZ and LFA asked what is that and where did it come from. Apparently it was checked in and was with the baggage under the plane from my understanding; the way the LFA explained it to us all. I never got to see it because I was in the back of the plane and by the time I made it to the front; all passengers had deplaned.From my understanding; personal oxygen is not allowed to be brought on the plane and kept on person or be checked in. This is a very serious matter and needs to be looked into before this passenger tries to travel back with it on the next flight or if someone else brings it and employees don't follow the safety protocols/rules. It's a disaster waiting to happen in the air. Train ticket counter agents; gate agents; and bag loaders to not accept personal oxygen systems to be loaded under the plane with the luggage to prevent aircraft fire/explosion.,,,,A320 Flight Attendant reported being notified after arriving at destination that a passenger packed a prohibited personal oxygen machine in checked baggage.,"The incident occurred when a passenger checked in a personal oxygen machine as baggage on an A320 flight. Upon landing, the Lead Flight Attendant (LFA) noticed the device and inquired about its origin, discovering it had been stored in the cargo hold. The flight attendant highlighted that such devices are prohibited due to safety risks, including potential fires or explosions. The proposed solution is for ground personnel to refuse loading such devices into checked baggage to prevent future safety hazards. The summary underscores the need for enhanced protocols to ensure passenger and aircraft safety.",between attendant and passengers
1801802,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Situational Awareness; Workload; Time Pressure; Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1801802,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,,1802959.0,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant; Person Flight Crew,Taxi,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,After block out and starting our pushback from the gate; a Flight Attendant called up to address a concern about the passenger count. It was a busy time in the flight deck where I was trying to manage the safety of the push. The FO answered the call to the flight deck from the cabin while I was talking to the ground crew and ramp was talking to our flight and the flight next to us pushing off the gate. The ramp personnel had left several pieces of ground equipment in the way of our push from X1 and we were trying to find out about getting it moved. As all of that is going on the narrative that myself and the FO got from the FA seemed to be one of more a compliance with the mask policy than one of weight and balance. She told us there was a large child sitting in a seat for which they were ticketed next to their mother and the child was having a hard time wearing the mask. The FA told us that the mother was now saying the child was less than 2. The FA believed that the mother was saying the child was less than 2 to skirt our mask policy and we needed to change the count for weight and balance because the child was an infant. I tried to clarify with the FA about the child because it was not clear to me because she was telling me the child was not listed as an infant; had their own seat; and by the FAs thought it was more about the mask. My thinking was that for the child to have that seat a birth date would have to be listed when that seat was purchased. Previously the FAs and the gate agent had reconciled the count; and the FA thought the child was older than 2; so I elected to leave the weight and balance as it stood. We continued to our destination without further incident.It was a busy time in the flight deck when this issue was brought to my attention. After things had calmed down with push I should have checked back with the FA to make sure I was hearing everything she was trying to tell me. Factors for me with my decision making were the high workload at the time; alertness because of the late time of day of the departure and having been scheduled with early AM shows for the three days prior to this event.,,I walked through to do my cabin count and confirmed that I had a child in row XX just as it showed on the sheet. I had already asked the mom to get a mask on the child before we closed the weight/balance. She said the child did not have a mask so I brought her one. After the safety demo I walked through the cabin again for final compliance and saw the child was not wearing a mask. Mom said he had ripped it so I offered to get a new one. She then said that the other FA told her he didn't need one if he was under the age of 2. I was surprised to hear the child was an infant as he was quite large and had walked on board the aircraft by himself. I asked if he was still only 1 and she said he was not yet 2. I alerted the CA that I had possibly made a mistake in the count.  I mistakenly counted an infant as a child. I didn't ask how old the child was; it only came up because of non-compliance with mask policy.I honestly think she claimed the child was an infant in order to avoid dealing with the face mask.In the future I will make sure to ask passengers with small children if they are in fact under the age of 2.,,Air carrier Captain and a Flight Attendant reported a passenger's child was resisting wearing a face mask. After this problem started the parent then stated the child was under 2 and did not need to wear the face mask.,"The incident began when a flight attendant reported a passenger's child resisting the face mask policy. The mother claimed the child was under two years old, exempting the child from the mask requirement. The flight attendant believed this was an attempt to avoid compliance and sought to adjust the weight and balance count. The captain, managing a busy pushback and fatigued from early morning hours, decided to maintain the current count, as the child had a designated seat, suggesting the child was over two. Later, the flight attendant realized she had miscounted the child as a passenger rather than an infant, leading her to alert the captain. She concluded the mother had falsely claimed the child's age. Reflecting on the experience, the flight attendant vowed to verify the age of children in such situations in the future. The outcome was resolved without further incident, with the flight attendant learning to ask passengers about their child's age to ensure accurate counts and compliance.",between attendant and passengers
1736305,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty); Flight Attendant In Charge,Flight Attendant Current,,Deplaning,Situational Awareness; Distraction; Communication Breakdown; Other / Unknown,Party1 Flight Attendant; Party2 Flight Attendant,1736305,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Situational Awareness; Other / Unknown; Distraction; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,,1736314.0,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,After we arrived in ZZZ; we left XX passengers on the plane before the next crew was at the aircraft. We left for our next flight. We had a medical incident onboard during the flight. While our CRM was effective; there were many decisions to be made. While our country is currently in a national emergency; any serious medical event leads to uncertainty. All three flight attendants were in constant communication with the Captain. At first we were told no passengers could leave the aircraft when we landed. We had passengers who were aware of the situation and wanted to be involved. Of course our first priority was the safety of our passengers and crew; we also were aware of the effect any decision would have on the company. After discussion with Station Ops and Dispatch; the Captain was instructed to not hold the passengers; and that the aircraft would be cleaned upon arrival. We also spent the entire flight containing the incident so all passengers felt at ease about their safety. I felt we were successful. However; in this coronavirus environment; it was very stressful and we had to remain calm and in control. We were dealing with many different situations and important decisions during the flight.,,After the deplaning of Flight XYZ from ZZZ to ZZZ1; the one of the crew members failed to stay with the XX through passengers. During this flight; we encountered many distractions including a passenger that vomited in the forward lav and we alerted the Captain due to the national concern over the scare of the coronavirus. The crew maintained excellent CRM skills when communicating with the flight deck. The flight deck notified medical service and Dispatch. I was also comforting a woman who was flying to see her gravely ill mother.,,Flight Attendants reported concerns about a sick passenger in their flight.,"The incident was triggered by a medical situation involving a sick passenger on board a flight from ZZZ to ZZZ1. The flight attendants encountered a vomit episode in the forward lavatory, attributed to a national health concern, and promptly alerted the captain. They maintained effective communication with the flight deck, ensuring the situation was managed with care. The crew coordinated with medical services,Dispatch, and Station Ops, leading to the decision to allow passengers to deplane after the aircraft was cleaned. Additionally, the attendants comforted a passenger whose mother was gravely ill. The flight attendants successfully managed the medical incident, ensuring passenger safety and comfort. Passengers were permitted to deplane post-cleaning, adhering to safety protocols amidst the pandemic, thus resolving the situation effectively.",between attendant and passengers
