ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2100755,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Confusion; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2100755,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security,,,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors; Procedure,Human Factors,There was a security breach incident. I feel like the company's policy regarding electronic devices containing lithium-ion batteries and spare lithium-ion batteries was not clear or fully understood by ask of the employees involved in this incident and the confusion contributed to the security breach. I also believe the agents were overzealous in enforcing the carry-on policy and the bag in question should have never been gate checked.,,,,Air carrier Flight Attendant reported a safety concern regarding the company's handling of gate checked bags that contain spare lithium-ion batteries and electronics with lithium-ion batteries.,"The incident arose from a security breach involving a gate-checked bag containing spare lithium-ion batteries. The flight attendant cited unclear company policies on lithium-ion batteries and excessive enforcement of carry-on policies by ground personnel as contributing factors. The flight attendant suggested that such bags should not be gate-checked, underscoring the importance of improved guidelines and staff training to prevent future breaches.",communication issues
2175448,Aircraft X,Door Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,,Distraction; Confusion; Communication Breakdown; Workload; Situational Awareness,Party1 Flight Attendant; Party2 Flight Crew,2175448,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Distraction; Situational Awareness; Workload,,,2175455.0,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Other / Unknown,,,Person Flight Attendant,Aircraft In Service At Gate,General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Human Factors,I had accidentally blew the main cabin door slide. We had been on this aircraft for 3 legs. The second leg was ZZZ1 to ZZZ flight. I had notice the door; closing on a swift swing than a slight click for closure. I was uncomfortable with that and reopened and closed the door. On; the next flight; ZZZ to ZZZ1; we rushed boarding; with a full flight and a jump seater. I had done my drink orders. Boarding was complete and the Captain said it was ok to close the MC (Main Cabin) door. After flight attendant B said cross check; I didn't feel like the MC door had closed completely. So; I asked; the Captain if the flight deck indicator said my door was locked and he replied no. I was thinking I needed to resecure the door. In feeling a time limit; I rushed to open the door it felt heavy and I felt the resistance so I only cracked it before I saw a little part of the grey slide appearing.  I stopped opening  the door and told the captain. The Captain was trying to communicate to the jet bridge driver and calling the necessary people and the jet bridge driver and supervisor did the same.  I noticed the  door was armed; when the airport managers came over and took pictures. The Captain made a PA. Passengers calmly deplaned by 2L door with their belongings and went to the boarding area at the next gate. No one was hurt or injured; When we reached the gate area we were met with  appropriate authorities per procedures. After the debrief  the Captain and I realized that we had a miscommunication about the door. Thankfully;the slide was not fully deployed until the passengers were off the aircraft.,,Boarding had been completed and I was ensuring compliance while waiting for A FA (Flight Attendant) to close door.  After the initial complaint check my A FA made PA to prepare doors for departure and cross check.  I armed the L2 door; verified it was armed and crossed to R2 door and did the same.  I made the PA that cross check was complete and cabin was ready for push back. I picked up demo equipment and started to walk towards the front of cabin when I received a call from A FA; they told me that they blew the L1 slide. Then the captain and airport officials coordinated deplaning from the L2 door. Once air stairs were in place; my disarmed door was opened by a Gate Agent and we deplaned all passengers.,,Flight Attendants reported the A Flight Attendant deployed the escape slide at the gate while attempting to close the main cabin door.,"The incident occurred when a Flight Attendant attempted to close the main cabin door, mistakenly deploying the escape slide. The cause stemmed from the Flight Attendant's concern about the door's closure, which led her to reopen and check it. During this process, the slide deployed. The Flight Crew and airport officials coordinated the safe deplaning of passengers using the L2 door and air stairs. The result was a successful, injury-free evacuation. The debrief highlighted a miscommunication regarding the door status, leading to the incident. No explicit solution was proposed, but the situation was managed effectively, with the crew learning from the miscommunication.",communication issues
2182306,Gate / Ramp / Line,,Air Carrier,Off Duty,Flight Attendant Current,,,Workload; Training / Qualification; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2182306,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Procedure; Human Factors,Human Factors,Traveling in uniform and forced to check flight bag! When I attempted to cite the CFR and REG; the agents became hostile.Cause: Poor training. I WAS able to carry my personal lap top and my daily meds. There were at least 4 other lithium ion batteries the agents forced me to surrender!  These items were placed in the cargo hold! I tried to calmly explain that I was NOT over the carry on allowance AND that there were manuals (EFB) and extra lithium ion batteries in the flight bag!,,,,Air carrier Flight Attendant reported they were required to check their flight bag as cargo due to items containing lithium batteries.,"The incident involved a Flight Attendant and Ground Personnel, with the Flight Attendant being required to check their flight bag due to lithium batteries. The cause was attributed to poor training among the Ground Personnel, leading to the forced surrender of lithium-ion batteries and their placement in the cargo hold. Despite the Flight Attendant's attempt to explain that they were within carry-on limits and that the bag contained necessary manuals, the situation remained unresolved. The summary highlights the conflict arising from regulatory enforcement and the resulting actions taken by the Ground Personnel.",communication issues
1895886,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Communication Breakdown; Confusion; Other / Unknown,Party1 Flight Attendant; Party2 Flight Crew,1895886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; No Specific Anomaly Occurred Unwanted Situation,,N,Person Flight Crew,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Aircraft,Human Factors,"I was the FA on the flight and was working with Captain (CA) and First Officer (FO) from ZZZ1-ZZZ. We landed in ZZZ and as I opened the Main Cabin Door; I was greeted by about six people. One from Rescue asked is everyone alright?' I said yes why? He said we had [requested priority handling]. I then noticed fire trucks beside us. I had no idea about anything happening until the flight deck door opened and then I heard some things...I was then told that we had a pressure issue and we had [requested priority handling]. To my surprise; I was taken back and waited until I could talk to the Captain after passengers deplaned. We (passengers and I) didn't have any indications of a problem and O2 masks did not deploy at any time during the flight. A few passengers asked why the fire trucks were there and I could not answer them. After everyone was gone and the Captain was off the cell and did paperwork on the aircraft; I asked him what happened. He told me we had pressure problems during the flight and that they had to [request priority handling]. I asked him why I wasn't informed of any of this and he apologized and said he was sorry. He said he was too busy...""",,,,Air carrier Flight Attendant reported discovering a pressurization malfunction had occurred in flight after the aircraft had arrived at the destination gate where several emergency and company personnel were waiting. The Flight Attendant reported there was very poor communication with the pilot crew.,"The incident involved a pressurization malfunction during a flight, which led to the aircraft landing with emergency services present. The flight attendant observed fire trucks and was informed of the issue after passengers had disembarked. The captain later explained the pressurization problem but apologized for not informing the attendant, attributing the lapse to being too occupied. The flight attendant experienced poor communication from the flight crew, resulting in unanswered passenger inquiries about the emergency vehicles. The outcome highlighted a communication breakdown between the flight attendant and the pilot crew. The captain acknowledged the issue and apologized, indicating a recognition of the communication failure but not specifying a particular resolution.",communication issues
1918721,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Training / Qualification; Time Pressure; Communication Breakdown; Troubleshooting; Workload,Party1 Flight Crew; Party2 Flight Attendant,1918721,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Landed As Precaution; Flight Crew Diverted; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors,Human Factors,Flight from ZZZ to ZZZZ; flying a route down to coast to avoid weather Severe WX. Between ZZZ1 and ZZZZZ Captain did a normal system monitor check. Upon looking at the COND page; he noticed the AFT Cargo Temp at 180 degrees (Steady Green); asked me if I had seen a temp that high; I replied No! We kept an eye on it; over the next 10 minutes; noticed it rising to 188 degrees; then 194 degrees (still Steady Green) where it stayed for the duration of the flight. This made us uncomfortable for normal Cargo Bay temperatures in my 3;000+ hours flying this aircraft at 2 different airlines have never exceeded cabin temperatures during cruise. We simultaneously started looking into what could be a catastrophic problem. I got into the QRH AOM/FOM/and other manuals to look for temperature limitations and fixes. I found none; anywhere. During the same time; Captain got on the Phone with Operations and phone patched to Maintenance Control; where they attempted multiple resets to no success. When Captain got off the phone with Maintenance; he said; 'Well nothing fixed It; and they (Maintenance) said we are on our own.'At that point; we agreed as a crew that we didn't know what was going on down there. We were both not comfortable taking an aircraft with this indication over water; with limited divert options to an international location; and with no company or Contract Maintenance at the destination not knowing what was going on down there. The indication was steady at this point; not rising higher [than] 194 degrees; nor giving any other indications to the back when we notified the Flight Attendants and told them what was going on. At this point; we felt we were not in a land as soon as possible scenario; but in a land as soon as practical scenario but keeping land as soon as possible options available and we decided to divert to ZZZ2. We gave ATC a PAN PAN call since we were going to a divert airport that wasn't our alternate but that we were not at the time an emergency aircraft; we just wanted to have all our bases covered. We notified Dispatch both via phone patch and ACARS. During descent we were cleared the ZZZZZ Arrival to ZZZ2.We were still grossly overweight with a lot of gas; so we referenced the overweight Checklist. With that; we decided that with the condition still not worsening from what had been continuously indicated with no secondary indications or issues coming from the cabin; Captain and I both agreed that in an effort not to compound the problem we should hold to burn down gas; but having immediate [landing] options nearby; so we held at ZZZZZ1 at 16;000 ft. for 30-40 min and got to a calculated weight that would put us on deck in ZZZ2 right at Max landing weight. We continued to ZZZ2 via the arrival; for an uneventful Runway XX landing. On a side note; the XX transition from the ZZZZZ Arrival is a bit of a slam dunk. We asked for a bit longer final to get down; stabilized; and situated; and ATC approach gave us a few last second altitude; headings; and speed amendments through final which started to task saturate us as we prepared for landing. For example: open descent from 6;000-3;000; we were told to amend altitude and maintain 4;000 ft. while passing 4;200 feet; thrust idle; and speed brakes out. We blew through the altitude and had to climb back up Auto Pilot off; ALT horn blaring; and engines spooling up to 80+%; and getting speed brakes back in. We were also given several headings through final; and were asked to slow to final approach speed 10 plus miles outside the final approach fix at 4;000 feet; and approach didn't give us an approach clearance until we had flown through the glide slope on the localizer; and had to join from above; in order to sequence aircraft landing [Runway] XYL; which started to compound our landing configuration planning; and a go around was not something we were hoping to do; especially off of a PAN PAN call. We later found that on a couple of occurrences; ATC did not pass the PANPAN or divert info from Center to Center to Approach. We were later reassigned upon arrival to fly a ZZZ3 Turn that left in 5 minutes.I told Company that we just went through a lot; and that if they wanted us to fly that turn; that I needed a break for an amount of time that I was setting; some food; and so the Captain and I went and had a sit down meal; decompressed; talked about what had happened; after an hour or so I assessed my fitness for duty and felt I was good to fly the turn. The Captain and I were sitting on the jet; and when we called for push going to ZZZ3; Ramp told us to hold and that Maintenance wanted to talk to us. The maintenance team member got on the radio; asked if we were the crew that brought Aircraft X in from ZZZ; I replied yes; and he told us we needed to fill out a fume report. Captain asked what he was talking about; and told him this was the first we have heard about any fume incident. The Maintainer on the radio said the Flight Attendants had filed a fume report after the flight; and we needed to do the same. The Flight Attendants never told us anything about fumes nor their intent to fill out any such reports. Captain then filed a fume report said he had no information to give for we knew nothing about it. I felt Captain had communicated very clearly what was going on to the flight attendants about the situation; and our intent to divert. They had never communicated any such issues during any duration of or after the flight. Unknown from the high temperature in the Aft Cargo Bay. We did later saw that Maintenance replaced the sensor in the aft cargo bay via the app. We were curious that with all the ZZZ team members in Training vests if maybe they stacked the bags in the aft cargo bay above the line and possibly covered the sensor or did something to It. However; As far as the 'suspected' fume event; there was no communication from the flight attendants to the cockpit crew for this event. We noticed via the app that Maintenance later deferred the APU to prevent 'further fume events' due to the suspected fume event we were later notified about from ZZZ2 Maintenance. Not sure why if there is a fume event (or even a suspected fume event) why they don't further investigate the problem or fix the problem; rather than just pencil whip it into deferment. If there was any fumes in this situation; how would MX (Maintenance) know they came from the APU and not from any potential problem we were encountering? Put quick reference limitations on a Cockpit Card or in the QRH or checklist to quickly reference for situations such as these. I felt like we were on an Easter egg hunt for something that we later found wasn't there which wasted a lot of our decision making time. I know that Airbus FCOM (Flight Crew Operations Manual) and other manufacture manuals/reference material has such limitations for quick reference from my experience at a previous Airbus airline. Why can't the company get on board with Airbus??? Make sure Flight Attendants communicate to the cockpit if they were smelling fumes.,,,,A321 First Officer reported an abnormally elevated Aft Cargo Bay temperature during cruise. After conferring with maintenance; the flight executed a precautionary diversion for maintenance.,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",communication issues
1937157,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 150,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1937157,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors,Human Factors,"Flight Attendant gate-checked a smart bag' as it was the last bag on and we had no room. The Ops Agent gate checked the bag. The passenger told the Flight Attendant after a few minutes that the bag was a smart bag. The Ops Agent was then notified by the Flight Attendant that the bag was ' smart' and had to be addressed properly by the ramp (disconnect the battery). The FA (Flight Attendant) then found room for the bag in the cabin and the Ops Agent went and grabbed the bag from below the wing. After we left; we were informed that the bag was brought back up to the cabin. During cruise I asked the A-Flight Attendant to come up to the cabin and showed him in the book where it says you cannot do that. The B-FA also informed the A of the error.I believe I should have been more involved with the bag; I thought the bag was being dealt with by Ground Ops properly. The combination of a new Ops Agent; and a new FA; I was getting food (terminal) were all contributing factors.""",,,,Air Carrier Captain reported a miscommunication between the Captain and a Flight Attendant regarding a gate checked smart bag that was erroneously loaded in the cargo compartment. The smart bag was relocated to passenger cabin prior to gate departure.,"The incident arose from a miscommunication between the flight captain and a flight attendant regarding the handling of a smart bag. Contributing factors included the inexperience of the new ops agent and flight attendant, as well as the captain's distraction while retrieving food, leading to a lack of direct involvement in the bag's handling. The flight attendant initially gate-checked the smart bag, which was later identified as requiring special handling. The ops agent retrieved the bag from the cargo area after being notified. During the flight, the captain noticed the bag in the cabin and pointed out the policy violation. The flight attendant acknowledged the mistake, and the bag's handling was corrected. The smart bag was erroneously loaded into the cargo compartment but was later moved to the passenger cabin. The incident highlighted the need for improved communication and involvement by the captain, especially when dealing with safety-sensitive items like smart bags. The captain reflected on the need to be more involved in the handling of such items and recognized the impact of new staff and distractions on communication. This awareness serves as a lesson for future operations.",communication issues
1943492,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,1943492,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Ground Strike - Aircraft,,,Person Flight Crew; Person Flight Attendant; Person Passenger,In-flight,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action; General Work Refused,Human Factors,Human Factors,There was an initial hard landing and second contact with the runway which was the tail strike. The plane then proceeded to skid from side to side in an aggressive manner before coming to a halt. I heard an audible gasp of relief from the passengers in the back of the plane. Once the passengers deplaned; the pilots left the aircraft without a debriefing. We had to inform the incoming pilots about what had just occurred. The new Captain informed us there was now a leak where the tail strike was. Maintenance was contacted and attempted to repair the leak. Maintenance wanted to defer the aircraft to have it flown to ZZZ. The Captain ultimately didn't feel safe with this decision and made the call for a new aircraft.,,,,Air Carrier Flight Attendant reported a tail strike and aggressive runway skidding. Once the passengers deplaned the Captain departed without a debrief to the Flight Attendant who informed the new Captain; who refused the aircraft.,"The incident involved a hard landing followed by a tail strike, causing the aircraft to skid aggressively on the runway. After passengers deplaned, the initial pilots departed without debriefing the flight attendant. The new Captain was informed about the tail strike and subsequent leak. Maintenance attempted repairs but couldn't fix the issue, leading the Captain to decide against using the aircraft further. As a result, the plane was deferred, and a new aircraft was used.",communication issues
1789902,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Communication Breakdown; Troubleshooting,Party1 Flight Crew; Party2 Flight Attendant,1789902,Aircraft X,Flight Deck,,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Troubleshooting,Party1 Flight Crew; Party2 Flight Attendant,,1789899.0,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant,Taxi,Air Traffic Control Provided Assistance; Aircraft Equipment Problem Dissipated; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Gate; Flight Crew Overcame Equipment Problem; General Maintenance Action,Human Factors; Aircraft,Human Factors,While taxing to the gate and on the terminal ramp the 4th Flight Attendant called up and stated there was smoke in the cabin. She stated 'could be electrical'. I stopped the aircraft; I got a minor whiff of something but it dissipated immediately. FO (First Officer) smelled nothing. We reported smoke in the cabin to ground and requested Airport rescue and Fire Fighting. We considered running the Smoke/AVIONICS SMOKE/Fumes but needed more information; (global assessment). I called up the 1st and she stated she was unaware of what was going on. I called back to the rear of the aircraft and 2nd stated it had begun to dissipate. After a brief discussion with FO; I elected to taxi to the gate and have Airport Rescue and Fire Fighting follow us and access the situation. Aircraft deplaned normally. 1st was unaware there was an issue 4th thought it was an electrical odor 2nd stated there was an odor but not a burning odor. He noticed a lite haze in the reading lights. [The possible cause] was primarily due to the dark cabin; communications among cabin crew. In a perfect world; there would have been better communication between all of the flight attendants; prior to calling up the flight deck. A more concrete assessment could have made with all eyes on the situation. Then the degree of urgency; and solid information can be transmitted more efficiently to the Captain.,,Taxiing to the gate on the terminal ramp we received a cabin call from the #4 FA (Flight Attendant) reporting smoke in the cabin. CA stopped the aircraft to assess the situation and asked if I smelled smoke or odor. I did not see or smell smoke or odor in the cockpit. CA said he sensed a brief odor but not burning. We called ground to request Airport Rescue and Fire Fighting due to the cabin smoke report. We discussed completing the Smoke/AVIONICS SMOKE/ Fumes checklist but after a follow up call to the FAs about the cabin environment the #1 said she didn't see or smell smoke or odor and #2 and #4 said the smoke/odor had dissipated. Due to close proximity to the gate CA decided to continue to the gate for further evaluation by the Airport Rescue and Fire Fighting personnel. The smoke report was entered in the AML and the fumes report [was] completed.,,A319 flight crew reported a fume/smoke event during arrival taxi to gate.,"An A319 flight encountered a fume/smoke event during its arrival taxi to the gate. The incident began when the fourth flight attendant (FA4) detected an odor and reported smoke, suspecting it might be electrical. The flight crew, led by the captain, halted the aircraft and assessed the situation. The captain noticed a brief whiff of something, while the first officer detected nothing. They contacted ground control and requested the Airport Rescue and Fire Fighting (ARFF) team. The flight crew considered their checklist for smoke/fumes but sought more information. Upon contacting the cabin, FA1 reported no smoke or odor, while FA2 noted a dissipating odor and a light haze in the reading lights. The captain, after consulting with the first officer, decided to proceed to the gate for ARFF evaluation. The aircraft landed smoothly, and passengers deplaned normally. The event highlighted the challenges of communication among cabin crew in a darkened cabin. The suggested improvement was enhanced communication to ensure a more informed and coordinated response, allowing for a clearer assessment and more efficient information transfer to the flight deck. The incident underscores the importance of effective communication among cabin crew to enhance incident handling and preparedness.",communication issues
1790572,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Other / Unknown; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1790572,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,Y,,Pre-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Boarding a nearly full flight began at XA:30 AM. We had power (i.e. lights) but; we did not have any airflow (air conditioning). We were beginning to sweat profusely. I (FA) contacted the terminal Supervisor who patched me through to Agent; in the tower. I told him of our plight and passenger complaints and concerns. He said he would send someone immediately to turn on the air. This was approximately 20 minutes later. About 15-20 minutes later we still had no air. Passengers were getting very upset and many took their masks off. We made announcements stating that without airflow; it was even more important to keep their mask on since they could not social distance. I contacted the Supervisor again and insisted the passengers be let off the aircraft if we were not going to get airflow and we still didn't know anything about when the pilots would arrive. Approximately 10 minutes later the pilots boarded and stated we should never have begun boarding under those conditions. They got air up and we departed 15 minutes later. 1 hour and 10 minutes after boarding. I felt very; very unsafe in those conditions as did many passengers.We should never board without air conditioning during COVID. If the pilots are running late; a mechanic should be brought down to turn on the air. A few minutes would be acceptable but when the tower is contacted; something should be done in a timely manner. Flight attendants should be allowed to let passengers deplane under such extreme conditions where everyone's safety and health are put at risk.,,,,Flight Attendant reported passengers were boarded before the pilots arrived at the aircraft. No air conditioning was available and passengers began removing their face masks.,"An incident occurred during a flight involving a misunderstanding between the flight attendant (Y) and the flight crew. After the doors closed, Y approached her colleague (X) to inform her of a disruptive passenger who refused to wear a mask. Y dealt with the passenger while X closed the doors and made an announcement, with both stating the cabin was secure. However, X assumed Y would finish her duties, and Y believed X had secured the cabin. The confusion arose when the captain opened the flight deck door, expecting the cabin to be secure but was unaware of the status. Both realized their mutual assumption led to the oversight. They re-secured the cabin and resumed the briefing, causing a delay. The incident was caused by both parties' distractions and mutual assumptions, highlighting the need for clearer communication protocols to prevent such misunderstandings. Implementing a check system or specific confirmation procedure could enhance future operations.",communication issues
1791338,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,1791338,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Upon door closure Flight Attendant Y came up to me and informed me she was having problems with a passenger who is refusing to put his mask on. I told her I would go to the back while she checked the doors for me. I went to handle the passenger and she did closed doors and made the announcement. We both said cabin secure. I noticed the flight deck door was closed and had assumed she had done cabin secure for me seeing as I was tending to this passenger and she had done door closure for me. I continued on with the safety briefing. Approximately one minute into the safety briefing the Captain opened the flight deck door to inform me that no one informed him of cabin secure. Me and Flight Attendant X both became aware that we had assumed the other person had secured the cabin door and quickly re-secured the cabin. We continued on with our briefing.I believe we both made the mistake because of the destructive passenger. I had assumed that while I was tending to this passenger she had took over all of my duties and she assumed that I was going to finish my duties once I got back up into the gallery. I also believe the pilots close the door on their own to keep warm which is why we had gotten confused on the door being close.,,,,Flight Attendant reported being distracted by a disruptive passenger and forgetting to advise the flight crew the cabin was secure and they were ready to depart.,"The incident involved a misunderstanding between a flight attendant and the flight crew regarding the cabin security process. The flight attendant was distracted by a disruptive passenger who refused to wear a mask, leading to an oversight in communication. After addressing the passenger, the flight attendant assumed the flight crew had been informed that the cabin was secure. Similarly, the flight crew believed the flight attendant had communicated the cabin's readiness. This mutual assumption resulted in the cabin not being properly secured before the safety briefing began. Approximately one minute into the briefing, the captain noticed the lack of communication and informed the flight attendant, prompting both parties to re-secure the cabin promptly. The incident was attributed to the distraction caused by the disruptive passenger and the crew's assumption that the other party had handled their respective duties. A potential solution identified was to improve communication protocols and account for habits like the pilots closing the flight deck door for warmth.",communication issues
