ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2068792,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Time Pressure; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,2068792,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Taxi,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,Have submitted report. Bio hazard found by Flight Attendants behind last row of seats in economy. Plane had already pushed back from the gate. Crew voiced concerns about the finding and I held conversation with Captain about crew concerns. Captain initiated a conversation with operations; and I went to the rear of the plane to investigate the situation further. The biohazard bag had not been closed so I put on gloves and carefully looked  inside. The contents were soiled; linens; wipes; and the dustpan from the large bag. After discussion with the crew; we agreed that we were happy to put the bag into a sealed container as we knew what the contents were. I returned to door; and reported my findings to the Captain and also of the conversation amongst the crew. Had the bag being sealed and tied it was agreed amongst the crew that none of us were happy or comfortable; taking the bag on a flight due to security concerns; and we would have wanted to have had the bag removed. This situation could have been avoided had there been more time to do a thorough cleaning of the aircraft and for the flight attendants to do their thorough checks before passengers; started boarding,,,,Air carrier Flight Attendant reported notifying the Captain of a 'Bio hazard' container of soiled linen during departure taxi. The crew sealed the bag and the flight continued to destination.,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",crew-related issues
2102491,Aircraft X,General Seating Area,Air Carrier,Off Duty,Flight Attendant Current,,,Communication Breakdown; Fatigue,Party1 Flight Attendant; Party2 Flight Attendant,2102491,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Human Factors; Aircraft,Human Factors,"The captain advised via PA that there was an issue with landing gear and instructed the crew to perform a Prep for Land Evacuation demonstration. At no time was the entertainment system switched off prior to; during or following the demonstration. Once the demonstration was complete I went to the aft galley; where only 3 FAs (Flight Attendants) sit; and offered to be a 4th FA and sit at jump seat  and assume FA #8. I was in uniform and willing to assist. A short while later the Purser came to the back galley and informed me that she only wanted working"" FAs to be involved and asked that I return to my seat in the cabin. As the aircraft approached the runway there was no command from the Flight Deck to assume the demonstrated brace positions which made something of a mockery of performing an evacuation demonstration. After landing and deplaning the DHD (Deadhead) FAs were then converted to work the sector departing some 5 hours later at XA50 landing in ZZZZ airport at XK33; meaning extreme fatigue ensued due to being awake for approx. 27 hours prior to landing. The operating Pilots and FAs were released from duty following the incident yet the DHD crew onboard were not afforded the same courtesy even though they had less hours available to them and had experienced the same situation.""",,,,An off-duty Flight Attendant reported while dead heading the aircraft had an issue with the landing gear and offered to assist with safety procedures but was denied.,"The incident involved an off-duty Flight Attendant (Party1) who attempted to assist during a safety procedure on a flight. The aircraft experienced an issue with the landing gear, prompting the captain to conduct a preparation for land evacuation demonstration. During this time, Party1, who was in uniform and seated in the cabin, volunteered to assist by taking on the role of FA #8 at the jump seat in the aft galley. However, the Purser (Party2) denied this offer, instructing Party1 to return to their seat in the cabin, stating that only working Flight Attendants should be involved in the safety procedure. After landing, the off-duty Flight Attendants (deadhead crew) were reassigned to work the next departing flight, which caused significant fatigue due to being awake for approximately 27 hours. This decision was particularly challenging because the deadhead crew had less time available compared to the on-duty crew, who were subsequently released from their duties. The inconsistency in treatment and the denial of assistance led to frustration among the deadhead crew, who felt their efforts and well-being were overlooked despite being part of the same incident. A proposed solution is to ensure fair treatment and consideration for all crew members, including those deadheading, in such situations.",crew-related issues
2119017,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown; Other / Unknown; Troubleshooting,Party1 Flight Attendant; Party2 Ground Personnel,2119017,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Pre-flight; In-flight,,Human Factors; Procedure,Human Factors,A passenger made me aware during boarding that they had placed both a men's electric razor and a camera(s) in their checked luggage and they were concerned that either or both contained lithium batterie(s).At the time; my thought process was that; they may or may not actually be lithium batteries; they were not just 'loose' batteries; and they were housed in a device. Ultimately; I failed to notify either Operations in ZZZ or the Captain. Upon reflection during the flight and; as not to create an 'issue;' I realized that I had failed to handle the situation correctly. In an effort to not continue the risk; upon arrival in ZZZ1; I spoke with the Operations Agent and explained the situation and asked if it could be corrected. The Operations Agent indicated to me that the passenger's bags would be pulled prior to their connecting flight. I then spoke to the passenger(s) and asked them to speak with the Operations Agent. Self-realization that each of us is critically responsible for the safety of our crew; our passengers and our assets. That it is not an issue to stop what is currently happening and address it at the time. To hope that if you do make an error that by handling it at the time; that you will not be perceived differently by the crew. Is it possible that checked baggage be screened for items such as lithium batteries; thereby reducing the factor of human error?,,,,Air carrier Flight Attendant reported failing to notify the appropriate parties before departure after learning about a passenger's checked bag that may have potentially contained lithium batteries. After arriving; the reporter notified an Operations Agent to deal with the bag's contents.,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",crew-related issues
2172923,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,2172923,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight; Aircraft In Service At Gate; Routine Inspection,Flight Crew Overcame Equipment Problem,Human Factors,Human Factors,Date: ZZZ to ZZZ1Position: B-FA (Flight Attendant)During boarding; passenger on my flight was upset about having to check her bags because she was traveling internationally to ZZZZ. She approached me in the back and insisted there was space for her bag and that she wanted to bring it on board. I suggested she speak to the speak to the A-FA in the front and see if it was possible. Once she went back to the front and saw the ramp agent threw her bag down; she approached me again and began yelling at me demanding an explanation for the other flight attendants refusal. I explained that it's protocol for any tagged bag to be sent to cargo. She returned to her seat after our discussion. It wasn't until we were inflight and I was doing beverage service that I noticed she was filling out a complaint form to company. I saw her writing but I continued with my duties and asked if she wanted anything to drink or a snack. She looked at me; noted my name and requested water. After I finished service; I started to reorganize my galley for the next flight. However; I heard several overhead bins opening simultaneously which concerned me. I discovered that the passenger had opened them and was taking photos of all the empty bins. I needed to prioritize securing my galley so I focused on the safety in the back. Once I finished; I checked to see if the passenger was still standing in the aisle but she had returned to her seat. I called the A-FA to inform her about the passengers actions and we both agreed to notify the Captain. The A-FA also mentioned another issue involving a different passenger who had allegedly checked a bag containing lithium batteries and medication. I then updated the Captain about the upset passenger regarding her checked bag.,,,,Air carrier Flight Attendant reported a passenger misconduct and an unrelated issue of a passenger who allegedly checked a bag with lithium battery. The Captain was notified of both issues with no additional information provided.,"The incident occurred on a flight from ZZZ to ZZZ1, involving a passenger (Party2) and a flight attendant (Party1). The cause was the passenger's refusal to check her bag for an international trip, leading to a confrontation. The process began with the passenger insisting her bag fit in the overhead compartment, which the flight attendant redirected to the front attendant. When the passenger was denied, she became upset, yelled at the flight attendant, and filled out a complaint form during the flight. The result was the passenger opening multiple overhead bins and taking photos, prompting the flight attendant to secure the galley and notify the captain. The captain was informed about both this misconduct and a separate issue involving a passenger's bag with lithium batteries. The proposed solution involved notifying the captain to handle these issues through appropriate channels.",crew-related issues
1978886,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),,,,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1978886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Human Factors; Aircraft,Human Factors,Around XA45 while in flight; in cruise; Captain calls and informs Person A and I that we have a situation in which the nose gear is not functioning properly and that it's still down. That we will be landing in 20 minutes; but he's going to circle to get rid of some fuel and hear back from Tower on what to do next. He will call back shortly with an update; for Person A and I to remain seated until he calls back to give us further instructions and information. We complete our procedure and hang up. Person A then calls me and we synchronize our watches and talk about what we plan on doing once the Captain calls back with further instructions. By this time it's XA51; 14 minutes left before we land. Around XA58; Captain comes on the PA and informs passengers of the situation. States we're heading back to ZZZ; due to nose gear issue; but it will be a normal landing. XA59; Captain calls to Person A and myself; repeats normal landing; all gears are down; including the nose gear; all lights show green; we should now be landing in 10 minutes. We repeat procedure; Person A ask Captain is it okay to make our announcements now; he states 'Yes' and set clocks now to 9 minutes; which is XB01. Person A does the announcement; we do compliance check and walk through. After accessing outside; we noticed we still had time and we made the before landing announcement. Did another compliance check; after that we took our seats. By that time it was XB10; landed at XB20. Normal landing as stated by the Captain; arrived to gate; and then deplane. End up switching aircraft and departing out of another gate.,,,,Flight Attendant reported a landing gear malfunction required a return to the field.,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",crew-related issues
1918721,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Training / Qualification; Time Pressure; Communication Breakdown; Troubleshooting; Workload,Party1 Flight Crew; Party2 Flight Attendant,1918721,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Landed As Precaution; Flight Crew Diverted; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors,Human Factors,Flight from ZZZ to ZZZZ; flying a route down to coast to avoid weather Severe WX. Between ZZZ1 and ZZZZZ Captain did a normal system monitor check. Upon looking at the COND page; he noticed the AFT Cargo Temp at 180 degrees (Steady Green); asked me if I had seen a temp that high; I replied No! We kept an eye on it; over the next 10 minutes; noticed it rising to 188 degrees; then 194 degrees (still Steady Green) where it stayed for the duration of the flight. This made us uncomfortable for normal Cargo Bay temperatures in my 3;000+ hours flying this aircraft at 2 different airlines have never exceeded cabin temperatures during cruise. We simultaneously started looking into what could be a catastrophic problem. I got into the QRH AOM/FOM/and other manuals to look for temperature limitations and fixes. I found none; anywhere. During the same time; Captain got on the Phone with Operations and phone patched to Maintenance Control; where they attempted multiple resets to no success. When Captain got off the phone with Maintenance; he said; 'Well nothing fixed It; and they (Maintenance) said we are on our own.'At that point; we agreed as a crew that we didn't know what was going on down there. We were both not comfortable taking an aircraft with this indication over water; with limited divert options to an international location; and with no company or Contract Maintenance at the destination not knowing what was going on down there. The indication was steady at this point; not rising higher [than] 194 degrees; nor giving any other indications to the back when we notified the Flight Attendants and told them what was going on. At this point; we felt we were not in a land as soon as possible scenario; but in a land as soon as practical scenario but keeping land as soon as possible options available and we decided to divert to ZZZ2. We gave ATC a PAN PAN call since we were going to a divert airport that wasn't our alternate but that we were not at the time an emergency aircraft; we just wanted to have all our bases covered. We notified Dispatch both via phone patch and ACARS. During descent we were cleared the ZZZZZ Arrival to ZZZ2.We were still grossly overweight with a lot of gas; so we referenced the overweight Checklist. With that; we decided that with the condition still not worsening from what had been continuously indicated with no secondary indications or issues coming from the cabin; Captain and I both agreed that in an effort not to compound the problem we should hold to burn down gas; but having immediate [landing] options nearby; so we held at ZZZZZ1 at 16;000 ft. for 30-40 min and got to a calculated weight that would put us on deck in ZZZ2 right at Max landing weight. We continued to ZZZ2 via the arrival; for an uneventful Runway XX landing. On a side note; the XX transition from the ZZZZZ Arrival is a bit of a slam dunk. We asked for a bit longer final to get down; stabilized; and situated; and ATC approach gave us a few last second altitude; headings; and speed amendments through final which started to task saturate us as we prepared for landing. For example: open descent from 6;000-3;000; we were told to amend altitude and maintain 4;000 ft. while passing 4;200 feet; thrust idle; and speed brakes out. We blew through the altitude and had to climb back up Auto Pilot off; ALT horn blaring; and engines spooling up to 80+%; and getting speed brakes back in. We were also given several headings through final; and were asked to slow to final approach speed 10 plus miles outside the final approach fix at 4;000 feet; and approach didn't give us an approach clearance until we had flown through the glide slope on the localizer; and had to join from above; in order to sequence aircraft landing [Runway] XYL; which started to compound our landing configuration planning; and a go around was not something we were hoping to do; especially off of a PAN PAN call. We later found that on a couple of occurrences; ATC did not pass the PANPAN or divert info from Center to Center to Approach. We were later reassigned upon arrival to fly a ZZZ3 Turn that left in 5 minutes.I told Company that we just went through a lot; and that if they wanted us to fly that turn; that I needed a break for an amount of time that I was setting; some food; and so the Captain and I went and had a sit down meal; decompressed; talked about what had happened; after an hour or so I assessed my fitness for duty and felt I was good to fly the turn. The Captain and I were sitting on the jet; and when we called for push going to ZZZ3; Ramp told us to hold and that Maintenance wanted to talk to us. The maintenance team member got on the radio; asked if we were the crew that brought Aircraft X in from ZZZ; I replied yes; and he told us we needed to fill out a fume report. Captain asked what he was talking about; and told him this was the first we have heard about any fume incident. The Maintainer on the radio said the Flight Attendants had filed a fume report after the flight; and we needed to do the same. The Flight Attendants never told us anything about fumes nor their intent to fill out any such reports. Captain then filed a fume report said he had no information to give for we knew nothing about it. I felt Captain had communicated very clearly what was going on to the flight attendants about the situation; and our intent to divert. They had never communicated any such issues during any duration of or after the flight. Unknown from the high temperature in the Aft Cargo Bay. We did later saw that Maintenance replaced the sensor in the aft cargo bay via the app. We were curious that with all the ZZZ team members in Training vests if maybe they stacked the bags in the aft cargo bay above the line and possibly covered the sensor or did something to It. However; As far as the 'suspected' fume event; there was no communication from the flight attendants to the cockpit crew for this event. We noticed via the app that Maintenance later deferred the APU to prevent 'further fume events' due to the suspected fume event we were later notified about from ZZZ2 Maintenance. Not sure why if there is a fume event (or even a suspected fume event) why they don't further investigate the problem or fix the problem; rather than just pencil whip it into deferment. If there was any fumes in this situation; how would MX (Maintenance) know they came from the APU and not from any potential problem we were encountering? Put quick reference limitations on a Cockpit Card or in the QRH or checklist to quickly reference for situations such as these. I felt like we were on an Easter egg hunt for something that we later found wasn't there which wasted a lot of our decision making time. I know that Airbus FCOM (Flight Crew Operations Manual) and other manufacture manuals/reference material has such limitations for quick reference from my experience at a previous Airbus airline. Why can't the company get on board with Airbus??? Make sure Flight Attendants communicate to the cockpit if they were smelling fumes.,,,,A321 First Officer reported an abnormally elevated Aft Cargo Bay temperature during cruise. After conferring with maintenance; the flight executed a precautionary diversion for maintenance.,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",crew-related issues
1937157,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 150,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1937157,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors,Human Factors,"Flight Attendant gate-checked a smart bag' as it was the last bag on and we had no room. The Ops Agent gate checked the bag. The passenger told the Flight Attendant after a few minutes that the bag was a smart bag. The Ops Agent was then notified by the Flight Attendant that the bag was ' smart' and had to be addressed properly by the ramp (disconnect the battery). The FA (Flight Attendant) then found room for the bag in the cabin and the Ops Agent went and grabbed the bag from below the wing. After we left; we were informed that the bag was brought back up to the cabin. During cruise I asked the A-Flight Attendant to come up to the cabin and showed him in the book where it says you cannot do that. The B-FA also informed the A of the error.I believe I should have been more involved with the bag; I thought the bag was being dealt with by Ground Ops properly. The combination of a new Ops Agent; and a new FA; I was getting food (terminal) were all contributing factors.""",,,,Air Carrier Captain reported a miscommunication between the Captain and a Flight Attendant regarding a gate checked smart bag that was erroneously loaded in the cargo compartment. The smart bag was relocated to passenger cabin prior to gate departure.,"The incident arose from a miscommunication between the flight captain and a flight attendant regarding the handling of a smart bag. Contributing factors included the inexperience of the new ops agent and flight attendant, as well as the captain's distraction while retrieving food, leading to a lack of direct involvement in the bag's handling. The flight attendant initially gate-checked the smart bag, which was later identified as requiring special handling. The ops agent retrieved the bag from the cargo area after being notified. During the flight, the captain noticed the bag in the cabin and pointed out the policy violation. The flight attendant acknowledged the mistake, and the bag's handling was corrected. The smart bag was erroneously loaded into the cargo compartment but was later moved to the passenger cabin. The incident highlighted the need for improved communication and involvement by the captain, especially when dealing with safety-sensitive items like smart bags. The captain reflected on the need to be more involved in the handling of such items and recognized the impact of new staff and distractions on communication. This awareness serves as a lesson for future operations.",crew-related issues
1943492,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,1943492,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Ground Strike - Aircraft,,,Person Flight Crew; Person Flight Attendant; Person Passenger,In-flight,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action; General Work Refused,Human Factors,Human Factors,There was an initial hard landing and second contact with the runway which was the tail strike. The plane then proceeded to skid from side to side in an aggressive manner before coming to a halt. I heard an audible gasp of relief from the passengers in the back of the plane. Once the passengers deplaned; the pilots left the aircraft without a debriefing. We had to inform the incoming pilots about what had just occurred. The new Captain informed us there was now a leak where the tail strike was. Maintenance was contacted and attempted to repair the leak. Maintenance wanted to defer the aircraft to have it flown to ZZZ. The Captain ultimately didn't feel safe with this decision and made the call for a new aircraft.,,,,Air Carrier Flight Attendant reported a tail strike and aggressive runway skidding. Once the passengers deplaned the Captain departed without a debrief to the Flight Attendant who informed the new Captain; who refused the aircraft.,"The incident involved a hard landing followed by a tail strike, causing the aircraft to skid aggressively on the runway. After passengers deplaned, the initial pilots departed without debriefing the flight attendant. The new Captain was informed about the tail strike and subsequent leak. Maintenance attempted repairs but couldn't fix the issue, leading the Captain to decide against using the aircraft further. As a result, the plane was deferred, and a new aircraft was used.",crew-related issues
1949120,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1949120,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,Y,Person Flight Crew; Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,Captain called me said smelled unusual odor please check cabin. Immediately made announcements is anyone vaping CA (Captain) smells a sweet odor. Then I check cabin quietly asking passengers no one in trouble be honest if vaping. Checking both bathrooms pulling out trash cans checking. Walk[ed through cabin]. Passenger A [had device] under her coat had some kind of medical device that was fogging up the cabin with a sweet smell passenger refuse to hand it over to me. I kept my voice low firmed told her for safety of the cabin. The Captain wants you to hand it over to isolate where this is coming from. After I did receive the device put it in the galley. Passenger A came to the galley demanded I give it back to her calling me stupid uneducated I kept my composure which other passengers relayed to the captain on deplaning. I did my job. Ban passenger from airline.,,,,Air Carrier Flight Attendant reported passenger device emitted odor in passenger cabin. Flight Attendant confiscated the device as requested by Captain.,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",crew-related issues
1787885,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Workload; Troubleshooting; Time Pressure; Communication Breakdown; Fatigue; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1787885,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,When we arrived and the door was opened we started to deplane the aircraft; a full flight; just as the first three first class passengers were deplaning ; the cleaning crew started to enter asking if they could board to clean first class to start. The first class wasn't even deplaned. Only three people had deplaned while others were trying to get their bag down and deplane. I said no not at this point; which in turn the first cleaner gave me serious attitude. The Gate Agent came down; no mask on; with an attitude about us not letting the cleaners enter to clean. They had 12 people to clean; usually they have a shortage of cleaners. But we hadn't even had first class passengers cleared and they started coming on. I asked not yet; let the passengers deplane and this flight is a full flight. This is becoming a serious issue at times and passengers getting upset they can't deplane and usually the cleaners keep cleaning and not moving in so they can deplane. Understand at this time with COVID the importance of cleaning but passengers complain at me about cleaners not clearing so the could deplane. It's stressful enough with all we are dealing with no food drinks and upset passengers about what they can't have. Our passengers were moving quick and not stalling getting off.  When they were off we couldn't get our bags and personal items together.  The flight deck wasn't able to exit. I understand there is time a limit and all but this rushing is going to seriously cause problems with safety of crew and passengers.  I was wrong possibly and maybe for which i will follow these memo's I forgot about from now on. Just trying to give our paying passengers a pleasant and safe flight including safe deplaning.,,,,Flight Attendant reported there was no social distancing by the aircraft cleaners during deplaning and also stated the Gate Agent was not wearing a face mask.,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",crew-related issues
