ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
1949120,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1949120,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,Y,Person Flight Crew; Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,Captain called me said smelled unusual odor please check cabin. Immediately made announcements is anyone vaping CA (Captain) smells a sweet odor. Then I check cabin quietly asking passengers no one in trouble be honest if vaping. Checking both bathrooms pulling out trash cans checking. Walk[ed through cabin]. Passenger A [had device] under her coat had some kind of medical device that was fogging up the cabin with a sweet smell passenger refuse to hand it over to me. I kept my voice low firmed told her for safety of the cabin. The Captain wants you to hand it over to isolate where this is coming from. After I did receive the device put it in the galley. Passenger A came to the galley demanded I give it back to her calling me stupid uneducated I kept my composure which other passengers relayed to the captain on deplaning. I did my job. Ban passenger from airline.,,,,Air Carrier Flight Attendant reported passenger device emitted odor in passenger cabin. Flight Attendant confiscated the device as requested by Captain.,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",disruptive
1787885,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Workload; Troubleshooting; Time Pressure; Communication Breakdown; Fatigue; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1787885,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,When we arrived and the door was opened we started to deplane the aircraft; a full flight; just as the first three first class passengers were deplaning ; the cleaning crew started to enter asking if they could board to clean first class to start. The first class wasn't even deplaned. Only three people had deplaned while others were trying to get their bag down and deplane. I said no not at this point; which in turn the first cleaner gave me serious attitude. The Gate Agent came down; no mask on; with an attitude about us not letting the cleaners enter to clean. They had 12 people to clean; usually they have a shortage of cleaners. But we hadn't even had first class passengers cleared and they started coming on. I asked not yet; let the passengers deplane and this flight is a full flight. This is becoming a serious issue at times and passengers getting upset they can't deplane and usually the cleaners keep cleaning and not moving in so they can deplane. Understand at this time with COVID the importance of cleaning but passengers complain at me about cleaners not clearing so the could deplane. It's stressful enough with all we are dealing with no food drinks and upset passengers about what they can't have. Our passengers were moving quick and not stalling getting off.  When they were off we couldn't get our bags and personal items together.  The flight deck wasn't able to exit. I understand there is time a limit and all but this rushing is going to seriously cause problems with safety of crew and passengers.  I was wrong possibly and maybe for which i will follow these memo's I forgot about from now on. Just trying to give our paying passengers a pleasant and safe flight including safe deplaning.,,,,Flight Attendant reported there was no social distancing by the aircraft cleaners during deplaning and also stated the Gate Agent was not wearing a face mask.,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",disruptive
1819490,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,1819490,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR,,,Person Flight Attendant,Pre-flight; Routine Inspection,Aircraft Equipment Problem Dissipated; Flight Crew Overcame Equipment Problem; General Maintenance Action,Human Factors,Human Factors,Passengers boarded & travelled from ZZZ to ZZZ1. In ZZZ1; the passengers then boarded a [make/model aircraft] and boarded through the aft with their carry on bags. I saw their bags and let them know they were too big to fit in the overhead bin. Passenger stated they were told to bring them onboard as a carry on. FA A and I were trying to accommodate the bags and were then told by the Gate Agent they were smart bags & since the battery couldn't be removed; the bags would need to come off. The pax were deplaned along with their bags. FA A stated the passengers were with us (along with their bags) on the previous flight. I did not see them board with their bags on the original flight.,,,,Air Carrier Flight Attendant reported passengers were denied boarding due to carry on smart bags with non removable batteries.,"A conflict occurred between a flight attendant and ground personnel concerning a passenger's carry-on smart bags with non-removable batteries. Passengers, traveling from ZZZ to ZZZ1, boarded an aircraft with the bags through the aft door. The flight attendant indicated the bags were too large for the overhead bins. The passengers claimed they were permitted to carry them onboard. Efforts to accommodate them were made, but the gate agent insisted the bags be checked due to safety regulations. As a result, the passengers were deplaned with their bags. The flight attendant noted the passengers had been on a previous flight but didn't observe them boarding with the bags earlier. No solution was proposed during the incident.",disruptive
1742716,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1742716,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Passenger,Aircraft In Service At Gate,,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,During boarding; a passenger approached me to indicate his displeasure that another passenger was not wearing a mask. I offered to allow the passenger to move forward to the exit row to gain distance from the indicated passenger. Another passenger seated in the exit row had removed his mask as he was eating. The original passenger; seated in seat X; opted to state that it was '[expletive]' that we wouldn't force everyone to wear masks. I did ask the passengers in question to put on a mask; but he refused. I brought the situation to both the other FA and the pilots. Passenger in seat X remained quiet once he returned to his seat.Passengers are nervous about flying and rapidly changing requirements that vary from state to state as well as a general disregard for what flight attendants say on the part of the passengers.,,,,Flight Attendant reported a passenger's displeasure with other passengers not wearing masks.,"The incident occurred during the boarding process when a passenger expressed dissatisfaction with another passenger not wearing a mask. The flight attendant suggested moving the concerned passenger to an exit row to create distance, but this was complicated by another passenger in the exit row who had removed their mask while eating. The passenger in seat X became agitated, stating that it was unacceptable that mask-wearing was not being enforced. Despite the flight attendant's request for both passengers to wear masks, the passenger in seat X refused. The flight attendant then informed the other flight attendant and the pilots. After returning to his seat, the passenger in seat X remained calm. Passengers expressed general anxiety about flying and varying mask requirements, as well as a lack of respect for flight attendants' instructions.",disruptive
1748935,Aircraft X,General Seating Area,Air Carrier,Off Duty,Flight Attendant Current,,,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1748935,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors; Environment - Non Weather Related; Company Policy,Human Factors,I was a DH sitting next to Passenger X. [He] had his mask off the whole flight.When asked by working crew during cart service; he did comply; then soon took it off again. I had to ask him 3 times again. (He was sniffling and coughing). Had 2 beers.After landing he got up to deplane took off his masks then exhaled really big and loud right down to the guests sitting under him.I asked again and he did comply. Offered me to bring my luggage down I said politely 'I'll get it thank you.' He stands extremely close to a passenger standing behind him and says loudly 'She doesn't want me to touch it.' As an employee; this type of behavior is very challenging.Remind guests face mask must be worn; not complying may result in reject of boarding next time.,,,,Dead heading Flight Attendant reported issues with a passenger who was not wearing a COVID-19 mask at all times on the flight.,"The incident involved a conflict between a flight attendant and a passenger regarding the improper use of a face mask during a flight. The flight attendant observed the passenger removing his mask multiple times despite being asked to comply with mask-wearing regulations. The passenger, who was sniffling and coughing and had consumed alcohol, initially followed instructions but repeatedly took off his mask. After landing, the passenger again removed his mask near other passengers and made a loud noise. The flight attendant intervened once more, reminding the passenger of the mask policy and warning that non-compliance could lead to issues with future boarding. No explicit solution was proposed beyond the reminder and warning.",disruptive
1749667,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1749667,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Taxi,Flight Crew Returned To Gate; General Flight Cancelled / Delayed,Environment - Non Weather Related; Human Factors,Human Factors,Before handing Passenger X a hand sanitizing wipe I gently reminded him that wearing a face mask is a requirement during boarding and throughout the duration of our flight. He complied and took his seat. Once the boarding door was closed I made the required announcement and completed a compliance check noticing that Passenger X had placed his face mask under his chin again. I kindly asked him to place his face mask on and reminded him of the required policy. He complied saying 'ok no problem.' I then made our departure announcement which included an introduction as well as the audio safety briefing. During the safety demonstration Passenger X stuck his head out into the aisle making a total mockery out of me (laughing/teasing) once again visibly displaying that he was not wearing a mask. I completed my final compliance check before takeoff and I explained to him that wearing a mask is for his safety; passengers; and crew. I also explained that if he continued to refuse to wear it I'd contact the Captain to have us taxi back to the gate.The FO made an announcement stating that we were fourth in line to takeoff and we continued to slowly taxi to the runway. I was strapped in my jumpseat and noticed that Passenger X stuck his head out in the aisle again with his face mask off. I immediately called the flight deck apologizing for breaking an FAR; but it was my duty to let them know that a customer was being non compliant regarding a safety policy. The flight deck said; 'no worries at all. We'll call Operations Control and determine next steps. stay tuned.' Shortly after I received a call back stating we were taxing back to the gate. There were two customer service managers that met us at the gate. Company representative stepped off to explain what took place. I was asked to step off the aircraft to explain. Customer service personnel stepped on the aircraft and asked which passenger I was referring to because Passenger X's seat was empty. He stepped into the restroom when I stepped off the aircraft. He came out of the restroom and was escorted off of the plane. Company representative thoroughly apologized to our remaining passengers and emphasized the importance of wearing mask. We resumed our flight and had an amazing smooth flight to ZZZ.,,,,Flight Attendant reported that during taxi out a passenger refused several times to wear a COVID-19 protective mask and also mocked the flight attendant when he was reminded to wear the mask. The flight taxied back to the gate and the passenger was removed from the flight.,"The incident involved a conflict between a flight attendant and a passenger regarding the passenger's refusal to wear a face mask during the flight, despite multiple reminders. Initially, the passenger complied with the request to wear a mask but repeatedly removed it, including during the safety demonstration and while the aircraft was taxiing. The flight attendant escalated the issue by informing the flight deck, leading to the decision to return the aircraft to the gate. Upon arrival, the passenger was escorted off the plane, and the remaining passengers were apologized to. The flight resumed after the incident was resolved. The solution involved the removal of the non-compliant passenger and reassurance to other passengers about safety protocols.",disruptive
1752373,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1752373,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Gate Agent / CSR,Pre-flight,General None Reported / Taken,Company Policy; Human Factors,Human Factors,We had a passenger come on board with his family. ZZZ CSA [Customer Service Agent] asked if he had a mask at the gate. When she said he needs to wear one. He said 'I just don't want to.' CSA explained to the family that he can't fly then. He then said he will wear his mask. I was told all the above information from the CSA in ZZZ. He has not once put on his mask. When we tell him to put on a mask he says 'I'm still snacking.' As FA B I've been observing and I have yet to see him take a bite of food. He's made his intentions clear that he will not be wearing a mask by him pretending to continue snacking the entire flight. By the middle of the flight he stopped pretending to snack and made it clear he won't be wearing a mask.I confronted the passenger for the last time. Passenger has been told at least 5 times at this point. I've also made many announcements about the mask policy as well. I informed him he needs to put on a mask and that it is policy . Also told him that he was aware of the policy when he purchased the ticket. I had to repeat all that multiple times. He would continue to argue. He said he will not be putting on a mask; that a mask does more harm than good. His wife interrupted and started to argue as well. At this point I said it is policy and I will be informing the Captain. I called the Captain and he contacted ZZZ1.,,,,Flight Attendant reported a passenger refused to wear a face mask during the flight.,"The incident began when a passenger refused to wear a face mask despite being requested by a Customer Service Agent (CSA) at the gate. The CSA informed the passenger that he could not fly without a mask, to which he initially agreed but subsequently did not comply. During the flight, the passenger continued to refuse, citing reasons such as not wanting to snack, despite being reminded multiple times by the flight attendant. The flight attendant confronted the passenger at least five times, emphasized the mask policy, and informed him that he was aware of it when purchasing the ticket. The passenger and his wife argued, leading the flight attendant to inform the captain. The captain contacted ZZZ1, marking the resolution of the incident.",disruptive
1752385,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,1752385,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Human Factors; Environment - Non Weather Related,Human Factors,Passenger in XX boarded the plane with no mask; but complied once asked. He was rowdy at the beginning of the flight but did not cause any issues until he began throwing almonds at a passenger 2 seats away; when asked to stop he did. He was then asked multiple times through the flight by both FA A & B to put his mask on. He would comply when asked or when we were walking by but would take it off as soon as he thought we could no longer see. I reminded him that it was a policy; he then all at once told me he had some sort of test done and if that wouldn't work what about a medical condition so that he wouldn't haven't to wear the mask. I asked him if he had spoken to a gate agent about it which he threatened me; telling me that I didn't want to go there with him because I wouldn't win. I then decided to call the CA; and informed the passenger that this was not an argument; and that face masks are a policy and that he would be met at the gate.After deplaning; the group of older and large men that were traveling with the disruptive passenger gathered in the terminal and I felt extremely uncomfortable and unsafe walking by them. They then also got on the same tram as I and were loudly making comments in regards to me asking them to put their face masks on during the flight. In the future I would like to feel safe while doing my job and feel that I am supported for enforcing the companies policies.,,,,Flight Attendant reported a passenger being confrontational about wearing a face mask.,"The incident involved a flight attendant (FA) and a passenger who refused to comply with face mask policies during a flight. The passenger initially boarded the plane without a mask but complied after being asked. The passenger was initially rowdy but did not cause significant issues until he began throwing almonds at another passenger. When asked to stop, he complied. However, throughout the flight, the passenger repeatedly removed his mask despite being asked multiple times by the flight attendant and another crew member. When the passenger attempted to argue against wearing the mask, claiming he had a test done and possibly a medical condition, the flight attendant questioned whether he had discussed this with a gate agent. The passenger responded with a threat, implying the flight attendant would not win. The flight attendant then contacted the cabin manager and informed the passenger that the mask policy was non-negotiable, leading to the passenger being met at the gate upon deplaning. After exiting the plane, the flight attendant felt unsafe due to a group of older and large men traveling with the disruptive passenger. The group boarded the same tram as the flight attendant and made loud comments about her enforcing mask policies. The flight attendant expressed a desire to feel safe and supported in her role.",disruptive
1752390,Aircraft X,General Seating Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1752390,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,Pre-flight,General None Reported / Taken,Human Factors; Company Policy,Human Factors,During boarding for flight; Flight Attendant A called me and asked if I could come talk to the passenger in seat XB. She felt he was possibly intoxicated. I went to XB; he seemed upset and was yelling for another unknown passenger to come sit by him.  I asked him if he was doing okay; he seemed agitated and upset. He was slurring his speech and had a slight smell of alcohol. He said he was fine but wanted his friend to come sit by him. I asked him if he had been drinking. He replied 'I had a big beer but I don't drive so I'm fine.' I asked him if he was intoxicated and he replied 'I only had a beer.' At that point I went to the front of the plane and asked Flight Attendant A if she believed he was intoxicated and she stated that she did feel he was intoxicated and that he had been rude to other guests and was upset he had to wear a mask. At that point with us both agreeing he was intoxicated she informed the Captain that he needed to be removed due to him being intoxicated.,,,,Flight Attendant reported a possibly intoxicated person was removed from flight.,"The incident occurred during the boarding process of a flight. A flight attendant, referred to as Flight Attendant A, noticed a passenger in seat XB who appeared to be potentially intoxicated. She requested another flight attendant (the user) to approach the passenger and assess the situation. Upon arrival, the passenger was agitated, slurring his speech, and had a noticeable smell of alcohol. He claimed to be fine but became upset when asked if he was intoxicated, stating he had only consumed one beer and did not consider himself drunk. Flight Attendant A and the user agreed that the passenger was intoxicated and that his behavior was disruptive. Flight Attendant A informed the captain, and the passenger was subsequently removed from the flight.",disruptive
1752712,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1752712,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Pre-flight; In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Company Policy,Human Factors,Flight Attendant refused to sit in assigned jumpseat; said she didn't want to face passengers; chose to sit it in aft facing jumpseat for taxi takeoff and landing. I tried to explain that you have to sit in assigned seat and why. After landing I explained I'd have to do a report; she started screaming and talking over me that I should go home and if this bothered me I should see a doctor for help. Several times I tried to explain to no avail. Flight Attendant also wore headsets for takeoff and landing. This Flight Attendant needs training to know why it's important to sit in assigned jump seats.,,,,Flight Attendant reported another flight attendant did not sit in the assigned jumpseat.,"The incident occurred during a flight when one flight attendant (Party 1) chose to sit in an aft-facing jumpseat instead of their assigned seat, avoiding passenger interaction. The reporting flight attendant (Party 2) attempted to explain the importance of occupying the assigned jumpseat. After landing, when the reporter mentioned filing a report, Party 1 became upset, screaming and suggesting the reporter leave or seek medical help. Despite efforts to reason, no resolution was reached. As a result, the reporter documented the incident, and Party 1 was recommended for additional training on jumpseat protocols.",disruptive
