ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2119017,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown; Other / Unknown; Troubleshooting,Party1 Flight Attendant; Party2 Ground Personnel,2119017,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Pre-flight; In-flight,,Human Factors; Procedure,Human Factors,A passenger made me aware during boarding that they had placed both a men's electric razor and a camera(s) in their checked luggage and they were concerned that either or both contained lithium batterie(s).At the time; my thought process was that; they may or may not actually be lithium batteries; they were not just 'loose' batteries; and they were housed in a device. Ultimately; I failed to notify either Operations in ZZZ or the Captain. Upon reflection during the flight and; as not to create an 'issue;' I realized that I had failed to handle the situation correctly. In an effort to not continue the risk; upon arrival in ZZZ1; I spoke with the Operations Agent and explained the situation and asked if it could be corrected. The Operations Agent indicated to me that the passenger's bags would be pulled prior to their connecting flight. I then spoke to the passenger(s) and asked them to speak with the Operations Agent. Self-realization that each of us is critically responsible for the safety of our crew; our passengers and our assets. That it is not an issue to stop what is currently happening and address it at the time. To hope that if you do make an error that by handling it at the time; that you will not be perceived differently by the crew. Is it possible that checked baggage be screened for items such as lithium batteries; thereby reducing the factor of human error?,,,,Air carrier Flight Attendant reported failing to notify the appropriate parties before departure after learning about a passenger's checked bag that may have potentially contained lithium batteries. After arriving; the reporter notified an Operations Agent to deal with the bag's contents.,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",equipment malfunction
1978886,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),,,,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1978886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Human Factors; Aircraft,Human Factors,Around XA45 while in flight; in cruise; Captain calls and informs Person A and I that we have a situation in which the nose gear is not functioning properly and that it's still down. That we will be landing in 20 minutes; but he's going to circle to get rid of some fuel and hear back from Tower on what to do next. He will call back shortly with an update; for Person A and I to remain seated until he calls back to give us further instructions and information. We complete our procedure and hang up. Person A then calls me and we synchronize our watches and talk about what we plan on doing once the Captain calls back with further instructions. By this time it's XA51; 14 minutes left before we land. Around XA58; Captain comes on the PA and informs passengers of the situation. States we're heading back to ZZZ; due to nose gear issue; but it will be a normal landing. XA59; Captain calls to Person A and myself; repeats normal landing; all gears are down; including the nose gear; all lights show green; we should now be landing in 10 minutes. We repeat procedure; Person A ask Captain is it okay to make our announcements now; he states 'Yes' and set clocks now to 9 minutes; which is XB01. Person A does the announcement; we do compliance check and walk through. After accessing outside; we noticed we still had time and we made the before landing announcement. Did another compliance check; after that we took our seats. By that time it was XB10; landed at XB20. Normal landing as stated by the Captain; arrived to gate; and then deplane. End up switching aircraft and departing out of another gate.,,,,Flight Attendant reported a landing gear malfunction required a return to the field.,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",equipment malfunction
1895886,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Communication Breakdown; Confusion; Other / Unknown,Party1 Flight Attendant; Party2 Flight Crew,1895886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; No Specific Anomaly Occurred Unwanted Situation,,N,Person Flight Crew,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Aircraft,Human Factors,"I was the FA on the flight and was working with Captain (CA) and First Officer (FO) from ZZZ1-ZZZ. We landed in ZZZ and as I opened the Main Cabin Door; I was greeted by about six people. One from Rescue asked is everyone alright?' I said yes why? He said we had [requested priority handling]. I then noticed fire trucks beside us. I had no idea about anything happening until the flight deck door opened and then I heard some things...I was then told that we had a pressure issue and we had [requested priority handling]. To my surprise; I was taken back and waited until I could talk to the Captain after passengers deplaned. We (passengers and I) didn't have any indications of a problem and O2 masks did not deploy at any time during the flight. A few passengers asked why the fire trucks were there and I could not answer them. After everyone was gone and the Captain was off the cell and did paperwork on the aircraft; I asked him what happened. He told me we had pressure problems during the flight and that they had to [request priority handling]. I asked him why I wasn't informed of any of this and he apologized and said he was sorry. He said he was too busy...""",,,,Air carrier Flight Attendant reported discovering a pressurization malfunction had occurred in flight after the aircraft had arrived at the destination gate where several emergency and company personnel were waiting. The Flight Attendant reported there was very poor communication with the pilot crew.,"The incident involved a pressurization malfunction during a flight, which led to the aircraft landing with emergency services present. The flight attendant observed fire trucks and was informed of the issue after passengers had disembarked. The captain later explained the pressurization problem but apologized for not informing the attendant, attributing the lapse to being too occupied. The flight attendant experienced poor communication from the flight crew, resulting in unanswered passenger inquiries about the emergency vehicles. The outcome highlighted a communication breakdown between the flight attendant and the pilot crew. The captain acknowledged the issue and apologized, indicating a recognition of the communication failure but not specifying a particular resolution.",equipment malfunction
1918721,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Training / Qualification; Time Pressure; Communication Breakdown; Troubleshooting; Workload,Party1 Flight Crew; Party2 Flight Attendant,1918721,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Landed As Precaution; Flight Crew Diverted; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors,Human Factors,Flight from ZZZ to ZZZZ; flying a route down to coast to avoid weather Severe WX. Between ZZZ1 and ZZZZZ Captain did a normal system monitor check. Upon looking at the COND page; he noticed the AFT Cargo Temp at 180 degrees (Steady Green); asked me if I had seen a temp that high; I replied No! We kept an eye on it; over the next 10 minutes; noticed it rising to 188 degrees; then 194 degrees (still Steady Green) where it stayed for the duration of the flight. This made us uncomfortable for normal Cargo Bay temperatures in my 3;000+ hours flying this aircraft at 2 different airlines have never exceeded cabin temperatures during cruise. We simultaneously started looking into what could be a catastrophic problem. I got into the QRH AOM/FOM/and other manuals to look for temperature limitations and fixes. I found none; anywhere. During the same time; Captain got on the Phone with Operations and phone patched to Maintenance Control; where they attempted multiple resets to no success. When Captain got off the phone with Maintenance; he said; 'Well nothing fixed It; and they (Maintenance) said we are on our own.'At that point; we agreed as a crew that we didn't know what was going on down there. We were both not comfortable taking an aircraft with this indication over water; with limited divert options to an international location; and with no company or Contract Maintenance at the destination not knowing what was going on down there. The indication was steady at this point; not rising higher [than] 194 degrees; nor giving any other indications to the back when we notified the Flight Attendants and told them what was going on. At this point; we felt we were not in a land as soon as possible scenario; but in a land as soon as practical scenario but keeping land as soon as possible options available and we decided to divert to ZZZ2. We gave ATC a PAN PAN call since we were going to a divert airport that wasn't our alternate but that we were not at the time an emergency aircraft; we just wanted to have all our bases covered. We notified Dispatch both via phone patch and ACARS. During descent we were cleared the ZZZZZ Arrival to ZZZ2.We were still grossly overweight with a lot of gas; so we referenced the overweight Checklist. With that; we decided that with the condition still not worsening from what had been continuously indicated with no secondary indications or issues coming from the cabin; Captain and I both agreed that in an effort not to compound the problem we should hold to burn down gas; but having immediate [landing] options nearby; so we held at ZZZZZ1 at 16;000 ft. for 30-40 min and got to a calculated weight that would put us on deck in ZZZ2 right at Max landing weight. We continued to ZZZ2 via the arrival; for an uneventful Runway XX landing. On a side note; the XX transition from the ZZZZZ Arrival is a bit of a slam dunk. We asked for a bit longer final to get down; stabilized; and situated; and ATC approach gave us a few last second altitude; headings; and speed amendments through final which started to task saturate us as we prepared for landing. For example: open descent from 6;000-3;000; we were told to amend altitude and maintain 4;000 ft. while passing 4;200 feet; thrust idle; and speed brakes out. We blew through the altitude and had to climb back up Auto Pilot off; ALT horn blaring; and engines spooling up to 80+%; and getting speed brakes back in. We were also given several headings through final; and were asked to slow to final approach speed 10 plus miles outside the final approach fix at 4;000 feet; and approach didn't give us an approach clearance until we had flown through the glide slope on the localizer; and had to join from above; in order to sequence aircraft landing [Runway] XYL; which started to compound our landing configuration planning; and a go around was not something we were hoping to do; especially off of a PAN PAN call. We later found that on a couple of occurrences; ATC did not pass the PANPAN or divert info from Center to Center to Approach. We were later reassigned upon arrival to fly a ZZZ3 Turn that left in 5 minutes.I told Company that we just went through a lot; and that if they wanted us to fly that turn; that I needed a break for an amount of time that I was setting; some food; and so the Captain and I went and had a sit down meal; decompressed; talked about what had happened; after an hour or so I assessed my fitness for duty and felt I was good to fly the turn. The Captain and I were sitting on the jet; and when we called for push going to ZZZ3; Ramp told us to hold and that Maintenance wanted to talk to us. The maintenance team member got on the radio; asked if we were the crew that brought Aircraft X in from ZZZ; I replied yes; and he told us we needed to fill out a fume report. Captain asked what he was talking about; and told him this was the first we have heard about any fume incident. The Maintainer on the radio said the Flight Attendants had filed a fume report after the flight; and we needed to do the same. The Flight Attendants never told us anything about fumes nor their intent to fill out any such reports. Captain then filed a fume report said he had no information to give for we knew nothing about it. I felt Captain had communicated very clearly what was going on to the flight attendants about the situation; and our intent to divert. They had never communicated any such issues during any duration of or after the flight. Unknown from the high temperature in the Aft Cargo Bay. We did later saw that Maintenance replaced the sensor in the aft cargo bay via the app. We were curious that with all the ZZZ team members in Training vests if maybe they stacked the bags in the aft cargo bay above the line and possibly covered the sensor or did something to It. However; As far as the 'suspected' fume event; there was no communication from the flight attendants to the cockpit crew for this event. We noticed via the app that Maintenance later deferred the APU to prevent 'further fume events' due to the suspected fume event we were later notified about from ZZZ2 Maintenance. Not sure why if there is a fume event (or even a suspected fume event) why they don't further investigate the problem or fix the problem; rather than just pencil whip it into deferment. If there was any fumes in this situation; how would MX (Maintenance) know they came from the APU and not from any potential problem we were encountering? Put quick reference limitations on a Cockpit Card or in the QRH or checklist to quickly reference for situations such as these. I felt like we were on an Easter egg hunt for something that we later found wasn't there which wasted a lot of our decision making time. I know that Airbus FCOM (Flight Crew Operations Manual) and other manufacture manuals/reference material has such limitations for quick reference from my experience at a previous Airbus airline. Why can't the company get on board with Airbus??? Make sure Flight Attendants communicate to the cockpit if they were smelling fumes.,,,,A321 First Officer reported an abnormally elevated Aft Cargo Bay temperature during cruise. After conferring with maintenance; the flight executed a precautionary diversion for maintenance.,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",equipment malfunction
1943492,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,1943492,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Ground Strike - Aircraft,,,Person Flight Crew; Person Flight Attendant; Person Passenger,In-flight,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action; General Work Refused,Human Factors,Human Factors,There was an initial hard landing and second contact with the runway which was the tail strike. The plane then proceeded to skid from side to side in an aggressive manner before coming to a halt. I heard an audible gasp of relief from the passengers in the back of the plane. Once the passengers deplaned; the pilots left the aircraft without a debriefing. We had to inform the incoming pilots about what had just occurred. The new Captain informed us there was now a leak where the tail strike was. Maintenance was contacted and attempted to repair the leak. Maintenance wanted to defer the aircraft to have it flown to ZZZ. The Captain ultimately didn't feel safe with this decision and made the call for a new aircraft.,,,,Air Carrier Flight Attendant reported a tail strike and aggressive runway skidding. Once the passengers deplaned the Captain departed without a debrief to the Flight Attendant who informed the new Captain; who refused the aircraft.,"The incident involved a hard landing followed by a tail strike, causing the aircraft to skid aggressively on the runway. After passengers deplaned, the initial pilots departed without debriefing the flight attendant. The new Captain was informed about the tail strike and subsequent leak. Maintenance attempted repairs but couldn't fix the issue, leading the Captain to decide against using the aircraft further. As a result, the plane was deferred, and a new aircraft was used.",equipment malfunction
1733955,Aircraft X,,Air Carrier,Flight Attendant (On Duty); Flight Attendant In Charge,,,,Time Pressure; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,1733955,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Aircraft; Human Factors,Human Factors,During aircraft cleaning; the aft galley was being catered. They catered the front next. Upon completing catering; and when the R1 door was closed; I noticed that the warning strap was across the window. I immediately called it out and said 'why is that strap across the window'? The door was obviously disarmed as there was no slide deployment. D Flight Attendant was with me. The CSA (Customer Service Associate); who was waiting at the R1 door; then said 'you gave the caters a thumbs up when they knocked and the strapped was attached' which I do not recall doing. D Flight Attendant didn't see the warning strap in the armed position when she boarded the plane either. I immediately moved the warning strap to the disarmed position and noticed that the velcro strap on the extension piece was worn out to the point where the extension would not stay attached. It constantly fell down and hung.I told the First Officer as she was leaving the flight deck that we had an issue with the R1 warning strap. She indicated that they were about to time out and discounted my comment. I made her look at the strap. She came to the door and said 'no; it works; see'. I showed her that 4/5 attempts to place the strap on the Velcro didn't work; it would fall down. She said 'well you gotta talk to the Captain about it' and then entered the bathroom. I then proceeded to talk to the Captain. He stopped me before I even started and said 'if you tell me anything I am obligated to put it in the book; so is this really important?' I said yes; I have an issue with the warning strap. He also indicated that they had a timing issue and couldn't take any delays. I told them that I needed Maintenance. Maintenance came and fixed the strap. I don't know what happened with the strap being across the window in the armed position. I can only speculate that catering attached it while it was hanging down. If it was in place; they shouldn't have opened the door; the CSA should have also said something as she was waiting by L1; apparently watching; and the entire inbound crew should have checked upon deplaning. I find it odd that all of these checks would have been missed. Furthermore; I didn't appreciate being put in a position where I had to make the call if we were going to take a potential delay and possibly cancel the flight due to a timing out issue. My only job is to bring cabin discrepancies to the captain's attention. This was a poor example of CRM. This morning; I had a conversation with the Captain regarding the events yesterday and reiterated what I have written in this [report]; about poor CRM and putting me in an uncomfortable situation. He agreed and said they handled the situation poorly. As we are flying together today on an ETOPS flight to ZZZ; I didn't want to there be any communication issue before we left. Our conversation was pleasant and we cleared the air.,,,,Flight attendant reported a CRM issue developed with the flight deck crew after reporting there was a minor maintenance issue with an aircraft door.,"The incident arose from a maintenance issue with the R1 door warning strap, which the Flight Attendant noticed during cleaning. She reported the strap was improperly positioned and highlighted worn Velcro causing instability. Despite the First Officer and Captain dismissing her concerns initially, the Flight Attendant persisted, leading to Maintenance being called, who subsequently repaired the strap. The situation highlighted shortcomings in CRM, prompting a later discussion between the Flight Attendant and Captain, resulting in a commitment to improve communication and address such issues more effectively.",equipment malfunction
1755324,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Time Pressure; Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1755324,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Time Pressure; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew; Party2 Flight Attendant,,1755326.0,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant; Person Flight Crew,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Aircraft,Human Factors,During pre-flight of Flight ABCD ZZZ-ZZZ1; Flight Attendant informed the Captain that the sink was empty of water and a note had been left in the lavatory informing of the issue. Noting that potable water is not available at the outstation; the Captain made the decision to depart as scheduled to meet on time arrival at ZZZ1. Upon arrival at ZZZ1; crew noted that ground operations did re-fill [the] potable water tank. Crew was unaware that the lavatory sink itself was inoperative.,,Flight Attendant notified me of a note in the lavatory stating that there was no water in the lavatory sink. The Flight Attendant said she could not get any water to dispense from the sink. I made an assumption that the reservoir was empty; and that was the reason why it was not working. I made the decision to continue with the flight knowing that ZZZ did not have the capability to refill the reservoir. Thinking we could have it filled in ZZZ1. I was notified later in the day that the sink in that aircraft was inoperative and it had caused a delay on the aircraft's next flight. [I] was given a call and counseled about having potable water in the aircraft lavatories due to COVID-19. I regret the decision that I made as Captain. I just wanted to get the passengers to their final destination. I should have complied with Standard Operating Procedures.,,Air carrier flight crew reported they departed with an inoperative lavatory sink.,"The incident occurred on flight ABCD between ZZZ and ZZZ1. The flight attendant noticed the lavatory sink had no water and informed the captain, who decided to depart as scheduled, assuming the water tank was empty and couldn't be refilled at the outstation. However, upon arrival, ground operations had refilled the water, but the sink remained inoperative, causing a delay in the next flight. The captain later regretted not following standard procedures, particularly due to COVID-19 considerations. The solution emphasized adhering to SOPs to prevent similar issues.",equipment malfunction
1769363,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Situational Awareness; Distraction; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,1769363,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,I am the A Flight Attendant. Passenger X was making a connection. She also needed an aisle chair. My tablet was acting glitchy and I could not pull the station flight service phone numbers. There was not a jet bridge phone and no plane phone numbers. There were 2 passengers trapped at the 1 and 2 seats while the aisle passenger was in the 3 seat. Total of 3 people stuck. Passenger X was getting very restless and stressed. I was not aware; for the passenger's safety; I was not to leave and inform the Agent of the urgency for the aisle chair. I deeply apologize; this will never happen again. Working conditions with COVID; are very stressful.Make sure that every flight has availability to jet bridge phones numbers; to communicate with the Gate Agents.,,,,Flight Attendant reported staff shortage and poor customer service due to the COVID-19 pandemic contributed to some passengers not being able to deplane in a timely manner.,"The incident occurred due to technical difficulties faced by the flight attendant, who was unable to communicate with ground personnel because her tablet malfunctioned and there were no available jet bridge or plane phones. This communication breakdown led to a delay in providing an aisle chair for a connecting passenger, causing three passengers to remain on the aircraft longer than expected. The flight attendant expressed regret for the delay and suggested that ensuring access to jet bridge phone numbers could prevent future issues. To address the communication challenges, it was recommended that every flight be equipped with jet bridge phone numbers to facilitate timely communication with ground agents, thereby improving customer service and ensuring timely passenger deplaning.",equipment malfunction
1676232,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Communication Breakdown; Confusion; Time Pressure; Situational Awareness,Party1 Maintenance; Party2 Flight Attendant; Party2 Flight Crew,1676232,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Maintenance,Aircraft In Service At Gate,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Physical Injury / Incapacitation,Aircraft; Procedure; Human Factors; Company Policy,Human Factors,This unfortunate event could have been avoided. One; if the crew never left the gate when they encountered a power distribution irregularity when switching from ground to APU power. Two; if Line Control had a Jetway Operator standing by at the gate. And three; if there was a better and clearer communication between the maintenance crew.I received a gate call on the radio; that Aircraft X was coming back to the gate; due to a 'Warn Elec' message on EICAS. I was informed by Line Control that Aircraft X was returning to the gate and was asked if I needed the jetway to be pulled up. I replied 'Yes I will need the jetway pulled up'. Myself and two mechanics that were assigned to Aircraft X; headed out to the gate. As we approached the gate; the ground crew were getting ready to greet the aircraft; no Jetway Operator. At this time I made a second request to Line Control; for a Jetway Operator. The aircraft arrives; the ground crew guide the plane in. One Mechanic jumps on the headset; the other climbs in to the E compartment to reset circuit breakers.I was thumbing through the iPad; looking for possible causes in the AMM (Aircraft Maintenance Manual) and FIM (Fault Isolation Manual) procedures. Maintenance was ready to go. Still no Jetway. At this time I decided not to wait any longer and go through the hatch of the plane and get onboard. I pointed upstairs to the Mechanic on the headset. I got his attention a second time and mouthed 'upstairs' and pointed upwards again. He nodded. As I am climbing in the E compartment; I got the other Mechanic's attention. He had told me that he reset circuit breakers and that I should see if the message cleared. I agreed.I banged on the hatch before opening it; then proceeded to crack it open. I saw light; looked clear to open. Heard a yell; then a foot come through; hitting me on the head; face; then right shoulder. I reacted by catching a foot with a black shoe and proceeded to hoist the foot to safety; by placing it in the galley on solid ground. I got out and I saw an elderly gentleman; a Flight Attendant; sobbing from pain sitting down. At this point I headed into the cockpit and I started pushing buttons to clear the message. No help. The First Officer and the Observer were explaining the problem they encountered before leaving the gate initially. The Captain was more concerned with the Flight Attendant; than getting this plane out. He took his time and explained to the passengers in great detail of the happenings that occurred. He should have just assured the passengers that matters would be solved quickly and swiftly; instead of shining the light on us maintenance. He was very rude and never once did anyone ask me if I was okay.Now; people are starting to show up. Port Authority police; some safety members from our maintenance department; one other mechanic. Through this bad ordeal; I am disappointed as to treatment that I was subjected to by the Port Authority police; the Captain and one female flight attendant; who felt that her opinion mattered more than the professionalism required to maintain in front of our customers. It never ceases to amaze me on how insignificant we as mechanics are made to feel by other departments here at [Company]. I thought we were all on the same team!,,,,Mechanic reported that a Flight Attendant was injured when he accidentally stepped through an open floor hatch.,"The incident occurred when a maintenance crew responded to a 'Warn Elec' message on an aircraft, leading them to attempt resetting circuit breakers. Due to a delay in obtaining a jetway operator, the maintenance team proceeded without one, resulting in a mechanic entering the aircraft through an open hatch. During this process, a flight attendant accidentally stepped through the hatch, causing injuries to both the flight attendant and the mechanic. The Captain's management of the situation and subsequent interaction with the maintenance crew were perceived as disrespectful, highlighting a need for improved interdepartmental communication and support systems. Proposed solutions include ensuring a jetway operator is available and enhancing communication protocols to prevent such incidents. The outcome underscores the importance of teamwork and respect in addressing technical issues efficiently.",equipment malfunction
1718343,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),,,Boarding; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew; Party2 Other,1718343,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors,Human Factors,While boarding a flight I noticed a very large hard covered box in the overhead bin. I asked who's it was and a guest said it was his. I asked him what it was and he said a drum set. I asked if it had a Lithium battery and he said yes. I asked if it could be taken out he said no. That's why It's on the plane because they wouldn't let it go below and I said OK. He said he does it all the time.I then went up and asked the Customer Service Representative to come back and look at it if they had checked it out and she also had a lead on board neither one of them ever answered my questions. Did someone approve this item?I went and talk to the Captain because I was concerned this large box was half the size of the bin with lithium batteries in it and I know that it would not fit in the battery containment bag. We were flying 5 hours over water.I talked to the Captain and he said there were cell phones and laptops on Board with Lithium batteries in them and I said but this box would not fit in our battery containment bag they would. He then said he thought it was OK; so the guest brought his large bag in the overhead bin. I would like to know if this item is approved?We should have checked this item out further before flying.,,,,B737-900 Flight Attendant reported concerns regarding transport of large Lithium Ion battery powered device in cabin overhead without thorough research.,"During a B737-900 flight, a Flight Attendant discovered a large hard-covered box in the overhead bin, which a passenger identified as a drum set containing a lithium battery. The attendant expressed concerns about the item's size, its inability to fit into a battery containment bag, and the presence of lithium batteries, particularly since the flight was scheduled to operate over water for five hours. The attendant sought clarification from the Customer Service Representative (CSR) and the Captain regarding the item's approval but did not receive satisfactory answers. The Captain acknowledged the presence of other lithium battery-powered devices on board, such as cell phones and laptops, but deemed the drum set acceptable. The attendant raised questions about the lack of thorough research into the item and proposed that such items should be checked more carefully before departure. The incident highlights concerns about lithium battery safety and the need for proper review procedures.",equipment malfunction
