ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2068792,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Time Pressure; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,2068792,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Taxi,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,Have submitted report. Bio hazard found by Flight Attendants behind last row of seats in economy. Plane had already pushed back from the gate. Crew voiced concerns about the finding and I held conversation with Captain about crew concerns. Captain initiated a conversation with operations; and I went to the rear of the plane to investigate the situation further. The biohazard bag had not been closed so I put on gloves and carefully looked  inside. The contents were soiled; linens; wipes; and the dustpan from the large bag. After discussion with the crew; we agreed that we were happy to put the bag into a sealed container as we knew what the contents were. I returned to door; and reported my findings to the Captain and also of the conversation amongst the crew. Had the bag being sealed and tied it was agreed amongst the crew that none of us were happy or comfortable; taking the bag on a flight due to security concerns; and we would have wanted to have had the bag removed. This situation could have been avoided had there been more time to do a thorough cleaning of the aircraft and for the flight attendants to do their thorough checks before passengers; started boarding,,,,Air carrier Flight Attendant reported notifying the Captain of a 'Bio hazard' container of soiled linen during departure taxi. The crew sealed the bag and the flight continued to destination.,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",health and medical issues
1787885,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Workload; Troubleshooting; Time Pressure; Communication Breakdown; Fatigue; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1787885,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,When we arrived and the door was opened we started to deplane the aircraft; a full flight; just as the first three first class passengers were deplaning ; the cleaning crew started to enter asking if they could board to clean first class to start. The first class wasn't even deplaned. Only three people had deplaned while others were trying to get their bag down and deplane. I said no not at this point; which in turn the first cleaner gave me serious attitude. The Gate Agent came down; no mask on; with an attitude about us not letting the cleaners enter to clean. They had 12 people to clean; usually they have a shortage of cleaners. But we hadn't even had first class passengers cleared and they started coming on. I asked not yet; let the passengers deplane and this flight is a full flight. This is becoming a serious issue at times and passengers getting upset they can't deplane and usually the cleaners keep cleaning and not moving in so they can deplane. Understand at this time with COVID the importance of cleaning but passengers complain at me about cleaners not clearing so the could deplane. It's stressful enough with all we are dealing with no food drinks and upset passengers about what they can't have. Our passengers were moving quick and not stalling getting off.  When they were off we couldn't get our bags and personal items together.  The flight deck wasn't able to exit. I understand there is time a limit and all but this rushing is going to seriously cause problems with safety of crew and passengers.  I was wrong possibly and maybe for which i will follow these memo's I forgot about from now on. Just trying to give our paying passengers a pleasant and safe flight including safe deplaning.,,,,Flight Attendant reported there was no social distancing by the aircraft cleaners during deplaning and also stated the Gate Agent was not wearing a face mask.,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",health and medical issues
1840114,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Physiological - Other,Party1 Flight Attendant; Party2 Other,1840114,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors,Human Factors,After completing our ZZZ1 turn and landing in ZZZ the B FA and I headed to our next Gate where we were approached by a Supervisor who asked us if we had just arrived at [Gate] XX from ZZZ1 and when we confirmed we had; he asked how we were doing. We were confused by this question because we had been uniformed of any issues regarding our flight. Then he proceeded to tell us that there was an air quality issue with that aircraft. We were even more confused as to why we were not made aware of this issue and wanted confirmation or at least more information about what we were dealing with. He then left us and we began communication with CSS (Cabin Service System); and tried to contact a Supervisor. We then learned that it was in fact our aircraft; and they were now tail swapping it out of service. I am unclear on what we should be doing; if we should be concerned for our health; or be tested? I was under the impression that the Supervisor who first approached us would return with more information or at least confirm that it was our flight. I am not feeling well; but I am unsure now if I was already getting sick; or if it was caused or exasperated by this aircraft. I feel like we have been blindsided with some potentially health threatening news and left with no guidance.We need someone to be following up with us about what's going on and what the exact report entails so we can make an educated decision on how to proceed and weather to be tested or not.,,,,Air carrier flight attendants reported an 'air quality' issue after deplaning the aircraft.,"The flight attendant was approached by a supervisor after landing who informed them about an air quality issue with their aircraft. The attendant was confused as they had no prior notice and sought more information, which they obtained through the Cabin Service System. They learned their aircraft was being replaced. The attendant expressed concerns about their health, unsure if their illness was due to the aircraft or pre-existing. They felt blindsided and requested follow-up and clarification to decide next steps.",health and medical issues
1736305,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty); Flight Attendant In Charge,Flight Attendant Current,,Deplaning,Situational Awareness; Distraction; Communication Breakdown; Other / Unknown,Party1 Flight Attendant; Party2 Flight Attendant,1736305,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Situational Awareness; Other / Unknown; Distraction; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,,1736314.0,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,After we arrived in ZZZ; we left XX passengers on the plane before the next crew was at the aircraft. We left for our next flight. We had a medical incident onboard during the flight. While our CRM was effective; there were many decisions to be made. While our country is currently in a national emergency; any serious medical event leads to uncertainty. All three flight attendants were in constant communication with the Captain. At first we were told no passengers could leave the aircraft when we landed. We had passengers who were aware of the situation and wanted to be involved. Of course our first priority was the safety of our passengers and crew; we also were aware of the effect any decision would have on the company. After discussion with Station Ops and Dispatch; the Captain was instructed to not hold the passengers; and that the aircraft would be cleaned upon arrival. We also spent the entire flight containing the incident so all passengers felt at ease about their safety. I felt we were successful. However; in this coronavirus environment; it was very stressful and we had to remain calm and in control. We were dealing with many different situations and important decisions during the flight.,,After the deplaning of Flight XYZ from ZZZ to ZZZ1; the one of the crew members failed to stay with the XX through passengers. During this flight; we encountered many distractions including a passenger that vomited in the forward lav and we alerted the Captain due to the national concern over the scare of the coronavirus. The crew maintained excellent CRM skills when communicating with the flight deck. The flight deck notified medical service and Dispatch. I was also comforting a woman who was flying to see her gravely ill mother.,,Flight Attendants reported concerns about a sick passenger in their flight.,"The incident was triggered by a medical situation involving a sick passenger on board a flight from ZZZ to ZZZ1. The flight attendants encountered a vomit episode in the forward lavatory, attributed to a national health concern, and promptly alerted the captain. They maintained effective communication with the flight deck, ensuring the situation was managed with care. The crew coordinated with medical services,Dispatch, and Station Ops, leading to the decision to allow passengers to deplane after the aircraft was cleaned. Additionally, the attendants comforted a passenger whose mother was gravely ill. The flight attendants successfully managed the medical incident, ensuring passenger safety and comfort. Passengers were permitted to deplane post-cleaning, adhering to safety protocols amidst the pandemic, thus resolving the situation effectively.",health and medical issues
1743828,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Communication Breakdown,Party1 Flight Crew; Party2 Other; Party2 Flight Attendant,1743828,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,Y,Person Flight Crew,Aircraft In Service At Gate,,Environment - Non Weather Related; Human Factors,Human Factors,Had a lot of confusion and miss communication at the beginning of a passenger event. Originally I was told that there was a passenger at the gate who does not have a face mask isn't going to wear one. Also that that passenger was telling people at the gate of having had the virus already. On top of that I was told this passenger had a medical problem they were traveling to ZZZ to be worked on. I was also hearing that passenger was being disruptive.One of my flight attendants had a concern of this passenger still being contagious and being a disruptive passenger. With the passenger still being at the gate I started to receive more information I was told to contact MedLink. Turns out that the gate had already been in touch with MedLink and the passenger had already been cleared by MedLink. As for the pre-existing medical condition; the passenger told the gate of not wearing a mask because it causes asthma attacks. I verified this to be a possibility with MedLink on my side.As for the disruptive behavior I spoke with the station manager and he informed me that the passenger was being cooperative and only just understandably a little frustrated. I asked him if he thought passenger would be an issue in flight and he indicated that he did not believe that to be the case. After speaking with my flight attendant about her concerns we decided they had all been resolved and we allowed the passenger to board the flight. I think this is new to all of us and I don't think I could do anything different.,,,,Air carrier Captain reported a series of miscommunications regarding a boarding passenger who was possibly contagious with COVID-19. After the Captain spent time resolving the issue; it was determined that the passenger could be allowed to board.,"The incident involved a passenger at the gate without a face mask who claimed to have COVID-19 and cited a medical condition (asthma) as the reason for not wearing it. The flight attendant expressed concerns about the passenger being contagious and potentially disruptive. The Captain addressed the situation by contacting MedLink, who confirmed the passenger was cleared. The station manager reported the passenger was cooperative. After resolving concerns, the passenger was allowed to board. The outcome was the passenger boarding the flight following the resolution.",health and medical issues
1744573,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1744573,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Attendant,Pre-flight,,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,Upon boarding my flight I was approached by a Flight Attendant refusing to wear a mask. I inquired why and was informed COVID is fake and masks violate constitutional rights. I was afraid of confrontation to push back further; so I just asked Flight Attendant to stay away from me. It created an uncomfortable work situation where I had to decide between feeling safe; and wanting to maintain peace. For the rest of the trip not only was my health put at risk; but others were as well. From other cabin to each and every passenger on board; our health was more at risk then it needs to be due to non-compliance of a requirement.To avoid a lack of CRM and a situation where FAs might become hostile towards each other; as well as for everyone's health and safety; masks must be mandated unless strictly for medical reasons.,,,,Flight Attendant reported that another Flight Attendant refused to wear a mask during boarding and throughout the flight. Reporter expressed concern that the health of passengers and other cabin crew were put at risk.,"The incident involved two flight attendants on board a flight. Flight Attendant 1 reported that Flight Attendant 2 refused to wear a mask during boarding and throughout the flight. Flight Attendant 1 expressed concern over the risk to passengers' and crew's health due to non-compliance with mask requirements. Flight Attendant 1 also highlighted the discomfort caused by the situation and the potential for conflict between crew members. To address the issue, Flight Attendant 1 suggested that masks should be mandated for all crew members unless there was a medical reason for exemption. The reported incident emphasized the importance of prioritizing health and safety measures to prevent further risks to the cabin environment and crew relations.",health and medical issues
1749902,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Communication Breakdown; Distraction,Party1 Flight Attendant; Party2 Other,1749902,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,,General None Reported / Taken,Company Policy; Procedure; Human Factors; Environment - Non Weather Related,Human Factors,I had begun to do the brief and was interrupted by customer [who was] uncomfortable about the seating arrangement and COVID-19.Can't remember if I finished or not but just thought I'd self report in case I didn't.,,,,Flight Attendant was interrupted during the briefing by a passenger who was concerned about the seating arrangement due to COVID-19 reasons. Flight Attendant was not sure if the briefing was completed.,"The incident involved a conflict between a Flight Attendant (Party 1) and a passenger (Party 2). During the flight, the Flight Attendant began conducting a briefing but was interrupted by the passenger, who expressed discomfort regarding the seating arrangement due to concerns about COVID-19. The Flight Attendant was unsure whether the briefing had been successfully completed and subsequently self-reported the situation. No specific solution was proposed in the context provided.",health and medical issues
1751692,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Confusion,Party1 Flight Attendant; Party2 Other,1751692,,,,,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct; Flight Deck / Cabin / Aircraft Event Illness / Injury,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,Just after door closed; Passenger X came back and asked to use the restroom.  He said that he was about to start coughing.  Once inside the lav; we (myself and other passengers) could hear him coughing so hard that he was gagging.  2 passengers expressed concern.  When he came out; I asked if he was feeling alright.  He told me that it was just allergies and he didn't want to start coughing in front of everyone.  Twice; during taxi; I had to ask him to put his mask back on. (Note: if someone is eating or drinking; I leave them alone.  But he was reading and/or digging through his bags.)  In flight; as soon as I went upfront; we went into the lav again after 2 more lav visits; I went back and asked him again if he was alright.  He told me that he 'Wasn't feeling well;' but that it was because he hadn't eaten breakfast. We provided everyone with snack bags and I kept an eye on him.  After several more lav trips; I called the PIC and informed him of what was going on.  The PIC asked us if we had a way of taking his temp. We said no and suggested he call for a [customer service agent] to meet the flight.  Throughout the flight; Passenger X came back to use the restroom a total of 5 times and had to be told 3 times to; please; put his mask back on.  Just after we had taken our seats for landing; he came back for a 6th time and asked me to move so that he could use the restroom.  I told him that we were about to land and that he needed to return to his seat.  He wasn't happy; but complied.  After arriving at the gate; he came back to use the lav again.  The PIC called and asked if we (the FAs) would ask him to stay seated until everyone else had deplaned so someone to talk with him.  I asked him and he was very unhappy and agreed while yanking off his mask. I must have looked surprised because; after looking back at my face; he quickly put his mask back on.  He deplaned last and a [customer service agent] was there to meet him.  The other FA informed me that; when he first boarded the plane; he had immediately used the forward restroom.  That totaled 9 trips to the lav in 1.5-2 hrs and many requests to keep his mask on.,,,,Flight Attendant reported a passenger using the restroom numerous times; coughing and having to constantly be reminded to wear a mask.,"During a flight, a **Flight Attendant (FA)** reported an incident involving a passenger, referred to as Passenger X, who exhibited unusual behavior. Passenger X used the restroom a total of **nine times** within a span of **1.5 to 2 hours**, which raised concerns among the crew and other passengers. Upon entering the restroom, Passenger X was heard coughing heavily, to the point of gagging, which worried two other passengers. When asked about his condition, he initially claimed it was due to allergies but later stated he was not feeling well because he had not eaten breakfast. The FA provided snack bags to all passengers and kept a close eye on Passenger X throughout the flight. Additionally, Passenger X was repeatedly reminded to wear his mask properly. The FA noted that he was reading or digging through his bags, which may have contributed to the need for mask reminders. The FA informed the Pilot-in-Command (PIC) about the situation, and the PIC requested that the FA check if there was a way to take Passenger X's temperature. Since the crew did not have a thermometer, the PIC suggested contacting a customer service agent to meet the flight. After landing, the PIC instructed the FA to ask Passenger X to remain seated until all other passengers had deplaned, so that someone could speak with him privately. Passenger X complied but was visibly unhappy and removed his mask in frustration. After noticing the FA's surprise, he quickly put the mask back on. Passenger X was the last to deplane and was met by a customer service agent at the gate. The FA later reported that Passenger X had used the forward restroom immediately after boarding the plane, adding to the total of nine restroom visits. His behavior created disturbances and safety concerns during the flight.",health and medical issues
1753809,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1753809,,,,,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Passenger,Other Deplaning,,Environment - Non Weather Related; Human Factors,Human Factors,In A position ZZZ-ZZZ1; several passengers approached me during deplaning to tell me that two passengers in seats XX5 and XX6 were spitting and wiping saliva; phlegm; and blood all over their seats; armrests; tray tables; window; and wall. They explained they were unable to call an FA because they saw this while standing in the aisle several rows behind these people as all passengers waited to deplane. The two passengers were able to exit the aircraft before the other passengers could notify me. I assured them the plane was terminated and would be sanitized for the evening and we agreed that the only thing remaining we could do about it was to notify Operations and request they inform the cleaners of the location to take extra precautions to protect themselves and to sanitize that area thoroughly. The blood [was] intentionally smeared into an X shape on the wall. I presumed the blood came from tearing open a scab or some other small wound. It was a clearly visible amount but didn't indicate heavy bleeding.By the time [deplaning] was complete and I could go to row XX; most of the moisture from the saliva and nasal secretions had dried and was barely visible; only the blood stood out. Without their notification; and even with the easily visible blood; it would have been impossible to realize the extent to which they had contaminated every possible surface. It would have dried completely had we taken the time to tidy the aircraft first. In our PA about passenger compliance we emphasize seat belts and smoking and perhaps that is outdated and detracts from where the emphasis currently should lie. We state federal law prohibits tampering with a lav smoke detector; perhaps we have a law that prohibits passenger misconduct and could be stated in such a way that explains the criminality (if any) to such behavior. I do not believe those passengers believed they could face any consequence for these actions. Regardless of taking place during a pandemic; at any time this behavior poses a risk to other passengers; crew; and employees.,,,,Flight Attendant reported that two passengers were observed spitting; and wiping their saliva and blood over their entire seating area.,"The incident involved a flight attendant (Party1) and two passengers (Party2) in seats XX5 and XX6. During deplaning, several passengers approached the flight attendant to report that the two passengers had been spitting, wiping saliva, phlegm, and blood over their seating area, including seats, armrests, tray tables, window, and wall. The two passengers exited the aircraft before the other passengers could notify the flight attendant. The flight attendant terminated the flight and informed Operations to request cleaners to sanitize the affected area thoroughly. The blood was smeared in an X shape on the wall, likely from a small wound. The flight attendant noted that without the passengers' notification, the extent of the contamination would have gone unnoticed, as the saliva and secretions had dried by the time she could inspect the area. The flight attendant reflected on the need for updated passenger announcements to emphasize the seriousness of such misconduct and the potential consequences. No immediate solution was proposed for the passengers' actions, but the flight attendant emphasized the importance of addressing such behavior to protect other passengers, crew, and employees.",health and medical issues
1754493,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Confusion; Distraction; Situational Awareness,Party1 Flight Attendant; Party2 Flight Crew,1754493,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,Y,Person Flight Attendant,Pre-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,During the safety demonstration (it had just begun) the deadheading pilot in X1; got up from their seat; push me aside; physically; to go to the forward lav. His face was red and eyes watering. Proceeded to cough profusely in the lav. I called the Captain at this time. I told him what was happening. The Captain told me as long as he is wearing a mask that he; the Captain; will not do anything. The pilot in the lav remained there throughout the whole safety demonstration. I never stopped the demonstration. But I am supposed to if everyone isn't in their seats. I should follow what I know is right and stop the safety demonstration. Even if it is a deadheading pilot and not worry about any repercussions from the Captain even though he didn't act in a manner that was supportive of my and everyone's safety.,,,,Flight Attendant reported a deadheading pilot pushed his way past her while doing the safety demonstration to use the lavatory and coughed profusely.,"The incident occurred during the safety demonstration when a deadheading pilot abruptly left his seat, pushing the flight attendant aside to use the lavatory. The pilot exhibited signs of distress, with a flushed face, watery eyes, and severe coughing. Upon noticing this, the flight attendant informed the captain, who instructed her that no action would be taken unless the pilot removed his mask. The pilot remained in the lavatory throughout the demonstration. Faced with the situation, the flight attendant felt compelled to halt the safety demonstration to prioritize passenger safety, despite the captain's stance, as stopping the demo was her responsibility to ensure everyone's well-being.",health and medical issues
