ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
1787885,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Workload; Troubleshooting; Time Pressure; Communication Breakdown; Fatigue; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1787885,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,When we arrived and the door was opened we started to deplane the aircraft; a full flight; just as the first three first class passengers were deplaning ; the cleaning crew started to enter asking if they could board to clean first class to start. The first class wasn't even deplaned. Only three people had deplaned while others were trying to get their bag down and deplane. I said no not at this point; which in turn the first cleaner gave me serious attitude. The Gate Agent came down; no mask on; with an attitude about us not letting the cleaners enter to clean. They had 12 people to clean; usually they have a shortage of cleaners. But we hadn't even had first class passengers cleared and they started coming on. I asked not yet; let the passengers deplane and this flight is a full flight. This is becoming a serious issue at times and passengers getting upset they can't deplane and usually the cleaners keep cleaning and not moving in so they can deplane. Understand at this time with COVID the importance of cleaning but passengers complain at me about cleaners not clearing so the could deplane. It's stressful enough with all we are dealing with no food drinks and upset passengers about what they can't have. Our passengers were moving quick and not stalling getting off.  When they were off we couldn't get our bags and personal items together.  The flight deck wasn't able to exit. I understand there is time a limit and all but this rushing is going to seriously cause problems with safety of crew and passengers.  I was wrong possibly and maybe for which i will follow these memo's I forgot about from now on. Just trying to give our paying passengers a pleasant and safe flight including safe deplaning.,,,,Flight Attendant reported there was no social distancing by the aircraft cleaners during deplaning and also stated the Gate Agent was not wearing a face mask.,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",mask policy
1790572,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Other / Unknown; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1790572,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,Y,,Pre-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Boarding a nearly full flight began at XA:30 AM. We had power (i.e. lights) but; we did not have any airflow (air conditioning). We were beginning to sweat profusely. I (FA) contacted the terminal Supervisor who patched me through to Agent; in the tower. I told him of our plight and passenger complaints and concerns. He said he would send someone immediately to turn on the air. This was approximately 20 minutes later. About 15-20 minutes later we still had no air. Passengers were getting very upset and many took their masks off. We made announcements stating that without airflow; it was even more important to keep their mask on since they could not social distance. I contacted the Supervisor again and insisted the passengers be let off the aircraft if we were not going to get airflow and we still didn't know anything about when the pilots would arrive. Approximately 10 minutes later the pilots boarded and stated we should never have begun boarding under those conditions. They got air up and we departed 15 minutes later. 1 hour and 10 minutes after boarding. I felt very; very unsafe in those conditions as did many passengers.We should never board without air conditioning during COVID. If the pilots are running late; a mechanic should be brought down to turn on the air. A few minutes would be acceptable but when the tower is contacted; something should be done in a timely manner. Flight attendants should be allowed to let passengers deplane under such extreme conditions where everyone's safety and health are put at risk.,,,,Flight Attendant reported passengers were boarded before the pilots arrived at the aircraft. No air conditioning was available and passengers began removing their face masks.,"An incident occurred during a flight involving a misunderstanding between the flight attendant (Y) and the flight crew. After the doors closed, Y approached her colleague (X) to inform her of a disruptive passenger who refused to wear a mask. Y dealt with the passenger while X closed the doors and made an announcement, with both stating the cabin was secure. However, X assumed Y would finish her duties, and Y believed X had secured the cabin. The confusion arose when the captain opened the flight deck door, expecting the cabin to be secure but was unaware of the status. Both realized their mutual assumption led to the oversight. They re-secured the cabin and resumed the briefing, causing a delay. The incident was caused by both parties' distractions and mutual assumptions, highlighting the need for clearer communication protocols to prevent such misunderstandings. Implementing a check system or specific confirmation procedure could enhance future operations.",mask policy
1791338,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,1791338,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Upon door closure Flight Attendant Y came up to me and informed me she was having problems with a passenger who is refusing to put his mask on. I told her I would go to the back while she checked the doors for me. I went to handle the passenger and she did closed doors and made the announcement. We both said cabin secure. I noticed the flight deck door was closed and had assumed she had done cabin secure for me seeing as I was tending to this passenger and she had done door closure for me. I continued on with the safety briefing. Approximately one minute into the safety briefing the Captain opened the flight deck door to inform me that no one informed him of cabin secure. Me and Flight Attendant X both became aware that we had assumed the other person had secured the cabin door and quickly re-secured the cabin. We continued on with our briefing.I believe we both made the mistake because of the destructive passenger. I had assumed that while I was tending to this passenger she had took over all of my duties and she assumed that I was going to finish my duties once I got back up into the gallery. I also believe the pilots close the door on their own to keep warm which is why we had gotten confused on the door being close.,,,,Flight Attendant reported being distracted by a disruptive passenger and forgetting to advise the flight crew the cabin was secure and they were ready to depart.,"The incident involved a misunderstanding between a flight attendant and the flight crew regarding the cabin security process. The flight attendant was distracted by a disruptive passenger who refused to wear a mask, leading to an oversight in communication. After addressing the passenger, the flight attendant assumed the flight crew had been informed that the cabin was secure. Similarly, the flight crew believed the flight attendant had communicated the cabin's readiness. This mutual assumption resulted in the cabin not being properly secured before the safety briefing began. Approximately one minute into the briefing, the captain noticed the lack of communication and informed the flight attendant, prompting both parties to re-secure the cabin promptly. The incident was attributed to the distraction caused by the disruptive passenger and the crew's assumption that the other party had handled their respective duties. A potential solution identified was to improve communication protocols and account for habits like the pilots closing the flight deck door for warmth.",mask policy
1797439,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Other / Unknown; Confusion; Communication Breakdown; Situational Awareness; Time Pressure,Party1 Flight Attendant; Party2 Ground Personnel,1797439,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,I was thanking passengers as they disembarked onto the jet-bridge in ZZZ; and I was trying to call rows to deplane on the PA. The cleaning crew were at the front door (1Left) trying to get on the plane while the passengers were leaving; and the pilots were also trying to gather their bags and leave. This made the situation very chaotic. I was not aware of it being a 'quick-turn'; as I am always happy to try and help out with the quick-turn cleaning.The cleaners slipped on a few at a time; in between passengers leaving. I saw the two aft crewmembers with their luggage; and moving forward through the cabin; towards me. The cleaners were already onboard; cleaning throughout the plane. I said; 'last but not least!' to the final passenger; thanked her and gathered my belongings. I looked back and only saw the cleaners; and my crew who were almost to me. I didn't see any more passengers and thought we were done. I double-checked my doors and the forward lavatory and stepped off the plane. When the aft crew stepped off; there was a male passenger with them who had been mixed in with the cleaners. He did not have his boarding pass with him. He said he wouldn't leave without it; and that his seat was XX6. He wanted to go look for it himself; but crew went to look. His boarding card was found under his seat.A contributing factor is having so many people onboard/in jetbridge and the cleaning crew coming onboard (sometimes in just sweatshirts; hoodies; jackets; hats; masks; etc.) and mixing in with disembarking passengers; and vice versa.  Flights are more full now; and anyone can be mistaken for a cleaner.Other factors: double-checking the passengers haven't lowered or removed their masks; as they often do now; as they are coming down the aisle towards me and the boarding door. The passengers are trying to look down the aisle and gauge how far we've gotten with the row announcements to deplane. Also; 2-3 pilots using the lavatory; gathering bags and leaving; while passengers are disembarking causes more confusion. All of this; and the extra amount of ground-staff/cleaners onboard and in the jet-bridge in civilian clothing; causes more confusion; multitasking/load at the boarding/deplaning door.I assumed the last passenger I saw; and said goodbye to; was our final passenger onboard.I would not have stepped off the plane had I known there was still one passenger onboard.I will also alert corporate security to this incident; and the added potential for this confusion during disembarkation.,,,,Flight Attendant reported the aircraft cleaners were slipping onboard to clean the aircraft before the passengers were completely off. One last passenger; resembling a cleaner; remained intermixed with crew and cleaners during the crew's exit.,"A conflict occurred between a flight attendant (Party 1) and ground personnel (Party 2) during the disembarkation process of a flight at ZZZ airport. The incident arose due to a ""quick-turn"" operation, where the cleaning crew boarded the aircraft before all passengers had disembarked. This led to confusion as passengers, cleaning staff, and crew members were moving through the cabin simultaneously. The flight attendant was unaware of the situation escalating, as she was focused on her usual duties, including calling rows to deplane and ensuring passenger safety. During the process, she noticed the cleaning crew slipping onboard in casual attire, which blended them in with passengers and crew. Pilots were also leaving the aircraft, adding to the chaos. The flight attendant assumed all passengers had disembarked after seeing the last passenger, who resembled a cleaner, and stepped off the plane. However, a male passenger had remained onboard, intermixed with the cleaning crew and crew members. He was eventually found after his boarding pass was located under his seat. Contributing factors included the quick turnaround procedure, the lack of distinction in clothing between cleaning staff and other individuals onboard, and the presence of multiple ground staff and crew members in the jet-bridge and cabin. The flight attendant noted that double-checking passengers and crew for proper identification could help prevent such confusion in the future. She also expressed concerns about passengers removing or lowering their masks, which could further complicate the deplaning process. As a result of the incident, the flight attendant planned to alert corporate security to the situation and the potential for similar confusion during future disembarkations.",mask policy
1801802,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Situational Awareness; Workload; Time Pressure; Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1801802,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,,1802959.0,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant; Person Flight Crew,Taxi,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,After block out and starting our pushback from the gate; a Flight Attendant called up to address a concern about the passenger count. It was a busy time in the flight deck where I was trying to manage the safety of the push. The FO answered the call to the flight deck from the cabin while I was talking to the ground crew and ramp was talking to our flight and the flight next to us pushing off the gate. The ramp personnel had left several pieces of ground equipment in the way of our push from X1 and we were trying to find out about getting it moved. As all of that is going on the narrative that myself and the FO got from the FA seemed to be one of more a compliance with the mask policy than one of weight and balance. She told us there was a large child sitting in a seat for which they were ticketed next to their mother and the child was having a hard time wearing the mask. The FA told us that the mother was now saying the child was less than 2. The FA believed that the mother was saying the child was less than 2 to skirt our mask policy and we needed to change the count for weight and balance because the child was an infant. I tried to clarify with the FA about the child because it was not clear to me because she was telling me the child was not listed as an infant; had their own seat; and by the FAs thought it was more about the mask. My thinking was that for the child to have that seat a birth date would have to be listed when that seat was purchased. Previously the FAs and the gate agent had reconciled the count; and the FA thought the child was older than 2; so I elected to leave the weight and balance as it stood. We continued to our destination without further incident.It was a busy time in the flight deck when this issue was brought to my attention. After things had calmed down with push I should have checked back with the FA to make sure I was hearing everything she was trying to tell me. Factors for me with my decision making were the high workload at the time; alertness because of the late time of day of the departure and having been scheduled with early AM shows for the three days prior to this event.,,I walked through to do my cabin count and confirmed that I had a child in row XX just as it showed on the sheet. I had already asked the mom to get a mask on the child before we closed the weight/balance. She said the child did not have a mask so I brought her one. After the safety demo I walked through the cabin again for final compliance and saw the child was not wearing a mask. Mom said he had ripped it so I offered to get a new one. She then said that the other FA told her he didn't need one if he was under the age of 2. I was surprised to hear the child was an infant as he was quite large and had walked on board the aircraft by himself. I asked if he was still only 1 and she said he was not yet 2. I alerted the CA that I had possibly made a mistake in the count.  I mistakenly counted an infant as a child. I didn't ask how old the child was; it only came up because of non-compliance with mask policy.I honestly think she claimed the child was an infant in order to avoid dealing with the face mask.In the future I will make sure to ask passengers with small children if they are in fact under the age of 2.,,Air carrier Captain and a Flight Attendant reported a passenger's child was resisting wearing a face mask. After this problem started the parent then stated the child was under 2 and did not need to wear the face mask.,"The incident began when a flight attendant reported a passenger's child resisting the face mask policy. The mother claimed the child was under two years old, exempting the child from the mask requirement. The flight attendant believed this was an attempt to avoid compliance and sought to adjust the weight and balance count. The captain, managing a busy pushback and fatigued from early morning hours, decided to maintain the current count, as the child had a designated seat, suggesting the child was over two. Later, the flight attendant realized she had miscounted the child as a passenger rather than an infant, leading her to alert the captain. She concluded the mother had falsely claimed the child's age. Reflecting on the experience, the flight attendant vowed to verify the age of children in such situations in the future. The outcome was resolved without further incident, with the flight attendant learning to ask passengers about their child's age to ensure accurate counts and compliance.",mask policy
1805938,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 25,,Communication Breakdown; Situational Awareness; Distraction,Party1 Flight Crew; Party2 Flight Attendant,1805938,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,The lead Flight Attendant was so uptight with a passenger not complying with the Mask policies; [Flight Attendant] thought it was prudent to chime the cockpit during landing rollout and advise the flight crew to notify a Supervisor to meet the aircraft.  This was a direct violation of sterile cockpit procedures. Because flight crews repeatedly experience chimes from the cabin while in simulator training; they are most associated with fire or critical aircraft issues.  This is never a good time to chime the cockpit unless it is an emergency. Especially for a mask compliance issue.Relaxed emphasis from Leadership on the tattling on passengers for improper use of masks (never saw this type of behavior from FA when it came to early seat-belt releases.  Reissued sterile cockpit etiquette with a bulletin on scenario that are and are not acceptable for chiming the cockpit during landing rollout.,,,,Captain reported a Flight Attendant distracted the flight deck crew during the landing rollout to inform them a passenger was not conforming to face mask policy.,"The incident occurred when a Flight Attendant interrupted the sterile cockpit procedure during landing rollout to inform the flight crew about a passenger not complying with the mask policy. This action was contrary to established safety protocols, which reserve cockpit intercom use for emergencies. The flight crew, accustomed to associating such chimes with critical issues, were distracted, potentially compromising safety. The result was a report from the Captain. To address this, guidelines were reissued to clarify acceptable scenarios for cockpit communication during landing, emphasizing the importance of adhering to sterile procedures.",mask policy
1740938,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1740938,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Other Post Flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,While completing the pre-departure safety demonstration; I had my face mask on. During the portion of the demonstration where I had to demonstrate the correct use and application of the demonstration oxygen mask; my own face mask was still on while I was demonstrating how to use the oxygen mask. I realize passengers wearing their own masks could think it would be alright to put the oxygen mask over their face mask based on my incorrect demonstration.I went into my trip misinterpreting and misreading communication regarding face masks; which led me to think I would just need to wear my face mask throughout the flight without understanding that there are exceptions and appropriate situations during which to remove the face mask. While completing my safety demonstration; I do not think I realized I was wearing my face mask as I was demonstrating the use of the demonstration oxygen mask. I believe that I was also narrowly focused on keeping up with the demonstration rather than being situationally aware of the fact that I was still wearing a mask as I went into the oxygen mask demonstration.Looking back on this event; I realize I could have been more aware of myself and my surroundings. Before I started the trip; I simply thought that I would just need to wear my mask for the duration of my flights without comprehending that in certain moments of the flight; such as demonstrating correct use of the oxygen mask; that it would be appropriate to remove my mask in order to safely and accurately show its proper use. I plan to be more situationally aware; realizing that I may need to remove my mask for certain tasks. I will now remove my mask for the pre-departure demonstration in order to show how to properly use and wear the oxygen mask.,,,,Flight Attendant reported wearing a personal face mask while demonstrating oxygen mask use during the pre-departure safety briefing. The Flight Attendant was concerned that passengers would think it would be acceptable to place an oxygen mask over a personal mask.,"The flight attendant was demonstrating the oxygen mask use during the safety briefing while wearing her own face mask, which could have led passengers to misunderstand the correct procedure. The cause was her misinterpretation of face mask policies, believing she needed to wear it throughout without exceptions. To address this, she plans to enhance her situational awareness and remove her mask during the demonstration to ensure accurate instruction.",mask policy
1741944,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel; Party2 Other,1741944,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,Had 2 issues of non-compliance of company policy on same flight:1. None of our catering personnel were wearing a mask while catering our aircraft.2. We had a non-revenue pilot board our flight with required mask on. Then as I observed him from back of aircraft; as soon as he got to his row he took off his mask and put it in his uniform jacket. I came forward and asked him if he needed another mask and he said; 'No; I have one.' I asked him to please put it on. He complied until I walked past him; then took it off again. I mentioned it to our Purser. As she was doing cabin compliance checks with me prior to closing main cabin door; Purser again had to ask him to; 'Please put on mask again.' He complied at that point.,,,,Flight Attendant reported catering personnel were not wearing masks; and a non-revenue pilot was not complying with mask usage until pilot was asked twice to comply.,"The incident occurred when a flight attendant observed two policy violations during the flight. First, catering personnel were not wearing masks, which contravened company health and safety protocols. Second, a non-revenue pilot was initially non-compliant with mask-wearing requirements. The flight attendant addressed the pilot, who initially refused but complied temporarily. Upon the attendant leaving, the pilot removed his mask again. The Purser intervened, reminding the pilot to wear his mask, to which he finally complied. The catering issue was reported but not resolved during the flight. The result was the pilot's compliance after two reminders, while the catering staff's non-compliance was noted but addressed through reporting.",mask policy
1742716,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1742716,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Passenger,Aircraft In Service At Gate,,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,During boarding; a passenger approached me to indicate his displeasure that another passenger was not wearing a mask. I offered to allow the passenger to move forward to the exit row to gain distance from the indicated passenger. Another passenger seated in the exit row had removed his mask as he was eating. The original passenger; seated in seat X; opted to state that it was '[expletive]' that we wouldn't force everyone to wear masks. I did ask the passengers in question to put on a mask; but he refused. I brought the situation to both the other FA and the pilots. Passenger in seat X remained quiet once he returned to his seat.Passengers are nervous about flying and rapidly changing requirements that vary from state to state as well as a general disregard for what flight attendants say on the part of the passengers.,,,,Flight Attendant reported a passenger's displeasure with other passengers not wearing masks.,"The incident occurred during the boarding process when a passenger expressed dissatisfaction with another passenger not wearing a mask. The flight attendant suggested moving the concerned passenger to an exit row to create distance, but this was complicated by another passenger in the exit row who had removed their mask while eating. The passenger in seat X became agitated, stating that it was unacceptable that mask-wearing was not being enforced. Despite the flight attendant's request for both passengers to wear masks, the passenger in seat X refused. The flight attendant then informed the other flight attendant and the pilots. After returning to his seat, the passenger in seat X remained calm. Passengers expressed general anxiety about flying and varying mask requirements, as well as a lack of respect for flight attendants' instructions.",mask policy
1743828,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Communication Breakdown,Party1 Flight Crew; Party2 Other; Party2 Flight Attendant,1743828,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,Y,Person Flight Crew,Aircraft In Service At Gate,,Environment - Non Weather Related; Human Factors,Human Factors,Had a lot of confusion and miss communication at the beginning of a passenger event. Originally I was told that there was a passenger at the gate who does not have a face mask isn't going to wear one. Also that that passenger was telling people at the gate of having had the virus already. On top of that I was told this passenger had a medical problem they were traveling to ZZZ to be worked on. I was also hearing that passenger was being disruptive.One of my flight attendants had a concern of this passenger still being contagious and being a disruptive passenger. With the passenger still being at the gate I started to receive more information I was told to contact MedLink. Turns out that the gate had already been in touch with MedLink and the passenger had already been cleared by MedLink. As for the pre-existing medical condition; the passenger told the gate of not wearing a mask because it causes asthma attacks. I verified this to be a possibility with MedLink on my side.As for the disruptive behavior I spoke with the station manager and he informed me that the passenger was being cooperative and only just understandably a little frustrated. I asked him if he thought passenger would be an issue in flight and he indicated that he did not believe that to be the case. After speaking with my flight attendant about her concerns we decided they had all been resolved and we allowed the passenger to board the flight. I think this is new to all of us and I don't think I could do anything different.,,,,Air carrier Captain reported a series of miscommunications regarding a boarding passenger who was possibly contagious with COVID-19. After the Captain spent time resolving the issue; it was determined that the passenger could be allowed to board.,"The incident involved a passenger at the gate without a face mask who claimed to have COVID-19 and cited a medical condition (asthma) as the reason for not wearing it. The flight attendant expressed concerns about the passenger being contagious and potentially disruptive. The Captain addressed the situation by contacting MedLink, who confirmed the passenger was cleared. The station manager reported the passenger was cooperative. After resolving concerns, the passenger was allowed to board. The outcome was the passenger boarding the flight following the resolution.",mask policy
