ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
1790572,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Other / Unknown; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1790572,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,Y,,Pre-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Boarding a nearly full flight began at XA:30 AM. We had power (i.e. lights) but; we did not have any airflow (air conditioning). We were beginning to sweat profusely. I (FA) contacted the terminal Supervisor who patched me through to Agent; in the tower. I told him of our plight and passenger complaints and concerns. He said he would send someone immediately to turn on the air. This was approximately 20 minutes later. About 15-20 minutes later we still had no air. Passengers were getting very upset and many took their masks off. We made announcements stating that without airflow; it was even more important to keep their mask on since they could not social distance. I contacted the Supervisor again and insisted the passengers be let off the aircraft if we were not going to get airflow and we still didn't know anything about when the pilots would arrive. Approximately 10 minutes later the pilots boarded and stated we should never have begun boarding under those conditions. They got air up and we departed 15 minutes later. 1 hour and 10 minutes after boarding. I felt very; very unsafe in those conditions as did many passengers.We should never board without air conditioning during COVID. If the pilots are running late; a mechanic should be brought down to turn on the air. A few minutes would be acceptable but when the tower is contacted; something should be done in a timely manner. Flight attendants should be allowed to let passengers deplane under such extreme conditions where everyone's safety and health are put at risk.,,,,Flight Attendant reported passengers were boarded before the pilots arrived at the aircraft. No air conditioning was available and passengers began removing their face masks.,"An incident occurred during a flight involving a misunderstanding between the flight attendant (Y) and the flight crew. After the doors closed, Y approached her colleague (X) to inform her of a disruptive passenger who refused to wear a mask. Y dealt with the passenger while X closed the doors and made an announcement, with both stating the cabin was secure. However, X assumed Y would finish her duties, and Y believed X had secured the cabin. The confusion arose when the captain opened the flight deck door, expecting the cabin to be secure but was unaware of the status. Both realized their mutual assumption led to the oversight. They re-secured the cabin and resumed the briefing, causing a delay. The incident was caused by both parties' distractions and mutual assumptions, highlighting the need for clearer communication protocols to prevent such misunderstandings. Implementing a check system or specific confirmation procedure could enhance future operations.",passenger-related issues
1791338,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Crew,1791338,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Upon door closure Flight Attendant Y came up to me and informed me she was having problems with a passenger who is refusing to put his mask on. I told her I would go to the back while she checked the doors for me. I went to handle the passenger and she did closed doors and made the announcement. We both said cabin secure. I noticed the flight deck door was closed and had assumed she had done cabin secure for me seeing as I was tending to this passenger and she had done door closure for me. I continued on with the safety briefing. Approximately one minute into the safety briefing the Captain opened the flight deck door to inform me that no one informed him of cabin secure. Me and Flight Attendant X both became aware that we had assumed the other person had secured the cabin door and quickly re-secured the cabin. We continued on with our briefing.I believe we both made the mistake because of the destructive passenger. I had assumed that while I was tending to this passenger she had took over all of my duties and she assumed that I was going to finish my duties once I got back up into the gallery. I also believe the pilots close the door on their own to keep warm which is why we had gotten confused on the door being close.,,,,Flight Attendant reported being distracted by a disruptive passenger and forgetting to advise the flight crew the cabin was secure and they were ready to depart.,"The incident involved a misunderstanding between a flight attendant and the flight crew regarding the cabin security process. The flight attendant was distracted by a disruptive passenger who refused to wear a mask, leading to an oversight in communication. After addressing the passenger, the flight attendant assumed the flight crew had been informed that the cabin was secure. Similarly, the flight crew believed the flight attendant had communicated the cabin's readiness. This mutual assumption resulted in the cabin not being properly secured before the safety briefing began. Approximately one minute into the briefing, the captain noticed the lack of communication and informed the flight attendant, prompting both parties to re-secure the cabin promptly. The incident was attributed to the distraction caused by the disruptive passenger and the crew's assumption that the other party had handled their respective duties. A potential solution identified was to improve communication protocols and account for habits like the pilots closing the flight deck door for warmth.",passenger-related issues
1736305,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty); Flight Attendant In Charge,Flight Attendant Current,,Deplaning,Situational Awareness; Distraction; Communication Breakdown; Other / Unknown,Party1 Flight Attendant; Party2 Flight Attendant,1736305,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Situational Awareness; Other / Unknown; Distraction; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,,1736314.0,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,After we arrived in ZZZ; we left XX passengers on the plane before the next crew was at the aircraft. We left for our next flight. We had a medical incident onboard during the flight. While our CRM was effective; there were many decisions to be made. While our country is currently in a national emergency; any serious medical event leads to uncertainty. All three flight attendants were in constant communication with the Captain. At first we were told no passengers could leave the aircraft when we landed. We had passengers who were aware of the situation and wanted to be involved. Of course our first priority was the safety of our passengers and crew; we also were aware of the effect any decision would have on the company. After discussion with Station Ops and Dispatch; the Captain was instructed to not hold the passengers; and that the aircraft would be cleaned upon arrival. We also spent the entire flight containing the incident so all passengers felt at ease about their safety. I felt we were successful. However; in this coronavirus environment; it was very stressful and we had to remain calm and in control. We were dealing with many different situations and important decisions during the flight.,,After the deplaning of Flight XYZ from ZZZ to ZZZ1; the one of the crew members failed to stay with the XX through passengers. During this flight; we encountered many distractions including a passenger that vomited in the forward lav and we alerted the Captain due to the national concern over the scare of the coronavirus. The crew maintained excellent CRM skills when communicating with the flight deck. The flight deck notified medical service and Dispatch. I was also comforting a woman who was flying to see her gravely ill mother.,,Flight Attendants reported concerns about a sick passenger in their flight.,"The incident was triggered by a medical situation involving a sick passenger on board a flight from ZZZ to ZZZ1. The flight attendants encountered a vomit episode in the forward lavatory, attributed to a national health concern, and promptly alerted the captain. They maintained effective communication with the flight deck, ensuring the situation was managed with care. The crew coordinated with medical services,Dispatch, and Station Ops, leading to the decision to allow passengers to deplane after the aircraft was cleaned. Additionally, the attendants comforted a passenger whose mother was gravely ill. The flight attendants successfully managed the medical incident, ensuring passenger safety and comfort. Passengers were permitted to deplane post-cleaning, adhering to safety protocols amidst the pandemic, thus resolving the situation effectively.",passenger-related issues
1748574,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Workload; Situational Awareness; Distraction; Communication Breakdown,Party1 Flight Attendant; Party2 Other,1748574,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,Y,Person Flight Attendant,In-flight,Flight Crew FLC complied w / Automation / Advisory,Environment - Non Weather Related; Company Policy; Procedure; Human Factors,Human Factors,I was assisting [the] purser during boarding by welcoming customers and distributing small hand wipes sanitizer. I was there until only [a] few customers were left to be boarded and I told [the] purser that I'm going to do my exit row verification-briefing. As I walked there a passenger that was standing on the isle row 10 approached me and asked if she can have one of these open seats on row 10 D; E; F instead of sitting between two people. I told her to sit on her assigned seat while I go check on CSR at the front if we can accommodate her request. I proceed to the front door; CSR wasn't there so I spoke to purser about the customer request and went ahead and accommodated her request. After talking to her; I walked past by my exit row without briefing my passenger. As I was sitting on my jump-seat doing my silent review; I realized that I was supposed to do my exit row-briefing. As soon as we reach 10;000 feet and were cleared to get up; I went straight to my exit row and apologize to our customer and did my exit row verification-briefing and informed purser and other crew member. I know it is not an excuse [but] we were busy and it slipped my mind. I promise to do my best and to be extra careful.,,,,Flight Attendant reported not completing the exit row briefing until airborne because of distraction caused by moving a passenger to a different seat.,"The incident occurred during a flight when a flight attendant was assisting the purser with boarding procedures, including welcoming passengers and distributing hand sanitizer wipes. While en route to perform her exit row verification-briefing, a passenger from row 10 requested to move to an open seat in the same row instead of sitting in her assigned seat. The flight attendant instructed the passenger to remain seated and approached the purser to seek approval for the seat change. After accommodating the passenger's request, the flight attendant inadvertently bypassed her exit row briefing. Later, during her pre-flight preparations, the flight attendant realized she had not completed the exit row briefing. Upon reaching 10,000 feet and being cleared to move, she promptly returned to her exit row, apologized to the passenger, and conducted the required briefing. She acknowledged that the distraction caused by accommodating the passenger led to her oversight and assured the crew of her commitment to being more diligent in the future.",passenger-related issues
1749900,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1749900,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,Passenger was refusing to wear face mask on flight. He harassed me several times throughout the flight because he did not want to wear a mask. The ground agents talked with him before door closure. They explained that its policy to wear a face mask. He was argumentative and said he had a disability. He said he called [the] airline before the flight and told them of his problem. He also said that [the] airline put the information in his profile. However; it was not in passenger profile. So I requested that he comply with airline policy and wear a facial mask. Also; Captain said that the passenger must comply with policy.,,,,Flight Attendant reported a passenger refused to wear a mask during the flight.,"The incident involved a conflict between a flight attendant and a passenger regarding the passenger's refusal to wear a face mask during the flight. The passenger was argumentative and claimed to have a disability, stating that they had informed the airline beforehand and believed the information was in their profile. However, the airline's records did not reflect this. The flight attendant and the captain repeatedly requested compliance with the airline's mask policy. Eventually, the passenger complied with the policy during the flight, resolving the situation.",passenger-related issues
1751692,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Confusion,Party1 Flight Attendant; Party2 Other,1751692,,,,,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct; Flight Deck / Cabin / Aircraft Event Illness / Injury,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,Just after door closed; Passenger X came back and asked to use the restroom.  He said that he was about to start coughing.  Once inside the lav; we (myself and other passengers) could hear him coughing so hard that he was gagging.  2 passengers expressed concern.  When he came out; I asked if he was feeling alright.  He told me that it was just allergies and he didn't want to start coughing in front of everyone.  Twice; during taxi; I had to ask him to put his mask back on. (Note: if someone is eating or drinking; I leave them alone.  But he was reading and/or digging through his bags.)  In flight; as soon as I went upfront; we went into the lav again after 2 more lav visits; I went back and asked him again if he was alright.  He told me that he 'Wasn't feeling well;' but that it was because he hadn't eaten breakfast. We provided everyone with snack bags and I kept an eye on him.  After several more lav trips; I called the PIC and informed him of what was going on.  The PIC asked us if we had a way of taking his temp. We said no and suggested he call for a [customer service agent] to meet the flight.  Throughout the flight; Passenger X came back to use the restroom a total of 5 times and had to be told 3 times to; please; put his mask back on.  Just after we had taken our seats for landing; he came back for a 6th time and asked me to move so that he could use the restroom.  I told him that we were about to land and that he needed to return to his seat.  He wasn't happy; but complied.  After arriving at the gate; he came back to use the lav again.  The PIC called and asked if we (the FAs) would ask him to stay seated until everyone else had deplaned so someone to talk with him.  I asked him and he was very unhappy and agreed while yanking off his mask. I must have looked surprised because; after looking back at my face; he quickly put his mask back on.  He deplaned last and a [customer service agent] was there to meet him.  The other FA informed me that; when he first boarded the plane; he had immediately used the forward restroom.  That totaled 9 trips to the lav in 1.5-2 hrs and many requests to keep his mask on.,,,,Flight Attendant reported a passenger using the restroom numerous times; coughing and having to constantly be reminded to wear a mask.,"During a flight, a **Flight Attendant (FA)** reported an incident involving a passenger, referred to as Passenger X, who exhibited unusual behavior. Passenger X used the restroom a total of **nine times** within a span of **1.5 to 2 hours**, which raised concerns among the crew and other passengers. Upon entering the restroom, Passenger X was heard coughing heavily, to the point of gagging, which worried two other passengers. When asked about his condition, he initially claimed it was due to allergies but later stated he was not feeling well because he had not eaten breakfast. The FA provided snack bags to all passengers and kept a close eye on Passenger X throughout the flight. Additionally, Passenger X was repeatedly reminded to wear his mask properly. The FA noted that he was reading or digging through his bags, which may have contributed to the need for mask reminders. The FA informed the Pilot-in-Command (PIC) about the situation, and the PIC requested that the FA check if there was a way to take Passenger X's temperature. Since the crew did not have a thermometer, the PIC suggested contacting a customer service agent to meet the flight. After landing, the PIC instructed the FA to ask Passenger X to remain seated until all other passengers had deplaned, so that someone could speak with him privately. Passenger X complied but was visibly unhappy and removed his mask in frustration. After noticing the FA's surprise, he quickly put the mask back on. Passenger X was the last to deplane and was met by a customer service agent at the gate. The FA later reported that Passenger X had used the forward restroom immediately after boarding the plane, adding to the total of nine restroom visits. His behavior created disturbances and safety concerns during the flight.",passenger-related issues
1752385,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,1752385,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Human Factors; Environment - Non Weather Related,Human Factors,Passenger in XX boarded the plane with no mask; but complied once asked. He was rowdy at the beginning of the flight but did not cause any issues until he began throwing almonds at a passenger 2 seats away; when asked to stop he did. He was then asked multiple times through the flight by both FA A & B to put his mask on. He would comply when asked or when we were walking by but would take it off as soon as he thought we could no longer see. I reminded him that it was a policy; he then all at once told me he had some sort of test done and if that wouldn't work what about a medical condition so that he wouldn't haven't to wear the mask. I asked him if he had spoken to a gate agent about it which he threatened me; telling me that I didn't want to go there with him because I wouldn't win. I then decided to call the CA; and informed the passenger that this was not an argument; and that face masks are a policy and that he would be met at the gate.After deplaning; the group of older and large men that were traveling with the disruptive passenger gathered in the terminal and I felt extremely uncomfortable and unsafe walking by them. They then also got on the same tram as I and were loudly making comments in regards to me asking them to put their face masks on during the flight. In the future I would like to feel safe while doing my job and feel that I am supported for enforcing the companies policies.,,,,Flight Attendant reported a passenger being confrontational about wearing a face mask.,"The incident involved a flight attendant (FA) and a passenger who refused to comply with face mask policies during a flight. The passenger initially boarded the plane without a mask but complied after being asked. The passenger was initially rowdy but did not cause significant issues until he began throwing almonds at another passenger. When asked to stop, he complied. However, throughout the flight, the passenger repeatedly removed his mask despite being asked multiple times by the flight attendant and another crew member. When the passenger attempted to argue against wearing the mask, claiming he had a test done and possibly a medical condition, the flight attendant questioned whether he had discussed this with a gate agent. The passenger responded with a threat, implying the flight attendant would not win. The flight attendant then contacted the cabin manager and informed the passenger that the mask policy was non-negotiable, leading to the passenger being met at the gate upon deplaning. After exiting the plane, the flight attendant felt unsafe due to a group of older and large men traveling with the disruptive passenger. The group boarded the same tram as the flight attendant and made loud comments about her enforcing mask policies. The flight attendant expressed a desire to feel safe and supported in her role.",passenger-related issues
1752685,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Service,Communication Breakdown; Distraction,Party1 Flight Attendant; Party2 Other,1752685,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Pre-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,During boarding passengers (Seated in XXA and XXB) were not wearing masks; I advised them to please put their masks on. After the safety demonstration as I am doing compliance checks on the way to my aft jumpseat I notice that XXB has his mask pulled beneath his nose and mouth and resting on his chin. I advise him to please pull his mask up over his nose and mouth and he rolled his eyes and looked away without adjusting his mask. I tell him again; 'Sir; please pull your mask over your nose and mouth.' He gets very irritated and yells out 'I can't breathe!' I apologize and stated that it is a requirement to fly and it is for the safety of everyone on board. He finally adjusts his mask. As we reach cruising altitude I am handing out the snack bags and the couple seated across from him in XX C;D; ask me if I could please move them. I tell them they are welcome to move up to row YY and they thank me profusely and told me that as soon as I walk away XXB removes his face mask and they do not feel comfortable sitting near him. For the remainder of the flight XXB held his face in his hands hunched over whenever I passed through in the aisle so I could not visually confirm that he kept his mask on properly.Passengers XX B and XX A kept removing their face masks and became agitated when I informed them it was airline policy to keep them on.,,,,Flight Attendant reported two passengers not wearing COVID-19 masks during the flight.,"The incident occurred during a flight when a flight attendant encountered two passengers, seated in rows XXA and XXB, who were not wearing masks during boarding. The attendant advised them to comply with the airline's mask policy. During a later compliance check, the attendant noticed that passenger XXB had his mask improperly positioned, resting on his chin. Despite repeated requests, XXB refused to adjust his mask, becoming agitated and yelling that he couldn't breathe. The attendant explained the policy's importance for safety, and eventually, XXB complied. Later, a couple seated in rows XXC and XXD informed the attendant that they felt uncomfortable near XXB and requested a seat change. The attendant suggested row YY, and the couple expressed gratitude. However, upon the attendant's departure, XXB removed his mask again. For the remainder of the flight, XXB kept his face covered with his hands, making it difficult for the attendant to confirm proper mask usage. The couple reported feeling unsafe, and the incident concluded with XXB's continued non-compliance, leaving the couple distressed.",passenger-related issues
1753680,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Distraction,Party1 Flight Attendant; Party2 Other,1753680,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Human Factors,Human Factors,Multiple crew members asked passenger to comply with mask policy during various phases of flight. After 3rd attempt; his demeanor; hostility; and inappropriate language; the passenger was written up.  The guest had a flagrant disregard for authority from the moment we started the demo when the C FA told him to comply with an FAA policy; and the guest ignored him; when asked for compliance again; this guest just looked at FA and replied 'I heard you the first time.',,,,Flight Attendant reported a passenger did not comply with wearing a face mask.,"The incident occurred during a flight when a flight attendant repeatedly requested a passenger to comply with the FAA's face mask policy. Despite multiple requests, the passenger ignored the instructions and responded with hostility and inappropriate language during the third attempt. The flight attendant documented the passenger's behavior due to their refusal to follow safety regulations and their disruptive demeanor. No specific resolution was proposed in the context provided.",passenger-related issues
1753809,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1753809,,,,,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Passenger,Other Deplaning,,Environment - Non Weather Related; Human Factors,Human Factors,In A position ZZZ-ZZZ1; several passengers approached me during deplaning to tell me that two passengers in seats XX5 and XX6 were spitting and wiping saliva; phlegm; and blood all over their seats; armrests; tray tables; window; and wall. They explained they were unable to call an FA because they saw this while standing in the aisle several rows behind these people as all passengers waited to deplane. The two passengers were able to exit the aircraft before the other passengers could notify me. I assured them the plane was terminated and would be sanitized for the evening and we agreed that the only thing remaining we could do about it was to notify Operations and request they inform the cleaners of the location to take extra precautions to protect themselves and to sanitize that area thoroughly. The blood [was] intentionally smeared into an X shape on the wall. I presumed the blood came from tearing open a scab or some other small wound. It was a clearly visible amount but didn't indicate heavy bleeding.By the time [deplaning] was complete and I could go to row XX; most of the moisture from the saliva and nasal secretions had dried and was barely visible; only the blood stood out. Without their notification; and even with the easily visible blood; it would have been impossible to realize the extent to which they had contaminated every possible surface. It would have dried completely had we taken the time to tidy the aircraft first. In our PA about passenger compliance we emphasize seat belts and smoking and perhaps that is outdated and detracts from where the emphasis currently should lie. We state federal law prohibits tampering with a lav smoke detector; perhaps we have a law that prohibits passenger misconduct and could be stated in such a way that explains the criminality (if any) to such behavior. I do not believe those passengers believed they could face any consequence for these actions. Regardless of taking place during a pandemic; at any time this behavior poses a risk to other passengers; crew; and employees.,,,,Flight Attendant reported that two passengers were observed spitting; and wiping their saliva and blood over their entire seating area.,"The incident involved a flight attendant (Party1) and two passengers (Party2) in seats XX5 and XX6. During deplaning, several passengers approached the flight attendant to report that the two passengers had been spitting, wiping saliva, phlegm, and blood over their seating area, including seats, armrests, tray tables, window, and wall. The two passengers exited the aircraft before the other passengers could notify the flight attendant. The flight attendant terminated the flight and informed Operations to request cleaners to sanitize the affected area thoroughly. The blood was smeared in an X shape on the wall, likely from a small wound. The flight attendant noted that without the passengers' notification, the extent of the contamination would have gone unnoticed, as the saliva and secretions had dried by the time she could inspect the area. The flight attendant reflected on the need for updated passenger announcements to emphasize the seriousness of such misconduct and the potential consequences. No immediate solution was proposed for the passengers' actions, but the flight attendant emphasized the importance of addressing such behavior to protect other passengers, crew, and employees.",passenger-related issues
