ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2068792,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Time Pressure; Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,2068792,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Taxi,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,Have submitted report. Bio hazard found by Flight Attendants behind last row of seats in economy. Plane had already pushed back from the gate. Crew voiced concerns about the finding and I held conversation with Captain about crew concerns. Captain initiated a conversation with operations; and I went to the rear of the plane to investigate the situation further. The biohazard bag had not been closed so I put on gloves and carefully looked  inside. The contents were soiled; linens; wipes; and the dustpan from the large bag. After discussion with the crew; we agreed that we were happy to put the bag into a sealed container as we knew what the contents were. I returned to door; and reported my findings to the Captain and also of the conversation amongst the crew. Had the bag being sealed and tied it was agreed amongst the crew that none of us were happy or comfortable; taking the bag on a flight due to security concerns; and we would have wanted to have had the bag removed. This situation could have been avoided had there been more time to do a thorough cleaning of the aircraft and for the flight attendants to do their thorough checks before passengers; started boarding,,,,Air carrier Flight Attendant reported notifying the Captain of a 'Bio hazard' container of soiled linen during departure taxi. The crew sealed the bag and the flight continued to destination.,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",safety related
2102491,Aircraft X,General Seating Area,Air Carrier,Off Duty,Flight Attendant Current,,,Communication Breakdown; Fatigue,Party1 Flight Attendant; Party2 Flight Attendant,2102491,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition,Human Factors; Aircraft,Human Factors,"The captain advised via PA that there was an issue with landing gear and instructed the crew to perform a Prep for Land Evacuation demonstration. At no time was the entertainment system switched off prior to; during or following the demonstration. Once the demonstration was complete I went to the aft galley; where only 3 FAs (Flight Attendants) sit; and offered to be a 4th FA and sit at jump seat  and assume FA #8. I was in uniform and willing to assist. A short while later the Purser came to the back galley and informed me that she only wanted working"" FAs to be involved and asked that I return to my seat in the cabin. As the aircraft approached the runway there was no command from the Flight Deck to assume the demonstrated brace positions which made something of a mockery of performing an evacuation demonstration. After landing and deplaning the DHD (Deadhead) FAs were then converted to work the sector departing some 5 hours later at XA50 landing in ZZZZ airport at XK33; meaning extreme fatigue ensued due to being awake for approx. 27 hours prior to landing. The operating Pilots and FAs were released from duty following the incident yet the DHD crew onboard were not afforded the same courtesy even though they had less hours available to them and had experienced the same situation.""",,,,An off-duty Flight Attendant reported while dead heading the aircraft had an issue with the landing gear and offered to assist with safety procedures but was denied.,"The incident involved an off-duty Flight Attendant (Party1) who attempted to assist during a safety procedure on a flight. The aircraft experienced an issue with the landing gear, prompting the captain to conduct a preparation for land evacuation demonstration. During this time, Party1, who was in uniform and seated in the cabin, volunteered to assist by taking on the role of FA #8 at the jump seat in the aft galley. However, the Purser (Party2) denied this offer, instructing Party1 to return to their seat in the cabin, stating that only working Flight Attendants should be involved in the safety procedure. After landing, the off-duty Flight Attendants (deadhead crew) were reassigned to work the next departing flight, which caused significant fatigue due to being awake for approximately 27 hours. This decision was particularly challenging because the deadhead crew had less time available compared to the on-duty crew, who were subsequently released from their duties. The inconsistency in treatment and the denial of assistance led to frustration among the deadhead crew, who felt their efforts and well-being were overlooked despite being part of the same incident. A proposed solution is to ensure fair treatment and consideration for all crew members, including those deadheading, in such situations.",safety related
2175448,Aircraft X,Door Area,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,,Distraction; Confusion; Communication Breakdown; Workload; Situational Awareness,Party1 Flight Attendant; Party2 Flight Crew,2175448,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Distraction; Situational Awareness; Workload,,,2175455.0,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Other / Unknown,,,Person Flight Attendant,Aircraft In Service At Gate,General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Human Factors,I had accidentally blew the main cabin door slide. We had been on this aircraft for 3 legs. The second leg was ZZZ1 to ZZZ flight. I had notice the door; closing on a swift swing than a slight click for closure. I was uncomfortable with that and reopened and closed the door. On; the next flight; ZZZ to ZZZ1; we rushed boarding; with a full flight and a jump seater. I had done my drink orders. Boarding was complete and the Captain said it was ok to close the MC (Main Cabin) door. After flight attendant B said cross check; I didn't feel like the MC door had closed completely. So; I asked; the Captain if the flight deck indicator said my door was locked and he replied no. I was thinking I needed to resecure the door. In feeling a time limit; I rushed to open the door it felt heavy and I felt the resistance so I only cracked it before I saw a little part of the grey slide appearing.  I stopped opening  the door and told the captain. The Captain was trying to communicate to the jet bridge driver and calling the necessary people and the jet bridge driver and supervisor did the same.  I noticed the  door was armed; when the airport managers came over and took pictures. The Captain made a PA. Passengers calmly deplaned by 2L door with their belongings and went to the boarding area at the next gate. No one was hurt or injured; When we reached the gate area we were met with  appropriate authorities per procedures. After the debrief  the Captain and I realized that we had a miscommunication about the door. Thankfully;the slide was not fully deployed until the passengers were off the aircraft.,,Boarding had been completed and I was ensuring compliance while waiting for A FA (Flight Attendant) to close door.  After the initial complaint check my A FA made PA to prepare doors for departure and cross check.  I armed the L2 door; verified it was armed and crossed to R2 door and did the same.  I made the PA that cross check was complete and cabin was ready for push back. I picked up demo equipment and started to walk towards the front of cabin when I received a call from A FA; they told me that they blew the L1 slide. Then the captain and airport officials coordinated deplaning from the L2 door. Once air stairs were in place; my disarmed door was opened by a Gate Agent and we deplaned all passengers.,,Flight Attendants reported the A Flight Attendant deployed the escape slide at the gate while attempting to close the main cabin door.,"The incident occurred when a Flight Attendant attempted to close the main cabin door, mistakenly deploying the escape slide. The cause stemmed from the Flight Attendant's concern about the door's closure, which led her to reopen and check it. During this process, the slide deployed. The Flight Crew and airport officials coordinated the safe deplaning of passengers using the L2 door and air stairs. The result was a successful, injury-free evacuation. The debrief highlighted a miscommunication regarding the door status, leading to the incident. No explicit solution was proposed, but the situation was managed effectively, with the crew learning from the miscommunication.",safety related
1963800,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1963800,Aircraft X,Flight Deck,Air Carrier,Check Pilot; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,,1963322.0,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Wake Vortex Encounter,,,Person Flight Crew,In-flight,General None Reported / Taken,Procedure; Human Factors; Environment - Non Weather Related,Human Factors,On the descent; we encountered wake turbulence. Seat belt sign was on. No PA was made as we were in the descent and was in a critical phase of flight. Flight Attendants did not call me. Upon gate arrival; the Flight Attendants asked 'was that wake turbulence?' I said yes but the seat belt sign was on and; in my opinion; wasn't greater than moderate wake. One Flight Attendant commented that they were in the aisles and they fell down. I asked if anyone was injured or any passengers asked for assistance. She responded no and no injury report was filed. Being in clear air; no reports of turbulence and we were not following a heavy aircraft; makes it nearly impossible to predict wake turbulence. The seat belt sign was on and that did help mitigate any injuries. A call back to the cabin to see if everyone was ok could have been used; but; being in the descent and not receiving a call from them gave me the understanding no injuries were encountered. Upon deplaning was the first time I heard that a flight attendant fell. Once again though; I asked if everyone was ok. She responded yes and no injuries were encountered or reportedBetter communication between cabin and flight crew would have helped. Nobody was hurt; aircraft had no damage and the flight ended routine.,,During descent; we experienced a minor wake turbulence event.  No reports from the Flight Attendants during the descent.  After all passengers disembarked; one of the FA's wanted to ensure that the pilots checked on them after an event like this.  No injuries were reported.ATC [should notify] aircraft if they are following a heavy aircraft; even at altitude.,,A321 flight crew reported the cabin crew was concerned they were not contacted by the pilots to check on their condition after a minor wake turbulence encounter .,"A minor wake turbulence event occurred during the descent of an A321 flight. The flight crew did not contact the cabin crew post-incident, as they were in a critical phase of flight. Following landing, the cabin crew expressed concern about not being contacted. Although no injuries or damage occurred, the cabin crew felt reassurance could have been beneficial. The flight crew suggested improved communication between the cabin and cockpit, and highlighted the need for ATC notifications when following heavy aircraft.",safety related
1978886,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),,,,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1978886,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport,Human Factors; Aircraft,Human Factors,Around XA45 while in flight; in cruise; Captain calls and informs Person A and I that we have a situation in which the nose gear is not functioning properly and that it's still down. That we will be landing in 20 minutes; but he's going to circle to get rid of some fuel and hear back from Tower on what to do next. He will call back shortly with an update; for Person A and I to remain seated until he calls back to give us further instructions and information. We complete our procedure and hang up. Person A then calls me and we synchronize our watches and talk about what we plan on doing once the Captain calls back with further instructions. By this time it's XA51; 14 minutes left before we land. Around XA58; Captain comes on the PA and informs passengers of the situation. States we're heading back to ZZZ; due to nose gear issue; but it will be a normal landing. XA59; Captain calls to Person A and myself; repeats normal landing; all gears are down; including the nose gear; all lights show green; we should now be landing in 10 minutes. We repeat procedure; Person A ask Captain is it okay to make our announcements now; he states 'Yes' and set clocks now to 9 minutes; which is XB01. Person A does the announcement; we do compliance check and walk through. After accessing outside; we noticed we still had time and we made the before landing announcement. Did another compliance check; after that we took our seats. By that time it was XB10; landed at XB20. Normal landing as stated by the Captain; arrived to gate; and then deplane. End up switching aircraft and departing out of another gate.,,,,Flight Attendant reported a landing gear malfunction required a return to the field.,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",safety related
1937157,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 150,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1937157,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Flight Deck / Cabin / Aircraft Event Other / Unknown,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors,Human Factors,"Flight Attendant gate-checked a smart bag' as it was the last bag on and we had no room. The Ops Agent gate checked the bag. The passenger told the Flight Attendant after a few minutes that the bag was a smart bag. The Ops Agent was then notified by the Flight Attendant that the bag was ' smart' and had to be addressed properly by the ramp (disconnect the battery). The FA (Flight Attendant) then found room for the bag in the cabin and the Ops Agent went and grabbed the bag from below the wing. After we left; we were informed that the bag was brought back up to the cabin. During cruise I asked the A-Flight Attendant to come up to the cabin and showed him in the book where it says you cannot do that. The B-FA also informed the A of the error.I believe I should have been more involved with the bag; I thought the bag was being dealt with by Ground Ops properly. The combination of a new Ops Agent; and a new FA; I was getting food (terminal) were all contributing factors.""",,,,Air Carrier Captain reported a miscommunication between the Captain and a Flight Attendant regarding a gate checked smart bag that was erroneously loaded in the cargo compartment. The smart bag was relocated to passenger cabin prior to gate departure.,"The incident arose from a miscommunication between the flight captain and a flight attendant regarding the handling of a smart bag. Contributing factors included the inexperience of the new ops agent and flight attendant, as well as the captain's distraction while retrieving food, leading to a lack of direct involvement in the bag's handling. The flight attendant initially gate-checked the smart bag, which was later identified as requiring special handling. The ops agent retrieved the bag from the cargo area after being notified. During the flight, the captain noticed the bag in the cabin and pointed out the policy violation. The flight attendant acknowledged the mistake, and the bag's handling was corrected. The smart bag was erroneously loaded into the cargo compartment but was later moved to the passenger cabin. The incident highlighted the need for improved communication and involvement by the captain, especially when dealing with safety-sensitive items like smart bags. The captain reflected on the need to be more involved in the handling of such items and recognized the impact of new staff and distractions on communication. This awareness serves as a lesson for future operations.",safety related
1949120,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1949120,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,Y,Person Flight Crew; Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,Captain called me said smelled unusual odor please check cabin. Immediately made announcements is anyone vaping CA (Captain) smells a sweet odor. Then I check cabin quietly asking passengers no one in trouble be honest if vaping. Checking both bathrooms pulling out trash cans checking. Walk[ed through cabin]. Passenger A [had device] under her coat had some kind of medical device that was fogging up the cabin with a sweet smell passenger refuse to hand it over to me. I kept my voice low firmed told her for safety of the cabin. The Captain wants you to hand it over to isolate where this is coming from. After I did receive the device put it in the galley. Passenger A came to the galley demanded I give it back to her calling me stupid uneducated I kept my composure which other passengers relayed to the captain on deplaning. I did my job. Ban passenger from airline.,,,,Air Carrier Flight Attendant reported passenger device emitted odor in passenger cabin. Flight Attendant confiscated the device as requested by Captain.,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",safety related
1954832,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1954832,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,Passenger was advised not [to] use his electronic cigarette and to put it away during the flight. The safety demo also states this. [The passenger] would not comply. He also went to the forward lavatory and vaped. He vaped at his seat as well. I didn't want to confront him any further because he already seemed agitated.,,,,B737-700 Flight Attendant reported a passenger would not comply with safety regulations and used an electronic cigarette during the flight; despite being notified not to do so.,"The incident involved a conflict between a flight attendant and a passenger on a B737-700 flight. The passenger was advised by the flight attendant to refrain from using an electronic cigarette during the flight, as per safety regulations outlined in the safety demonstration. Despite being informed, the passenger did not comply and used the electronic cigarette both at his seat and in the forward lavatory. The flight attendant chose not to confront the passenger further due to his apparent agitation. The flight attendant subsequently reported the incident to the authorities. No further action or proposed solution was mentioned in the context.",safety related
1981241,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Deplaning; Safety Related Duties,Communication Breakdown; Training / Qualification,Party1 Flight Attendant; Party2 Ground Personnel,1981241,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Procedure,Human Factors,When we landed back in ZZZ from ZZZ1; the LFA (Lead Flight Attendant) told us that we had a huge risk on our flight that we didn't know about until we have deplaned. They said they saw a personal oxygen machine that you plug into the wall at home being brought up for our passenger who was deplaning in ZZZ and LFA asked what is that and where did it come from. Apparently it was checked in and was with the baggage under the plane from my understanding; the way the LFA explained it to us all. I never got to see it because I was in the back of the plane and by the time I made it to the front; all passengers had deplaned.From my understanding; personal oxygen is not allowed to be brought on the plane and kept on person or be checked in. This is a very serious matter and needs to be looked into before this passenger tries to travel back with it on the next flight or if someone else brings it and employees don't follow the safety protocols/rules. It's a disaster waiting to happen in the air. Train ticket counter agents; gate agents; and bag loaders to not accept personal oxygen systems to be loaded under the plane with the luggage to prevent aircraft fire/explosion.,,,,A320 Flight Attendant reported being notified after arriving at destination that a passenger packed a prohibited personal oxygen machine in checked baggage.,"The incident occurred when a passenger checked in a personal oxygen machine as baggage on an A320 flight. Upon landing, the Lead Flight Attendant (LFA) noticed the device and inquired about its origin, discovering it had been stored in the cargo hold. The flight attendant highlighted that such devices are prohibited due to safety risks, including potential fires or explosions. The proposed solution is for ground personnel to refuse loading such devices into checked baggage to prevent future safety hazards. The summary underscores the need for enhanced protocols to ensure passenger and aircraft safety.",safety related
1788734,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Deplaning,Workload; Troubleshooting; Situational Awareness; Communication Breakdown; Physiological - Other,Party1 Flight Attendant; Party2 Ground Personnel,1788734,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Procedure; Human Factors; Environment - Non Weather Related,Human Factors,Once the aircraft door was opened and only a few passengers from first class deplaned; the cleaners were trying to come on. We asked them to wait just a bit; as we had 4 wheelchairs; and our first-class cabin was still getting off. The cleaners told us they are instructed to get on right away. The Captain said No; they needed to wait till most of the aircraft had deplaned. A few of the cleaners were still trying to argue with us; even after the Captain had said they had to wait. There are no quick turns; as our cleaning procedures during this pandemic are totally opposite of the term quick turn. This also is dangerous for the passengers and crew. There is no room for cleaners in the galleys or in the aisle as we safety try to deplaned using the company's policy of social distance; and deplaning a few rows at a time.In addition; the cleaners are getting in the way of the flight crew full filing our FARs responsibilities and safety obligations; post cabin sweeps. This is a safety hazard and needs to be addressed immediately.,,,,Flight Attendant reported; after gate arrival; the oncoming cleaning crew was interfering with passenger deplaning and social distance policy.,"The incident occurred after the aircraft arrived at the gate. The flight attendant requested the incoming cleaning crew to wait before boarding, as passengers were still deplaning, including those needing wheelchairs, and social distancing protocols were in place. The cleaners refused, citing instructions to proceed immediately. The captain reinforced the need to wait, explaining that pandemic procedures prevent quick turnaround and that cleaners posed a safety hazard by obstructing the aisle and galleys, hindering the crew's safety obligations. Despite the request, the cleaners persisted, leading to a safety risk that required immediate resolution. The flight attendant emphasized the necessity of adhering to safety protocols to ensure passenger and crew safety.",safety related
