ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,label
2100755,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties,Confusion; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2100755,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security,,,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors; Procedure,Human Factors,There was a security breach incident. I feel like the company's policy regarding electronic devices containing lithium-ion batteries and spare lithium-ion batteries was not clear or fully understood by ask of the employees involved in this incident and the confusion contributed to the security breach. I also believe the agents were overzealous in enforcing the carry-on policy and the bag in question should have never been gate checked.,,,,Air carrier Flight Attendant reported a safety concern regarding the company's handling of gate checked bags that contain spare lithium-ion batteries and electronics with lithium-ion batteries.,"The incident arose from a security breach involving a gate-checked bag containing spare lithium-ion batteries. The flight attendant cited unclear company policies on lithium-ion batteries and excessive enforcement of carry-on policies by ground personnel as contributing factors. The flight attendant suggested that such bags should not be gate-checked, underscoring the importance of improved guidelines and staff training to prevent future breaches.",training
2119017,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown; Other / Unknown; Troubleshooting,Party1 Flight Attendant; Party2 Ground Personnel,2119017,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Pre-flight; In-flight,,Human Factors; Procedure,Human Factors,A passenger made me aware during boarding that they had placed both a men's electric razor and a camera(s) in their checked luggage and they were concerned that either or both contained lithium batterie(s).At the time; my thought process was that; they may or may not actually be lithium batteries; they were not just 'loose' batteries; and they were housed in a device. Ultimately; I failed to notify either Operations in ZZZ or the Captain. Upon reflection during the flight and; as not to create an 'issue;' I realized that I had failed to handle the situation correctly. In an effort to not continue the risk; upon arrival in ZZZ1; I spoke with the Operations Agent and explained the situation and asked if it could be corrected. The Operations Agent indicated to me that the passenger's bags would be pulled prior to their connecting flight. I then spoke to the passenger(s) and asked them to speak with the Operations Agent. Self-realization that each of us is critically responsible for the safety of our crew; our passengers and our assets. That it is not an issue to stop what is currently happening and address it at the time. To hope that if you do make an error that by handling it at the time; that you will not be perceived differently by the crew. Is it possible that checked baggage be screened for items such as lithium batteries; thereby reducing the factor of human error?,,,,Air carrier Flight Attendant reported failing to notify the appropriate parties before departure after learning about a passenger's checked bag that may have potentially contained lithium batteries. After arriving; the reporter notified an Operations Agent to deal with the bag's contents.,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",training
2182306,Gate / Ramp / Line,,Air Carrier,Off Duty,Flight Attendant Current,,,Workload; Training / Qualification; Communication Breakdown,Party1 Flight Attendant; Party2 Ground Personnel,2182306,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Procedure; Human Factors,Human Factors,Traveling in uniform and forced to check flight bag! When I attempted to cite the CFR and REG; the agents became hostile.Cause: Poor training. I WAS able to carry my personal lap top and my daily meds. There were at least 4 other lithium ion batteries the agents forced me to surrender!  These items were placed in the cargo hold! I tried to calmly explain that I was NOT over the carry on allowance AND that there were manuals (EFB) and extra lithium ion batteries in the flight bag!,,,,Air carrier Flight Attendant reported they were required to check their flight bag as cargo due to items containing lithium batteries.,"The incident involved a Flight Attendant and Ground Personnel, with the Flight Attendant being required to check their flight bag due to lithium batteries. The cause was attributed to poor training among the Ground Personnel, leading to the forced surrender of lithium-ion batteries and their placement in the cargo hold. Despite the Flight Attendant's attempt to explain that they were within carry-on limits and that the bag contained necessary manuals, the situation remained unresolved. The summary highlights the conflict arising from regulatory enforcement and the resulting actions taken by the Ground Personnel.",training
1794733,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding,Communication Breakdown; Situational Awareness; Training / Qualification,Party1 Flight Attendant; Party2 Other,1794733,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,I was assigned to work position Flight Attendant (FA) D on the aircraft and completely forgot my exit rows briefing duty the flight. I didn't realize my failure to brief exit row passengers the entire flight. It was during the boarding process of the second flight when I briefed those exit row passengers; that I became aware of what I overlooked on the first flight.I believe upon freshly returning to active duty; after almost an entire year being on extended leave of absence during COVID-19 schedule reductions; led to my lack of attention to flight steps in which years of routines were disrupted. To prevent this event from reoccurring; I need to refresh my memory and utilize my work manual in reviewing duties of each phases of flight.Realized mistake of skipped exit briefing for ZZZ-ZZZ1 flight while initiating exit briefing for the return flight ZZZ1-ZZZ.,,,,Flight Attendant reported after almost an entire year of being on extended leave of absence during COVID-19 schedule reductions; the disruption of routine led the FA to forget the safety briefing for the exit row passengers.,"The incident involved a flight attendant (FA) who failed to conduct an exit row safety briefing during the first leg of a flight due to a lapse in memory. The FA, who had been on extended leave for over a year due to COVID-19-related schedule reductions, attributed the oversight to the disruption of routine caused by the extended absence. The mistake was discovered during the boarding process of the second flight, when the FA was about to conduct the exit row briefing and realized the omission. To prevent recurrence, the FA proposed refreshing their memory and reviewing the work manual to ensure adherence to flight duties. The incident was reported as a safety concern.",training
1803987,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1803987,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security; Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Other / Unknown,,N,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew Became Reoriented,Company Policy; Human Factors; Procedure,Human Factors,In cruise I told the CA (Captain) I needed to use the lavatory. We called back to the FA's (Flight Attendants) who said they were finishing up service and would come up when they could. When they called up; they gave the code word as normal. I did a positive exchange of controls to the Captain since it was my PF (Pilot Flying) leg. He took controls as normal. Door unlocked and the crew swap went normal. Upon finishing in the lavatory the B FA called up to begin the next crew exchange. She informed me that the CA wanted to use the lavatory too. I was waiting in the galley expecting the A FA to come out so we could do the normal process of me sitting down; getting controls back; getting any flight updates; and then having the FA's call back up so the CA could use the lav. Instead; the flight deck door opened and out walked the CA. No one was at the controls; the A FA was in the process of moving from my seat to the CA seat. I immediately said 'she's supposed to come out first; no one is at the controls'. The CA responded 'oh; right' or something along those lines. The B FA and myself expressed our concerns over the incorrect lavatory exchange procedure. He then proceeded to open the lavatory door. Not go back into the flight deck. I rushed into the flight deck; sat down; got myself situated and locked the door since there was no pilot. I got the aviate; navigate done and now wanted to communicate. I asked the A FA what happened and she said 'I don't really know; he told me to switch seats with him so we squeezed past each other'. I told her that's not normal and that I needed to talk to the CA. The B FA called up; said the code word; and the CA came back in. I talked to him about what happened and he said something like 'oh right; that did seem strange'. I talked to him about the correct procedure which he; I assume; did not know. I told him we had no one at the controls and how dangerous that is. Upon getting to the hotel the FA's asked me if I was going to fill out a report. I called the Pilot Union Professional Standards to get their opinion on the situation. I used this as a teaching moment; however; the whole event should never have happened.,,,,First Officer reported that during a lavatory break; both pilots were out of the cockpit at the same time and the flight attendant was swapping seats in the cockpit; leaving the aircraft uncontrolled.,"The incident occurred during a flight when the First Officer (FO) and Captain (CA) were both absent from the cockpit, leaving the aircraft uncontrolled. The First Officer had informed the Captain of the need to use the lavatory, and the flight attendants (FAs) were expected to manage the cockpit exchange. However, during the crew swap, the flight deck door was opened, and the Captain entered the cockpit while no pilot was seated at the controls. Simultaneously, the A FA was in the process of moving from the FO's seat to the Captain's seat, creating a dangerous situation. The FO returned to the cockpit, retook control, and addressed the unsafe procedure with the Captain. The B FA also expressed concerns about the improper exchange. The incident was reported to the Pilot Union Professional Standards, and the FO used it as a teaching moment to emphasize the importance of proper cockpit procedures. The event highlights a critical lapse in safety protocols and underscores the need for adherence to established procedures.",training
1739626,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Communication Breakdown; Confusion; Situational Awareness,Party1 Flight Crew; Party2 Flight Attendant; Party2 Flight Crew,1739626,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury; Ground Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,Taxi,Flight Crew Became Reoriented; Flight Crew Regained Aircraft Control; General Physical Injury / Incapacitation,Environment - Non Weather Related; Human Factors; Procedure,Human Factors,We were operating a morning first flight of day. The aircraft was put on a hardstand with no tug where with guidance from the ramp crew we would be able to start both engines and be directed to the movement area of the ramp. After completing the Engine Start Check; I looked over to the Ramper and with their permission; I released the parking brake. I however; did not reengage the parking brake. I then directed the First Officer to start both engines. The number 2 engine was started first. Following the start of the number 1 engine; the First Officer stepped on the brakes and simultaneously engaged the parking brake. This caused the airplane to stop abruptly. I asked the First Officer why he did what he did; and he said that we were moving. I then said that it was my mistake for not having the parking brake engaged; but we were moving slowly and we were far from any equipment and people. I then asked the First Officer two questions Why did he not say to me that the aircraft was moving and I would have applied the brakes and why did he apply both the brakes and the parking brake at the same time ? He said that he was not sure the brakes alone would have stopped the airplane. We then proceeded with the rest of the normal checklists and taxied to the runway and departed. In flight; the Flight Attendant said she was injured from the whiplash and was bruised. She said she may see a doctor upon reaching our destination. At the end of the flight I exchanged my contact information with the Flight Attendant to keep me informed of her physical condition. The whole sequence of events started with me not engaging the parking brake after releasing it for the out time. The threat of not recognizing that we do not have rampers to tell us to reset the brake after push was not addressed during our threat discussion and mitigation. My error was not seeing the airplane moving after the number one engine started and stopping the airplane before the First Officer. The undesired state was the fact that the aircraft moved when it should not have causing potential harm to the ramp crew and outside equipment. The other error I would say was CRM. The First Officer acted in the interest of safety and was the first to recognize the movement of the aircraft. He however over reacted. Based on the fact the airplane was moving slowly and we were far from rampers and equipment; I think he should have told me that we were moving and I would have stopped the airplane. If I did not react he then should have stepped on the brakes. This was the error on CRM our part. After talking to him I found out that he just finished IOE recently and this was his first trip after completing IOE. I think lack of experience in actual line operations caused him to act the way he did. I also should have checked with the Flight Attendant to see how she was doing after the airplane came to a stop. What I learned was to be extra vigilant when you are taxiing out with no towbar from the gate. If we were close to people or equipment; this could have been bad. Addressing ramp operations with no tug driver telling you to 'set the brake' is a threat that we should have discussed and talked about. I also need to be more aware of aircraft (unintentional) movement in all situations and react appropriately.,,,,ERJ145 Captain reported the parked aircraft began rolling on the ramp and the First Officer put the brakes on and the parking brake causing an abrupt stop injuring a Flight Attendant.,"The incident involved an ERJ145 aircraft during its morning flight. The captain released the parking brake but failed to re-engage it, causing the aircraft to move on the ramp after the engines were started. The first officer, noticing the movement, applied both the brakes and the parking brake, resulting in an abrupt stop. A flight attendant sustained injuries from the sudden stop, including whiplash and bruising. The primary causes of the incident were the captain's oversight in not re-engaging the parking brake after releasing it and the first officer's overreaction to the aircraft's movement. The captain acknowledged a lapse in vigilance during ramp operations without proper communication from ground staff and attributed the first officer's actions to his recent completion of initial operating experience (IOE), indicating a lack of line operation experience. The captain learned the importance of being more vigilant when taxiing without a tug and emphasized the need to address ramp operation threats during pre-flight briefings. Additionally, the incident highlighted the importance of effective crew resource management (CRM) and clear communication to prevent similar occurrences.",training
1752712,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Flight Attendant,1752712,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant,Pre-flight; In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Company Policy,Human Factors,Flight Attendant refused to sit in assigned jumpseat; said she didn't want to face passengers; chose to sit it in aft facing jumpseat for taxi takeoff and landing. I tried to explain that you have to sit in assigned seat and why. After landing I explained I'd have to do a report; she started screaming and talking over me that I should go home and if this bothered me I should see a doctor for help. Several times I tried to explain to no avail. Flight Attendant also wore headsets for takeoff and landing. This Flight Attendant needs training to know why it's important to sit in assigned jump seats.,,,,Flight Attendant reported another flight attendant did not sit in the assigned jumpseat.,"The incident occurred during a flight when one flight attendant (Party 1) chose to sit in an aft-facing jumpseat instead of their assigned seat, avoiding passenger interaction. The reporting flight attendant (Party 2) attempted to explain the importance of occupying the assigned jumpseat. After landing, when the reporter mentioned filing a report, Party 1 became upset, screaming and suggesting the reporter leave or seek medical help. Despite efforts to reason, no resolution was reached. As a result, the reporter documented the incident, and Party 1 was recommended for additional training on jumpseat protocols.",training
1755324,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Time Pressure; Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Attendant,1755324,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Time Pressure; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew; Party2 Flight Attendant,,1755326.0,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Attendant; Person Flight Crew,Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Aircraft,Human Factors,During pre-flight of Flight ABCD ZZZ-ZZZ1; Flight Attendant informed the Captain that the sink was empty of water and a note had been left in the lavatory informing of the issue. Noting that potable water is not available at the outstation; the Captain made the decision to depart as scheduled to meet on time arrival at ZZZ1. Upon arrival at ZZZ1; crew noted that ground operations did re-fill [the] potable water tank. Crew was unaware that the lavatory sink itself was inoperative.,,Flight Attendant notified me of a note in the lavatory stating that there was no water in the lavatory sink. The Flight Attendant said she could not get any water to dispense from the sink. I made an assumption that the reservoir was empty; and that was the reason why it was not working. I made the decision to continue with the flight knowing that ZZZ did not have the capability to refill the reservoir. Thinking we could have it filled in ZZZ1. I was notified later in the day that the sink in that aircraft was inoperative and it had caused a delay on the aircraft's next flight. [I] was given a call and counseled about having potable water in the aircraft lavatories due to COVID-19. I regret the decision that I made as Captain. I just wanted to get the passengers to their final destination. I should have complied with Standard Operating Procedures.,,Air carrier flight crew reported they departed with an inoperative lavatory sink.,"The incident occurred on flight ABCD between ZZZ and ZZZ1. The flight attendant noticed the lavatory sink had no water and informed the captain, who decided to depart as scheduled, assuming the water tank was empty and couldn't be refilled at the outstation. However, upon arrival, ground operations had refilled the water, but the sink remained inoperative, causing a delay in the next flight. The captain later regretted not following standard procedures, particularly due to COVID-19 considerations. The solution emphasized adhering to SOPs to prevent similar issues.",training
1757896,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Distraction; Time Pressure,Party1 Flight Attendant; Party2 Other,1757896,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Human Factors; Procedure,Human Factors,We had a DH at the beginning of our day that was an hour and fifteen minutes late and then an aircraft swap after that. The inbound crew stayed and boarded our passenger; so the plane was full when we arrived. We were rushed to make announcements and pushback. I got distracted by the rush and all the new COVID and mask PA's and I said the old safety demo PA.,,,,Flight Attendant reported that an old version of the safety demo was presented due to being rushed.,"The flight attendant was distracted due to a 1-hour and 15-minute delay, followed by an aircraft swap, leading to a rushed departure preparation. While preparing for the flight, the attendant focused on COVID-related announcements, mistakenly using an outdated safety demonstration instead of the current one. The error was reported, highlighting the need for crew efficiency under time constraints. No specific solution was proposed in the documentation.",training
1758517,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Boarding; Safety Related Duties; Service; Deplaning,Workload; Communication Breakdown; Situational Awareness,Party1 Flight Attendant; Party2 Other,1758517,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Attendant,In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,A commuting Captain was not wearing [a] mask the whole flight. The situation started when I asked the [commuting] Captain during the flight to wear his mask; his reason [was] because of the open bottled water he was holding the whole flight. When deplaning the commuting Captain approached me before he is about to leave the aircraft and asked me about the wearing of the mask policy and mentioned that I was being [demanding].I do believe that safety is our priority [for] both passengers and employees; and I  believe that the Captain should be the model to all the passengers for wearing the mask in the aircraft; but he is the one who breaks the procedure.,,,,Flight Attendant reported a commuting Captain was non compliant with face mask policy.,"The incident involved a flight attendant who noticed a commuting captain not wearing a mask throughout the flight, prompting a request to do so. The captain refused, citing the need to hold an open bottle of water. Post-flight, the captain questioned the mask policy and criticized the flight attendant for being ""demanding."" The flight attendant emphasized the captain's role in setting safety standards and felt the captain's actions were non-compliant with procedures. Key considerations include the justification for the captain's refusal, the impact on passenger safety perceptions, and the need for clear policies and training to handle such situations. Solutions may involve updating guidelines to accommodate mask-wearing while managing items, improving communication strategies, and reinforcing the importance of safety protocols. The incident underscores the balance between safety and practicality, highlighting the need for effective conflict resolution and policy enforcement.",training
