ACN,Party1_Role,Party2_Role,objective_summary,label
1797439,Flight Attendant,Ground Personnel,"A conflict occurred between a flight attendant (Party 1) and ground personnel (Party 2) during the disembarkation process of a flight at ZZZ airport. The incident arose due to a ""quick-turn"" operation, where the cleaning crew boarded the aircraft before all passengers had disembarked. This led to confusion as passengers, cleaning staff, and crew members were moving through the cabin simultaneously. The flight attendant was unaware of the situation escalating, as she was focused on her usual duties, including calling rows to deplane and ensuring passenger safety. During the process, she noticed the cleaning crew slipping onboard in casual attire, which blended them in with passengers and crew. Pilots were also leaving the aircraft, adding to the chaos. The flight attendant assumed all passengers had disembarked after seeing the last passenger, who resembled a cleaner, and stepped off the plane. However, a male passenger had remained onboard, intermixed with the cleaning crew and crew members. He was eventually found after his boarding pass was located under his seat. Contributing factors included the quick turnaround procedure, the lack of distinction in clothing between cleaning staff and other individuals onboard, and the presence of multiple ground staff and crew members in the jet-bridge and cabin. The flight attendant noted that double-checking passengers and crew for proper identification could help prevent such confusion in the future. She also expressed concerns about passengers removing or lowering their masks, which could further complicate the deplaning process. As a result of the incident, the flight attendant planned to alert corporate security to the situation and the potential for similar confusion during future disembarkations.",between attendant and other people
1819490,Flight Attendant,Ground Personnel,"A conflict occurred between a flight attendant and ground personnel concerning a passenger's carry-on smart bags with non-removable batteries. Passengers, traveling from ZZZ to ZZZ1, boarded an aircraft with the bags through the aft door. The flight attendant indicated the bags were too large for the overhead bins. The passengers claimed they were permitted to carry them onboard. Efforts to accommodate them were made, but the gate agent insisted the bags be checked due to safety regulations. As a result, the passengers were deplaned with their bags. The flight attendant noted the passengers had been on a previous flight but didn't observe them boarding with the bags earlier. No solution was proposed during the incident.",between attendant and other people
1848975,Flight Attendant,Ground Personnel,"The incident occurred at ZZZ International Airport when a flight attendant instructed the cabin crew to prepare the doors for arrival. While the flight attendant was at the door, they noticed the gate agent and attempted to open the flap. However, the main handle unexpectedly lifted, causing the flight attendant to jerk back. The flight attendant did not signal the gate agent with a thumbs-up or disarm the R1 door. The gate agent continued to pull the door, causing the slide to deploy. The flight attendant promptly informed the first officer (FO) and the captain about the incident. The B flight attendant attempted to console the affected flight attendant and advised them to take pictures and file an incident report. The deployment of the slide resulted in an investigation and documentation of the event.",between attendant and other people
1751692,Flight Attendant,Other,"During a flight, a **Flight Attendant (FA)** reported an incident involving a passenger, referred to as Passenger X, who exhibited unusual behavior. Passenger X used the restroom a total of **nine times** within a span of **1.5 to 2 hours**, which raised concerns among the crew and other passengers. Upon entering the restroom, Passenger X was heard coughing heavily, to the point of gagging, which worried two other passengers. When asked about his condition, he initially claimed it was due to allergies but later stated he was not feeling well because he had not eaten breakfast. The FA provided snack bags to all passengers and kept a close eye on Passenger X throughout the flight. Additionally, Passenger X was repeatedly reminded to wear his mask properly. The FA noted that he was reading or digging through his bags, which may have contributed to the need for mask reminders. The FA informed the Pilot-in-Command (PIC) about the situation, and the PIC requested that the FA check if there was a way to take Passenger X's temperature. Since the crew did not have a thermometer, the PIC suggested contacting a customer service agent to meet the flight. After landing, the PIC instructed the FA to ask Passenger X to remain seated until all other passengers had deplaned, so that someone could speak with him privately. Passenger X complied but was visibly unhappy and removed his mask in frustration. After noticing the FA's surprise, he quickly put the mask back on. Passenger X was the last to deplane and was met by a customer service agent at the gate. The FA later reported that Passenger X had used the forward restroom immediately after boarding the plane, adding to the total of nine restroom visits. His behavior created disturbances and safety concerns during the flight.",between attendant and other people
1754883,Flight Attendant,Other,"During a flight, a passenger (Passenger X) assigned to seat XX3 refused to comply with the face mask policy despite being granted a special exemption to remove the mask for brief intervals. The incident began when the flight attendant noticed Passenger X without a mask during boarding. The Gate Agent, who had not briefed the flight crew on any exemptions, initially denied knowing about one. Passenger X presented a boarding pass with an ink-written exemption and a letter stating his disability. Despite the Gate Agent's initial approval, the flight attendant insisted on consulting the Captain, who confirmed that an exemption was needed specifically for the flight. The Gate Agent then retrieved a record confirming the exemption, allowing Passenger X to remove the mask for short periods. However, during the 2.5-hour flight, Passenger X repeatedly ignored the mask policy, often only covering his chin instead of his nose and mouth. Compounding the issue, Passenger X's disruptive two-year-old child coughed and sneezed throughout the flight, and Passenger X cited anxiety as a reason for non-compliance. Despite the exemption, Passenger X showed total disregard for the mask rules, requiring multiple reminders from the flight crew. An exemption was granted for Passenger X to remove the mask for specified intervals. However, Passenger X failed to adhere to the exemption, leading to repeated reminders and non-compliance during the flight.",between attendant and other people
1756195,Flight Crew,Flight Attendant,"The incident involved a CRJ-200 aircraft experiencing difficulty in cooling its cabin before departure. The captain reported that the aircraft had been parked on the ground for over 10 hours in high temperatures, with the cabin temperature reaching 38°C (101°F). The captain made multiple requests to ground personnel to connect external cooling systems, but these were delayed. Despite starting the Auxiliary Power Unit (APU) and opening overhead gaspers to circulate air, the cabin remained warm. Approximately 30 minutes after the captain initially requested external air, a ramp agent connected the external cooling system. At the scheduled boarding time, the cabin temperature had decreased to 36°C (96.8°F), and the flight attendant felt comfortable boarding. The flight departed on time, but the flight attendant later expressed discomfort due to the high cabin temperature, which she believed impaired her ability to focus on her duties. The incident highlighted the challenges of cooling aircraft parked for extended periods in high temperatures and the need for improved communication and response protocols between flight crews and ground personnel to address such issues promptly. The captain suggested that a system should be in place to ensure external cooling is connected well in advance of departure, particularly for aircraft like the CRJ-200, which are more susceptible to heat-related comfort issues.",between attendant and other people
1760111,Flight Attendant,Ground Personnel,"The incident occurred at ZZZ, where a conflict arose between a flight attendant and ground personnel (cleaners). The flight attendant reported that cleaners entered the aircraft prematurely, before passengers had fully deplaned, disrupting the deplaning process and compromising social distancing measures. The flight attendant instructed the cleaners to wait until passengers had disembarked, but they refused, citing adherence to their protocol. During the exchange, a cleaner removed his mask, prompting further concern. The flight attendant emphasized that the cleaners' actions were unnecessary given the ample ground time (one and a half hours) available. The flight attendant suggested that cleaners should wait for passengers to deplane and maintain their masks when interacting with crew.",between attendant and other people
1760736,Flight Attendant,Other,"During a pre-takeoff safety check, the flight attendant (Party1) noticed a child seat positioned directly behind the exit row. While conducting her duties, she was occupied with greeting passengers and ensuring that those seated in the exit row were willing to assume the responsibilities of that seat. A passenger in the exit row exhibited hearing difficulties, as she was unable to respond to the flight attendant's instructions. The passenger explained that her ears were blocked due to a prior landing, leading to congestion but not indicating that she was sick. The flight attendant attempted to reseat the passenger in accordance with safety protocols, but a gentleman seated nearby objected, claiming the passenger was sick and should not be on the plane. The passenger denied being sick, though her congestion raised concerns about potential COVID-19 symptoms. The flight attendant consulted with the captain and operations, who advised her that if the passenger was not explicitly sick or exhibiting COVID-19 symptoms, she could remain on the plane. The flight attendant proceeded with reseating the passenger and securing the forward cabin. The incident was resolved after the flight attendant successfully completed the seat change and informed the captain that the exit row was briefed and the forward cabin was secure. The flight attendant did not hear a public address (PA) confirming the aft cabin was secure but ultimately ensured the situation was managed.",between attendant and other people
1657011,Flight Crew,Flight Attendant,"The incident involved a miscommunication during the final boarding procedures of an A319-100 flight, where the entry door was closed by ground personnel without the consent of the Number 1 Flight Attendant. The pilot, unable to visually confirm who was requesting clearance due to a busy cockpit, assumed it was the Flight Attendant and granted permission. However, it was later discovered that the ground agent had closed the door, violating company policy, which mandates that the Flight Attendant must authorize such actions. During the post-flight debrief, it was determined that the ground personnel were at fault for not coordinating with the Flight Attendant. The crew acknowledged the challenge pilots face in confirming identities in a crowded cockpit. To prevent future occurrences, it was agreed that ground personnel should be trained to follow proper procedures and wait for the Flight Attendant's authorization before closing the door. Additionally, pilots were encouraged to make every effort to confirm the identity of the person requesting clearance, highlighting the importance of clear communication protocols. This incident underscores the need for enhanced training and communication to ensure adherence to company policies, emphasizing the crucial role of the Flight Attendant in such procedures.",between attendant and other people
1578218,Flight Attendant,Ground Personnel,"The incident involved a conflict between a flight attendant and ground personnel during aircraft operations. The flight attendant reported being sent messages about a reassignment to an empty airplane and subsequent flights. While preparing for departure, the flight attendant communicated with a ground agent who lacked necessary equipment (headset and wing-walkers) and experience in towing the aircraft from the location. After resolving this initial issue with the help of maintenance, the flight attendant proceeded to ZZZ, landing just after midnight. Upon landing and taxiing to the gate, the flight attendant encountered a near-accident when an airport bus failed to yield, nearly driving in front of the aircraft. The flight attendant had to apply brakes abruptly to avoid collision. Despite communication with ground personnel and the tower, the bus driver did not comply, creating a safety hazard. The aircraft was eventually positioned at the gate, but the ground agent left the jetway unattended, requiring a 15-minute wait for assistance to avoid triggering security alarms. The flight attendant recommended that ground personnel, particularly bus drivers, be informed to yield to aircraft to prevent similar incidents.",between attendant and other people
