ACN,Party1_Role,Party2_Role,objective_summary,label
2119017,Flight Attendant,Ground Personnel,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",between attendant and passengers
2168329,Flight Attendant,Ground Personnel,"The incident involved a flight attendant (Party1) who identified two gate-checked bags containing laptops with lithium-ion batteries during boarding. The flight attendant informed the other flight attendant and the captain about the situation, as these items are prohibited in cargo holds due to safety regulations. Two passengers confirmed they had laptops in their bags, and they retrieved them after being instructed to do so. However, the passengers reported that ground personnel had initially prevented them from retrieving the laptops, stating the cargo hold was closed. The flight attendant communicated with the captain and gate agent, and the captain eventually deemed the situation safe, allowing the flight to depart. The issue was resolved after the captain's assessment, and the flight proceeded as scheduled.",between attendant and passengers
2172923,Flight Attendant,Other,"The incident occurred on a flight from ZZZ to ZZZ1, involving a passenger (Party2) and a flight attendant (Party1). The cause was the passenger's refusal to check her bag for an international trip, leading to a confrontation. The process began with the passenger insisting her bag fit in the overhead compartment, which the flight attendant redirected to the front attendant. When the passenger was denied, she became upset, yelled at the flight attendant, and filled out a complaint form during the flight. The result was the passenger opening multiple overhead bins and taking photos, prompting the flight attendant to secure the galley and notify the captain. The captain was informed about both this misconduct and a separate issue involving a passenger's bag with lithium batteries. The proposed solution involved notifying the captain to handle these issues through appropriate channels.",between attendant and passengers
1974967,Flight Attendant,Other,"The incident occurred on a CRJ-900 flight, involving a forward flight attendant (Party1) and a non-revenue (non-rev) passenger (Party2). During the flight, the passenger requested an outlet and was directed to use one. Later, the flight attendant noticed the passenger charging an e-cigarette in the outlet, which is against airline policies. The flight attendant instructed the passenger to stop, and the passenger complied. The flight attendant expressed surprise that the passenger did not recognize the restriction, given the airline's regular announcements about such rules. No further action was reported beyond the passenger discontinuing the activity.",between attendant and passengers
1978886,Flight Attendant,Flight Attendant,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",between attendant and passengers
1949120,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",between attendant and passengers
1954832,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger on a B737-700 flight. The passenger was advised by the flight attendant to refrain from using an electronic cigarette during the flight, as per safety regulations outlined in the safety demonstration. Despite being informed, the passenger did not comply and used the electronic cigarette both at his seat and in the forward lavatory. The flight attendant chose not to confront the passenger further due to his apparent agitation. The flight attendant subsequently reported the incident to the authorities. No further action or proposed solution was mentioned in the context.",between attendant and passengers
1981241,Flight Attendant,Ground Personnel,"The incident occurred when a passenger checked in a personal oxygen machine as baggage on an A320 flight. Upon landing, the Lead Flight Attendant (LFA) noticed the device and inquired about its origin, discovering it had been stored in the cargo hold. The flight attendant highlighted that such devices are prohibited due to safety risks, including potential fires or explosions. The proposed solution is for ground personnel to refuse loading such devices into checked baggage to prevent future safety hazards. The summary underscores the need for enhanced protocols to ensure passenger and aircraft safety.",between attendant and passengers
1801802,Flight Crew,Flight Attendant,"The incident began when a flight attendant reported a passenger's child resisting the face mask policy. The mother claimed the child was under two years old, exempting the child from the mask requirement. The flight attendant believed this was an attempt to avoid compliance and sought to adjust the weight and balance count. The captain, managing a busy pushback and fatigued from early morning hours, decided to maintain the current count, as the child had a designated seat, suggesting the child was over two. Later, the flight attendant realized she had miscounted the child as a passenger rather than an infant, leading her to alert the captain. She concluded the mother had falsely claimed the child's age. Reflecting on the experience, the flight attendant vowed to verify the age of children in such situations in the future. The outcome was resolved without further incident, with the flight attendant learning to ask passengers about their child's age to ensure accurate counts and compliance.",between attendant and passengers
1736305,Flight Attendant,Flight Attendant,"The incident was triggered by a medical situation involving a sick passenger on board a flight from ZZZ to ZZZ1. The flight attendants encountered a vomit episode in the forward lavatory, attributed to a national health concern, and promptly alerted the captain. They maintained effective communication with the flight deck, ensuring the situation was managed with care. The crew coordinated with medical services,Dispatch, and Station Ops, leading to the decision to allow passengers to deplane after the aircraft was cleaned. Additionally, the attendants comforted a passenger whose mother was gravely ill. The flight attendants successfully managed the medical incident, ensuring passenger safety and comfort. Passengers were permitted to deplane post-cleaning, adhering to safety protocols amidst the pandemic, thus resolving the situation effectively.",between attendant and passengers
