ACN,Party1_Role,Party2_Role,objective_summary,label
2100755,Flight Attendant,Ground Personnel,"The incident arose from a security breach involving a gate-checked bag containing spare lithium-ion batteries. The flight attendant cited unclear company policies on lithium-ion batteries and excessive enforcement of carry-on policies by ground personnel as contributing factors. The flight attendant suggested that such bags should not be gate-checked, underscoring the importance of improved guidelines and staff training to prevent future breaches.",communication issues
2175448,Flight Attendant,Flight Crew,"The incident occurred when a Flight Attendant attempted to close the main cabin door, mistakenly deploying the escape slide. The cause stemmed from the Flight Attendant's concern about the door's closure, which led her to reopen and check it. During this process, the slide deployed. The Flight Crew and airport officials coordinated the safe deplaning of passengers using the L2 door and air stairs. The result was a successful, injury-free evacuation. The debrief highlighted a miscommunication regarding the door status, leading to the incident. No explicit solution was proposed, but the situation was managed effectively, with the crew learning from the miscommunication.",communication issues
2182306,Flight Attendant,Ground Personnel,"The incident involved a Flight Attendant and Ground Personnel, with the Flight Attendant being required to check their flight bag due to lithium batteries. The cause was attributed to poor training among the Ground Personnel, leading to the forced surrender of lithium-ion batteries and their placement in the cargo hold. Despite the Flight Attendant's attempt to explain that they were within carry-on limits and that the bag contained necessary manuals, the situation remained unresolved. The summary highlights the conflict arising from regulatory enforcement and the resulting actions taken by the Ground Personnel.",communication issues
1895886,Flight Attendant,Flight Crew,"The incident involved a pressurization malfunction during a flight, which led to the aircraft landing with emergency services present. The flight attendant observed fire trucks and was informed of the issue after passengers had disembarked. The captain later explained the pressurization problem but apologized for not informing the attendant, attributing the lapse to being too occupied. The flight attendant experienced poor communication from the flight crew, resulting in unanswered passenger inquiries about the emergency vehicles. The outcome highlighted a communication breakdown between the flight attendant and the pilot crew. The captain acknowledged the issue and apologized, indicating a recognition of the communication failure but not specifying a particular resolution.",communication issues
1918721,Flight Crew,Flight Attendant,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",communication issues
1937157,Flight Crew,Flight Attendant,"The incident arose from a miscommunication between the flight captain and a flight attendant regarding the handling of a smart bag. Contributing factors included the inexperience of the new ops agent and flight attendant, as well as the captain's distraction while retrieving food, leading to a lack of direct involvement in the bag's handling. The flight attendant initially gate-checked the smart bag, which was later identified as requiring special handling. The ops agent retrieved the bag from the cargo area after being notified. During the flight, the captain noticed the bag in the cabin and pointed out the policy violation. The flight attendant acknowledged the mistake, and the bag's handling was corrected. The smart bag was erroneously loaded into the cargo compartment but was later moved to the passenger cabin. The incident highlighted the need for improved communication and involvement by the captain, especially when dealing with safety-sensitive items like smart bags. The captain reflected on the need to be more involved in the handling of such items and recognized the impact of new staff and distractions on communication. This awareness serves as a lesson for future operations.",communication issues
1943492,Flight Attendant,Flight Crew,"The incident involved a hard landing followed by a tail strike, causing the aircraft to skid aggressively on the runway. After passengers deplaned, the initial pilots departed without debriefing the flight attendant. The new Captain was informed about the tail strike and subsequent leak. Maintenance attempted repairs but couldn't fix the issue, leading the Captain to decide against using the aircraft further. As a result, the plane was deferred, and a new aircraft was used.",communication issues
1789902,Flight Crew,Flight Attendant,"An A319 flight encountered a fume/smoke event during its arrival taxi to the gate. The incident began when the fourth flight attendant (FA4) detected an odor and reported smoke, suspecting it might be electrical. The flight crew, led by the captain, halted the aircraft and assessed the situation. The captain noticed a brief whiff of something, while the first officer detected nothing. They contacted ground control and requested the Airport Rescue and Fire Fighting (ARFF) team. The flight crew considered their checklist for smoke/fumes but sought more information. Upon contacting the cabin, FA1 reported no smoke or odor, while FA2 noted a dissipating odor and a light haze in the reading lights. The captain, after consulting with the first officer, decided to proceed to the gate for ARFF evaluation. The aircraft landed smoothly, and passengers deplaned normally. The event highlighted the challenges of communication among cabin crew in a darkened cabin. The suggested improvement was enhanced communication to ensure a more informed and coordinated response, allowing for a clearer assessment and more efficient information transfer to the flight deck. The incident underscores the importance of effective communication among cabin crew to enhance incident handling and preparedness.",communication issues
1790572,Flight Attendant,Ground Personnel,"An incident occurred during a flight involving a misunderstanding between the flight attendant (Y) and the flight crew. After the doors closed, Y approached her colleague (X) to inform her of a disruptive passenger who refused to wear a mask. Y dealt with the passenger while X closed the doors and made an announcement, with both stating the cabin was secure. However, X assumed Y would finish her duties, and Y believed X had secured the cabin. The confusion arose when the captain opened the flight deck door, expecting the cabin to be secure but was unaware of the status. Both realized their mutual assumption led to the oversight. They re-secured the cabin and resumed the briefing, causing a delay. The incident was caused by both parties' distractions and mutual assumptions, highlighting the need for clearer communication protocols to prevent such misunderstandings. Implementing a check system or specific confirmation procedure could enhance future operations.",communication issues
1791338,Flight Attendant,Flight Crew,"The incident involved a misunderstanding between a flight attendant and the flight crew regarding the cabin security process. The flight attendant was distracted by a disruptive passenger who refused to wear a mask, leading to an oversight in communication. After addressing the passenger, the flight attendant assumed the flight crew had been informed that the cabin was secure. Similarly, the flight crew believed the flight attendant had communicated the cabin's readiness. This mutual assumption resulted in the cabin not being properly secured before the safety briefing began. Approximately one minute into the briefing, the captain noticed the lack of communication and informed the flight attendant, prompting both parties to re-secure the cabin promptly. The incident was attributed to the distraction caused by the disruptive passenger and the crew's assumption that the other party had handled their respective duties. A potential solution identified was to improve communication protocols and account for habits like the pilots closing the flight deck door for warmth.",communication issues
1803987,Flight Crew,Flight Attendant,"The incident occurred during a flight when the First Officer (FO) and Captain (CA) were both absent from the cockpit, leaving the aircraft uncontrolled. The First Officer had informed the Captain of the need to use the lavatory, and the flight attendants (FAs) were expected to manage the cockpit exchange. However, during the crew swap, the flight deck door was opened, and the Captain entered the cockpit while no pilot was seated at the controls. Simultaneously, the A FA was in the process of moving from the FO's seat to the Captain's seat, creating a dangerous situation. The FO returned to the cockpit, retook control, and addressed the unsafe procedure with the Captain. The B FA also expressed concerns about the improper exchange. The incident was reported to the Pilot Union Professional Standards, and the FO used it as a teaching moment to emphasize the importance of proper cockpit procedures. The event highlights a critical lapse in safety protocols and underscores the need for adherence to established procedures.",communication issues
1840114,Flight Attendant,Other,"The flight attendant was approached by a supervisor after landing who informed them about an air quality issue with their aircraft. The attendant was confused as they had no prior notice and sought more information, which they obtained through the Cabin Service System. They learned their aircraft was being replaced. The attendant expressed concerns about their health, unsure if their illness was due to the aircraft or pre-existing. They felt blindsided and requested follow-up and clarification to decide next steps.",communication issues
1733955,Flight Attendant,Flight Crew,"The incident arose from a maintenance issue with the R1 door warning strap, which the Flight Attendant noticed during cleaning. She reported the strap was improperly positioned and highlighted worn Velcro causing instability. Despite the First Officer and Captain dismissing her concerns initially, the Flight Attendant persisted, leading to Maintenance being called, who subsequently repaired the strap. The situation highlighted shortcomings in CRM, prompting a later discussion between the Flight Attendant and Captain, resulting in a commitment to improve communication and address such issues more effectively.",communication issues
1739626,Flight Crew,Flight Attendant,"The incident involved an ERJ145 aircraft during its morning flight. The captain released the parking brake but failed to re-engage it, causing the aircraft to move on the ramp after the engines were started. The first officer, noticing the movement, applied both the brakes and the parking brake, resulting in an abrupt stop. A flight attendant sustained injuries from the sudden stop, including whiplash and bruising. The primary causes of the incident were the captain's oversight in not re-engaging the parking brake after releasing it and the first officer's overreaction to the aircraft's movement. The captain acknowledged a lapse in vigilance during ramp operations without proper communication from ground staff and attributed the first officer's actions to his recent completion of initial operating experience (IOE), indicating a lack of line operation experience. The captain learned the importance of being more vigilant when taxiing without a tug and emphasized the need to address ramp operation threats during pre-flight briefings. Additionally, the incident highlighted the importance of effective crew resource management (CRM) and clear communication to prevent similar occurrences.",communication issues
1741944,Flight Attendant,Ground Personnel,"The incident occurred when a flight attendant observed two policy violations during the flight. First, catering personnel were not wearing masks, which contravened company health and safety protocols. Second, a non-revenue pilot was initially non-compliant with mask-wearing requirements. The flight attendant addressed the pilot, who initially refused but complied temporarily. Upon the attendant leaving, the pilot removed his mask again. The Purser intervened, reminding the pilot to wear his mask, to which he finally complied. The catering issue was reported but not resolved during the flight. The result was the pilot's compliance after two reminders, while the catering staff's non-compliance was noted but addressed through reporting.",communication issues
1742475,Flight Crew,Flight Attendant,"The incident involved an aircraft departing with passenger data that did not match the actual seating arrangement due to a passenger changing seats. The cause was a lack of communication between the flight crew and the flight attendant. During boarding, the forward flight attendant had asked the Captain if a passenger could move from the aft to the front, receiving permission. However, there was no follow-up communication. After takeoff, the Captain realized the passenger had moved, leading to discrepancies in weight and balance data. The flight operations officer (FO) confirmed the move with the flight attendants. Post-landing, the flight attendant explained she hadn't realized the need to update the data. The proposed solution is for the Captain to brief the crew on the importance of accurate passenger data and communication, especially on low-load flights.",communication issues
1742716,Flight Attendant,Other,"The incident occurred during the boarding process when a passenger expressed dissatisfaction with another passenger not wearing a mask. The flight attendant suggested moving the concerned passenger to an exit row to create distance, but this was complicated by another passenger in the exit row who had removed their mask while eating. The passenger in seat X became agitated, stating that it was unacceptable that mask-wearing was not being enforced. Despite the flight attendant's request for both passengers to wear masks, the passenger in seat X refused. The flight attendant then informed the other flight attendant and the pilots. After returning to his seat, the passenger in seat X remained calm. Passengers expressed general anxiety about flying and varying mask requirements, as well as a lack of respect for flight attendants' instructions.",communication issues
1748223,Flight Attendant,Other,"The incident occurred during a flight when a smoke detector alarm was triggered in the aft galley. A flight attendant noticed the alarm and knocked on the aft lavatory door to check on the passenger inside. Upon opening the door, a plume of smoke or vapor emerged. The flight attendant questioned the passenger about the source of the smoke, explaining that smoking on an aircraft is a federal offense. The passenger claimed she was using an e-cigarette and was unaware that it was prohibited. The flight attendant conducted a thorough search of the lavatory, including the waste receptacle, shelves, toilet bowl, sink, and cupboard, but found no evidence of smoking paraphernalia or burning material. The passenger expressed surprise at the禁烟 policy, attributing her inability to detect the smell to her face mask, which she was wearing for COVID-19 protection. The flight attendant informed the captain about the incident, and the situation was resolved without further issues.",communication issues
1748563,Flight Attendant,Maintenance,"The incident involved a communication breakdown between a flight attendant and a maintenance technician regarding the accessibility of survival kit lanyards on an Airbus A320 aircraft. During pre-flight safety checks, the flight attendant discovered that the lanyards were not visible or accessible. The flight attendant notified the purser and spoke to the maintenance technician, who initially stated that only the 757 model had the lanyards and that the A320, being an overwater-equipped aircraft, did not require them. However, the technician later found the lanyards under the slide pack, which was not visible or accessible in a water emergency. The incident resulted in the survival kit lanyards being inaccessible, and the flight attendant highlighted the need for a different installation method to ensure visibility and accessibility.",communication issues
