ACN,Party1_Role,Party2_Role,objective_summary,label
2068792,Flight Attendant,Flight Attendant,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",crew-related issues
2102491,Flight Attendant,Flight Attendant,"The incident involved an off-duty Flight Attendant (Party1) who attempted to assist during a safety procedure on a flight. The aircraft experienced an issue with the landing gear, prompting the captain to conduct a preparation for land evacuation demonstration. During this time, Party1, who was in uniform and seated in the cabin, volunteered to assist by taking on the role of FA #8 at the jump seat in the aft galley. However, the Purser (Party2) denied this offer, instructing Party1 to return to their seat in the cabin, stating that only working Flight Attendants should be involved in the safety procedure. After landing, the off-duty Flight Attendants (deadhead crew) were reassigned to work the next departing flight, which caused significant fatigue due to being awake for approximately 27 hours. This decision was particularly challenging because the deadhead crew had less time available compared to the on-duty crew, who were subsequently released from their duties. The inconsistency in treatment and the denial of assistance led to frustration among the deadhead crew, who felt their efforts and well-being were overlooked despite being part of the same incident. A proposed solution is to ensure fair treatment and consideration for all crew members, including those deadheading, in such situations.",crew-related issues
2119017,Flight Attendant,Ground Personnel,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",crew-related issues
2172923,Flight Attendant,Other,"The incident occurred on a flight from ZZZ to ZZZ1, involving a passenger (Party2) and a flight attendant (Party1). The cause was the passenger's refusal to check her bag for an international trip, leading to a confrontation. The process began with the passenger insisting her bag fit in the overhead compartment, which the flight attendant redirected to the front attendant. When the passenger was denied, she became upset, yelled at the flight attendant, and filled out a complaint form during the flight. The result was the passenger opening multiple overhead bins and taking photos, prompting the flight attendant to secure the galley and notify the captain. The captain was informed about both this misconduct and a separate issue involving a passenger's bag with lithium batteries. The proposed solution involved notifying the captain to handle these issues through appropriate channels.",crew-related issues
1978886,Flight Attendant,Flight Attendant,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",crew-related issues
1918721,Flight Crew,Flight Attendant,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",crew-related issues
1937157,Flight Crew,Flight Attendant,"The incident arose from a miscommunication between the flight captain and a flight attendant regarding the handling of a smart bag. Contributing factors included the inexperience of the new ops agent and flight attendant, as well as the captain's distraction while retrieving food, leading to a lack of direct involvement in the bag's handling. The flight attendant initially gate-checked the smart bag, which was later identified as requiring special handling. The ops agent retrieved the bag from the cargo area after being notified. During the flight, the captain noticed the bag in the cabin and pointed out the policy violation. The flight attendant acknowledged the mistake, and the bag's handling was corrected. The smart bag was erroneously loaded into the cargo compartment but was later moved to the passenger cabin. The incident highlighted the need for improved communication and involvement by the captain, especially when dealing with safety-sensitive items like smart bags. The captain reflected on the need to be more involved in the handling of such items and recognized the impact of new staff and distractions on communication. This awareness serves as a lesson for future operations.",crew-related issues
1943492,Flight Attendant,Flight Crew,"The incident involved a hard landing followed by a tail strike, causing the aircraft to skid aggressively on the runway. After passengers deplaned, the initial pilots departed without debriefing the flight attendant. The new Captain was informed about the tail strike and subsequent leak. Maintenance attempted repairs but couldn't fix the issue, leading the Captain to decide against using the aircraft further. As a result, the plane was deferred, and a new aircraft was used.",crew-related issues
1949120,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",crew-related issues
1787885,Flight Attendant,Ground Personnel,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",crew-related issues
