ACN,Party1_Role,Party2_Role,objective_summary,label
1949120,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",disruptive
1787885,Flight Attendant,Ground Personnel,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",disruptive
1819490,Flight Attendant,Ground Personnel,"A conflict occurred between a flight attendant and ground personnel concerning a passenger's carry-on smart bags with non-removable batteries. Passengers, traveling from ZZZ to ZZZ1, boarded an aircraft with the bags through the aft door. The flight attendant indicated the bags were too large for the overhead bins. The passengers claimed they were permitted to carry them onboard. Efforts to accommodate them were made, but the gate agent insisted the bags be checked due to safety regulations. As a result, the passengers were deplaned with their bags. The flight attendant noted the passengers had been on a previous flight but didn't observe them boarding with the bags earlier. No solution was proposed during the incident.",disruptive
1742716,Flight Attendant,Other,"The incident occurred during the boarding process when a passenger expressed dissatisfaction with another passenger not wearing a mask. The flight attendant suggested moving the concerned passenger to an exit row to create distance, but this was complicated by another passenger in the exit row who had removed their mask while eating. The passenger in seat X became agitated, stating that it was unacceptable that mask-wearing was not being enforced. Despite the flight attendant's request for both passengers to wear masks, the passenger in seat X refused. The flight attendant then informed the other flight attendant and the pilots. After returning to his seat, the passenger in seat X remained calm. Passengers expressed general anxiety about flying and varying mask requirements, as well as a lack of respect for flight attendants' instructions.",disruptive
1748935,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger regarding the improper use of a face mask during a flight. The flight attendant observed the passenger removing his mask multiple times despite being asked to comply with mask-wearing regulations. The passenger, who was sniffling and coughing and had consumed alcohol, initially followed instructions but repeatedly took off his mask. After landing, the passenger again removed his mask near other passengers and made a loud noise. The flight attendant intervened once more, reminding the passenger of the mask policy and warning that non-compliance could lead to issues with future boarding. No explicit solution was proposed beyond the reminder and warning.",disruptive
1749667,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger regarding the passenger's refusal to wear a face mask during the flight, despite multiple reminders. Initially, the passenger complied with the request to wear a mask but repeatedly removed it, including during the safety demonstration and while the aircraft was taxiing. The flight attendant escalated the issue by informing the flight deck, leading to the decision to return the aircraft to the gate. Upon arrival, the passenger was escorted off the plane, and the remaining passengers were apologized to. The flight resumed after the incident was resolved. The solution involved the removal of the non-compliant passenger and reassurance to other passengers about safety protocols.",disruptive
1752373,Flight Attendant,Other,"The incident began when a passenger refused to wear a face mask despite being requested by a Customer Service Agent (CSA) at the gate. The CSA informed the passenger that he could not fly without a mask, to which he initially agreed but subsequently did not comply. During the flight, the passenger continued to refuse, citing reasons such as not wanting to snack, despite being reminded multiple times by the flight attendant. The flight attendant confronted the passenger at least five times, emphasized the mask policy, and informed him that he was aware of it when purchasing the ticket. The passenger and his wife argued, leading the flight attendant to inform the captain. The captain contacted ZZZ1, marking the resolution of the incident.",disruptive
1752385,Flight Attendant,Other,"The incident involved a flight attendant (FA) and a passenger who refused to comply with face mask policies during a flight. The passenger initially boarded the plane without a mask but complied after being asked. The passenger was initially rowdy but did not cause significant issues until he began throwing almonds at another passenger. When asked to stop, he complied. However, throughout the flight, the passenger repeatedly removed his mask despite being asked multiple times by the flight attendant and another crew member. When the passenger attempted to argue against wearing the mask, claiming he had a test done and possibly a medical condition, the flight attendant questioned whether he had discussed this with a gate agent. The passenger responded with a threat, implying the flight attendant would not win. The flight attendant then contacted the cabin manager and informed the passenger that the mask policy was non-negotiable, leading to the passenger being met at the gate upon deplaning. After exiting the plane, the flight attendant felt unsafe due to a group of older and large men traveling with the disruptive passenger. The group boarded the same tram as the flight attendant and made loud comments about her enforcing mask policies. The flight attendant expressed a desire to feel safe and supported in her role.",disruptive
1752390,Flight Attendant,Other,"The incident occurred during the boarding process of a flight. A flight attendant, referred to as Flight Attendant A, noticed a passenger in seat XB who appeared to be potentially intoxicated. She requested another flight attendant (the user) to approach the passenger and assess the situation. Upon arrival, the passenger was agitated, slurring his speech, and had a noticeable smell of alcohol. He claimed to be fine but became upset when asked if he was intoxicated, stating he had only consumed one beer and did not consider himself drunk. Flight Attendant A and the user agreed that the passenger was intoxicated and that his behavior was disruptive. Flight Attendant A informed the captain, and the passenger was subsequently removed from the flight.",disruptive
1752712,Flight Attendant,Flight Attendant,"The incident occurred during a flight when one flight attendant (Party 1) chose to sit in an aft-facing jumpseat instead of their assigned seat, avoiding passenger interaction. The reporting flight attendant (Party 2) attempted to explain the importance of occupying the assigned jumpseat. After landing, when the reporter mentioned filing a report, Party 1 became upset, screaming and suggesting the reporter leave or seek medical help. Despite efforts to reason, no resolution was reached. As a result, the reporter documented the incident, and Party 1 was recommended for additional training on jumpseat protocols.",disruptive
