ACN,Party1_Role,Party2_Role,objective_summary,label
1895886,Flight Attendant,Flight Crew,"The incident involved a pressurization malfunction during a flight, which led to the aircraft landing with emergency services present. The flight attendant observed fire trucks and was informed of the issue after passengers had disembarked. The captain later explained the pressurization problem but apologized for not informing the attendant, attributing the lapse to being too occupied. The flight attendant experienced poor communication from the flight crew, resulting in unanswered passenger inquiries about the emergency vehicles. The outcome highlighted a communication breakdown between the flight attendant and the pilot crew. The captain acknowledged the issue and apologized, indicating a recognition of the communication failure but not specifying a particular resolution.",emergency
1751692,Flight Attendant,Other,"During a flight, a **Flight Attendant (FA)** reported an incident involving a passenger, referred to as Passenger X, who exhibited unusual behavior. Passenger X used the restroom a total of **nine times** within a span of **1.5 to 2 hours**, which raised concerns among the crew and other passengers. Upon entering the restroom, Passenger X was heard coughing heavily, to the point of gagging, which worried two other passengers. When asked about his condition, he initially claimed it was due to allergies but later stated he was not feeling well because he had not eaten breakfast. The FA provided snack bags to all passengers and kept a close eye on Passenger X throughout the flight. Additionally, Passenger X was repeatedly reminded to wear his mask properly. The FA noted that he was reading or digging through his bags, which may have contributed to the need for mask reminders. The FA informed the Pilot-in-Command (PIC) about the situation, and the PIC requested that the FA check if there was a way to take Passenger X's temperature. Since the crew did not have a thermometer, the PIC suggested contacting a customer service agent to meet the flight. After landing, the PIC instructed the FA to ask Passenger X to remain seated until all other passengers had deplaned, so that someone could speak with him privately. Passenger X complied but was visibly unhappy and removed his mask in frustration. After noticing the FA's surprise, he quickly put the mask back on. Passenger X was the last to deplane and was met by a customer service agent at the gate. The FA later reported that Passenger X had used the forward restroom immediately after boarding the plane, adding to the total of nine restroom visits. His behavior created disturbances and safety concerns during the flight.",emergency
1774109,Flight Attendant,Other,"The incident occurred when a flight attendant encountered multiple passengers who refused to comply with the face mask policy on board the aircraft. The first passenger, seated in XX1, was observed with her mask below her nose and did not adhere to requests to properly cover her nose and mouth. She questioned the oxygen policy, prompting the flight attendant to inquire if she required an oxygen canister, which she did not provide. Another passenger in seat YY1 similarly failed to comply with mask requirements, despite repeated requests. The flight attendant contacted the captain, who in turn reached out to a supervisor to address the situation. A passenger attempting to sit in the incorrect seat (XX2) was redirected to his assigned seat, which he complied with. However, another passenger in seat YY2 became confrontational, invading the flight attendant's personal space and expressing dissatisfaction with her approach. The flight attendant informed the passengers that those not complying with mask policies would be removed, and she summoned the captain again. Paramedics arrived and removed the passenger in seat ZZ1 from the flight. The station manager later arrived and was informed that the passengers in seats YY1 and YY2 needed to be removed for mask non-compliance and interference with crew duties. As a result, all identified passengers were removed from the flight, allowing the journey to continue safely. The solution involved ensuring compliance with mask policies and addressing interference with crew duties through passenger removal.",emergency
1782122,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a group of passengers who refused to comply with the face mask policy during a nearly two-hour flight. The flight attendant reported that the group, part of an organization, repeatedly ignored mask requirements and laughed or mocked attempts to enforce the policy. Despite multiple attempts by the flight attendant and their colleague to address the issue with both individual passengers and adult leaders of the group, compliance was not achieved. The flight attendant requested that the offending passengers be denied further transportation upon landing, but this request was not granted by leadership in ZZZ. As a result, the group was allowed to continue on their next flight.",emergency
1607955,Flight Crew,Flight Attendant,"The incident involved an ERJ-175 flight crew and a flight attendant during departure from ZZZ. After starting the first engine, a warning indicated a forward door was ajar. The flight crew communicated with the attendant to check and recycle the door. During this, the emergency slide deployed, an inadvertent deployment with no injuries. The cause was attributed to a miscommunication regarding the term ""recycle,"" leading to confusion. Contributing factors included a delayed flight and rushed procedures. To prevent recurrence, the flight manual's terminology will be revised for clarity, and procedures will be followed more meticulously.",emergency
1608882,Flight Attendant,Other,"The incident involved a passenger who was vaping marijuana on a flight, leading to a conflict with the flight attendants. The flight attendants noticed a strong smell of marijuana when the passenger exited the aft lavatory and observed smoke inside the lavatory. The passenger appeared paranoid and initially lied to the police about his actions. The flight attendants called the captain, and upon landing, police were summoned. During questioning, the passenger denied using marijuana but later admitted to smoking in the cabin and lavatory after a vape pen, which tested positive for THC, was found in his possession. The passenger was detained, and the flight attendants reported the incident to the authorities. The flight attendant experienced throat irritation and a headache, possibly due to the effects of THC exposure. The police confirmed the vape pen contained THC, leading to the passenger's confession and detention.",emergency
1505311,Flight Attendant,Ground Personnel,"The incident involved a flight attendant (Party1) and ground personnel (Party2) during aircraft operations. The flight attendant opened the 1L door of a 737 aircraft in the armed position after receiving a thumbs-up signal from the station agent. This caused the slide pack to dislodge and partially deploy. The flight attendant immediately grabbed the door to prevent further deployment, instructed the agent to step back, and informed the captain. The captain assumed control, ensuring passenger safety, communicating the situation to passengers, and coordinating with maintenance. The slide pack was eventually removed, and passengers were safely deplaned. The incident was attributed to the flight attendant's failure to follow proper disarm procedures, including the monitor and challenge protocol, due to physical and mental fatigue, discomfort, and distractions from prior incidents during the day. The flight attendant acknowledged the lapse in focus and expressed intent to adhere strictly to procedures in the future. No injuries were reported, and the situation was resolved without further complications.",emergency
1516706,Flight Crew,Flight Attendant,"The incident involved a B737 flight crew responding to smoke in the aft lavatory, which was traced to a passenger's electronic cigarette. Upon notification, the smoke alarm activated, causing cabin chaos. The captain, departing from standard protocol, left the flight deck to personally assess the situation, concluding no immediate fire hazard existed. After extinguishing the alarm and inspecting the lavatory, the captain instructed the flight attendants to lock the lavatory and monitor the situation. Despite the First Officer's departure from standard procedure by opening the flight deck door, the captain returned and decided to continue the flight to the destination. Later, the flight attendants found the electronic cigarette, confirming its role in the incident. The captain's actions prioritized safety, aligning with company policies.",emergency
1412286,Flight Attendant,Other,"The incident occurred during the cruise phase of a B737-800 flight about 45 minutes prior to landing at ZZZ. The First Officer (FO) required a physiological break and temporarily left the cockpit to use the forward lavatory. A flight attendant (FA) entered the cockpit in accordance with standard procedures, closing the door behind them. During the FO's absence, a Hispanic passenger approached the forward galley. The FA instructed the passenger to either use one of the rear lavatories or return to her seat, as she was not permitted to remain in the galley. The passenger, who did not understand English, was initially uncooperative. However, the three FAs, who spoke fluent Spanish, repeatedly explained the situation. Despite this, the passenger refused to comply, verbally abused, and threatened the FAs. A deadheading male FA was called to assist. The 'A' FA informed the Captain via interphone, who heard loud voices and ongoing dialogue between the FAs and the passenger in Spanish. The FO, having exited the lavatory, joined the situation in the galley. After several minutes, the passenger's husband intervened and persuaded her to return to her seat. With the passenger seated and the FAs, including the male deadheading FA, positioned to block access to the forward galley and cockpit door, the cockpit door was opened. The FA exited the cockpit, and the FO returned. The cockpit was then secured in accordance with Threat Level 1 protocols. Upon arrival at ZZZ, law enforcement was summoned to remove the passenger from the aircraft. The Captain, after consulting with the FO and visually confirming the galley's security, determined it was safer for the FO to remain in the cockpit for the remainder of the flight. The incident highlighted the need for recurrent security training, particularly addressing scenarios where the cockpit is locked down with one pilot in the cabin. The discussion raised questions about the safest seating arrangement for an FA in such situations—whether in the jumpseat or a pilot seat.",emergency
1441841,Flight Crew,Flight Attendant,"The incident occurred during the arrival into [destination] when smoke was reported in the cabin due to an e-cigarette battery experiencing thermal runaway. The flight crew donned oxygen masks, communicated with the flight deck team, and requested a direct approach to [destination]. The flight attendants successfully contained the device and its spare batteries in an ion battery emergency containment bag, resolving the smoke issue. Despite the situation being controlled, the flight crew remained on oxygen throughout the approach and landing. Upon landing, the flight crew was surrounded by Fire Rescue, surprising the flight attendants who had been making announcements. The incident highlighted a communication lapse, with the captain failing to follow up with the flight attendants after initially notifying them of the oxygen use. The captain acknowledged the need for better resource management and delegation, recognizing that shared responsibilities could have mitigated the distractions and improved communication.",emergency
