ACN,Party1_Role,Party2_Role,objective_summary,label
2119017,Flight Attendant,Ground Personnel,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",equipment malfunction
1978886,Flight Attendant,Flight Attendant,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",equipment malfunction
1895886,Flight Attendant,Flight Crew,"The incident involved a pressurization malfunction during a flight, which led to the aircraft landing with emergency services present. The flight attendant observed fire trucks and was informed of the issue after passengers had disembarked. The captain later explained the pressurization problem but apologized for not informing the attendant, attributing the lapse to being too occupied. The flight attendant experienced poor communication from the flight crew, resulting in unanswered passenger inquiries about the emergency vehicles. The outcome highlighted a communication breakdown between the flight attendant and the pilot crew. The captain acknowledged the issue and apologized, indicating a recognition of the communication failure but not specifying a particular resolution.",equipment malfunction
1918721,Flight Crew,Flight Attendant,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",equipment malfunction
1943492,Flight Attendant,Flight Crew,"The incident involved a hard landing followed by a tail strike, causing the aircraft to skid aggressively on the runway. After passengers deplaned, the initial pilots departed without debriefing the flight attendant. The new Captain was informed about the tail strike and subsequent leak. Maintenance attempted repairs but couldn't fix the issue, leading the Captain to decide against using the aircraft further. As a result, the plane was deferred, and a new aircraft was used.",equipment malfunction
1733955,Flight Attendant,Flight Crew,"The incident arose from a maintenance issue with the R1 door warning strap, which the Flight Attendant noticed during cleaning. She reported the strap was improperly positioned and highlighted worn Velcro causing instability. Despite the First Officer and Captain dismissing her concerns initially, the Flight Attendant persisted, leading to Maintenance being called, who subsequently repaired the strap. The situation highlighted shortcomings in CRM, prompting a later discussion between the Flight Attendant and Captain, resulting in a commitment to improve communication and address such issues more effectively.",equipment malfunction
1755324,Flight Crew,Flight Attendant,"The incident occurred on flight ABCD between ZZZ and ZZZ1. The flight attendant noticed the lavatory sink had no water and informed the captain, who decided to depart as scheduled, assuming the water tank was empty and couldn't be refilled at the outstation. However, upon arrival, ground operations had refilled the water, but the sink remained inoperative, causing a delay in the next flight. The captain later regretted not following standard procedures, particularly due to COVID-19 considerations. The solution emphasized adhering to SOPs to prevent similar issues.",equipment malfunction
1769363,Flight Attendant,Ground Personnel,"The incident occurred due to technical difficulties faced by the flight attendant, who was unable to communicate with ground personnel because her tablet malfunctioned and there were no available jet bridge or plane phones. This communication breakdown led to a delay in providing an aisle chair for a connecting passenger, causing three passengers to remain on the aircraft longer than expected. The flight attendant expressed regret for the delay and suggested that ensuring access to jet bridge phone numbers could prevent future issues. To address the communication challenges, it was recommended that every flight be equipped with jet bridge phone numbers to facilitate timely communication with ground agents, thereby improving customer service and ensuring timely passenger deplaning.",equipment malfunction
1676232,Maintenance,Flight Attendant,"The incident occurred when a maintenance crew responded to a 'Warn Elec' message on an aircraft, leading them to attempt resetting circuit breakers. Due to a delay in obtaining a jetway operator, the maintenance team proceeded without one, resulting in a mechanic entering the aircraft through an open hatch. During this process, a flight attendant accidentally stepped through the hatch, causing injuries to both the flight attendant and the mechanic. The Captain's management of the situation and subsequent interaction with the maintenance crew were perceived as disrespectful, highlighting a need for improved interdepartmental communication and support systems. Proposed solutions include ensuring a jetway operator is available and enhancing communication protocols to prevent such incidents. The outcome underscores the importance of teamwork and respect in addressing technical issues efficiently.",equipment malfunction
1718343,Flight Attendant,Flight Crew,"During a B737-900 flight, a Flight Attendant discovered a large hard-covered box in the overhead bin, which a passenger identified as a drum set containing a lithium battery. The attendant expressed concerns about the item's size, its inability to fit into a battery containment bag, and the presence of lithium batteries, particularly since the flight was scheduled to operate over water for five hours. The attendant sought clarification from the Customer Service Representative (CSR) and the Captain regarding the item's approval but did not receive satisfactory answers. The Captain acknowledged the presence of other lithium battery-powered devices on board, such as cell phones and laptops, but deemed the drum set acceptable. The attendant raised questions about the lack of thorough research into the item and proposed that such items should be checked more carefully before departure. The incident highlights concerns about lithium battery safety and the need for proper review procedures.",equipment malfunction
