ACN,Party1_Role,Party2_Role,objective_summary,label
2068792,Flight Attendant,Flight Attendant,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",health and medical issues
1787885,Flight Attendant,Ground Personnel,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",health and medical issues
1840114,Flight Attendant,Other,"The flight attendant was approached by a supervisor after landing who informed them about an air quality issue with their aircraft. The attendant was confused as they had no prior notice and sought more information, which they obtained through the Cabin Service System. They learned their aircraft was being replaced. The attendant expressed concerns about their health, unsure if their illness was due to the aircraft or pre-existing. They felt blindsided and requested follow-up and clarification to decide next steps.",health and medical issues
1736305,Flight Attendant,Flight Attendant,"The incident was triggered by a medical situation involving a sick passenger on board a flight from ZZZ to ZZZ1. The flight attendants encountered a vomit episode in the forward lavatory, attributed to a national health concern, and promptly alerted the captain. They maintained effective communication with the flight deck, ensuring the situation was managed with care. The crew coordinated with medical services,Dispatch, and Station Ops, leading to the decision to allow passengers to deplane after the aircraft was cleaned. Additionally, the attendants comforted a passenger whose mother was gravely ill. The flight attendants successfully managed the medical incident, ensuring passenger safety and comfort. Passengers were permitted to deplane post-cleaning, adhering to safety protocols amidst the pandemic, thus resolving the situation effectively.",health and medical issues
1743828,Flight Crew,Other,"The incident involved a passenger at the gate without a face mask who claimed to have COVID-19 and cited a medical condition (asthma) as the reason for not wearing it. The flight attendant expressed concerns about the passenger being contagious and potentially disruptive. The Captain addressed the situation by contacting MedLink, who confirmed the passenger was cleared. The station manager reported the passenger was cooperative. After resolving concerns, the passenger was allowed to board. The outcome was the passenger boarding the flight following the resolution.",health and medical issues
1744573,Flight Attendant,Flight Attendant,"The incident involved two flight attendants on board a flight. Flight Attendant 1 reported that Flight Attendant 2 refused to wear a mask during boarding and throughout the flight. Flight Attendant 1 expressed concern over the risk to passengers' and crew's health due to non-compliance with mask requirements. Flight Attendant 1 also highlighted the discomfort caused by the situation and the potential for conflict between crew members. To address the issue, Flight Attendant 1 suggested that masks should be mandated for all crew members unless there was a medical reason for exemption. The reported incident emphasized the importance of prioritizing health and safety measures to prevent further risks to the cabin environment and crew relations.",health and medical issues
1749902,Flight Attendant,Other,"The incident involved a conflict between a Flight Attendant (Party 1) and a passenger (Party 2). During the flight, the Flight Attendant began conducting a briefing but was interrupted by the passenger, who expressed discomfort regarding the seating arrangement due to concerns about COVID-19. The Flight Attendant was unsure whether the briefing had been successfully completed and subsequently self-reported the situation. No specific solution was proposed in the context provided.",health and medical issues
1751692,Flight Attendant,Other,"During a flight, a **Flight Attendant (FA)** reported an incident involving a passenger, referred to as Passenger X, who exhibited unusual behavior. Passenger X used the restroom a total of **nine times** within a span of **1.5 to 2 hours**, which raised concerns among the crew and other passengers. Upon entering the restroom, Passenger X was heard coughing heavily, to the point of gagging, which worried two other passengers. When asked about his condition, he initially claimed it was due to allergies but later stated he was not feeling well because he had not eaten breakfast. The FA provided snack bags to all passengers and kept a close eye on Passenger X throughout the flight. Additionally, Passenger X was repeatedly reminded to wear his mask properly. The FA noted that he was reading or digging through his bags, which may have contributed to the need for mask reminders. The FA informed the Pilot-in-Command (PIC) about the situation, and the PIC requested that the FA check if there was a way to take Passenger X's temperature. Since the crew did not have a thermometer, the PIC suggested contacting a customer service agent to meet the flight. After landing, the PIC instructed the FA to ask Passenger X to remain seated until all other passengers had deplaned, so that someone could speak with him privately. Passenger X complied but was visibly unhappy and removed his mask in frustration. After noticing the FA's surprise, he quickly put the mask back on. Passenger X was the last to deplane and was met by a customer service agent at the gate. The FA later reported that Passenger X had used the forward restroom immediately after boarding the plane, adding to the total of nine restroom visits. His behavior created disturbances and safety concerns during the flight.",health and medical issues
1753809,Flight Attendant,Other,"The incident involved a flight attendant (Party1) and two passengers (Party2) in seats XX5 and XX6. During deplaning, several passengers approached the flight attendant to report that the two passengers had been spitting, wiping saliva, phlegm, and blood over their seating area, including seats, armrests, tray tables, window, and wall. The two passengers exited the aircraft before the other passengers could notify the flight attendant. The flight attendant terminated the flight and informed Operations to request cleaners to sanitize the affected area thoroughly. The blood was smeared in an X shape on the wall, likely from a small wound. The flight attendant noted that without the passengers' notification, the extent of the contamination would have gone unnoticed, as the saliva and secretions had dried by the time she could inspect the area. The flight attendant reflected on the need for updated passenger announcements to emphasize the seriousness of such misconduct and the potential consequences. No immediate solution was proposed for the passengers' actions, but the flight attendant emphasized the importance of addressing such behavior to protect other passengers, crew, and employees.",health and medical issues
1754493,Flight Attendant,Flight Crew,"The incident occurred during the safety demonstration when a deadheading pilot abruptly left his seat, pushing the flight attendant aside to use the lavatory. The pilot exhibited signs of distress, with a flushed face, watery eyes, and severe coughing. Upon noticing this, the flight attendant informed the captain, who instructed her that no action would be taken unless the pilot removed his mask. The pilot remained in the lavatory throughout the demonstration. Faced with the situation, the flight attendant felt compelled to halt the safety demonstration to prioritize passenger safety, despite the captain's stance, as stopping the demo was her responsibility to ensure everyone's well-being.",health and medical issues
1754509,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant noticed a passenger coughing without a properly worn face mask. The attendant approached the sleeping passenger politely to remind him to cover his mouth and nose, waking him up. The passenger later went to the bathroom but was still non-compliant, with his nose uncovered. Upon returning, he expressed his upset, arguing that others were eating and drinking, so it was acceptable. The flight attendant reiterated the importance of mask compliance for safety, but the passenger dismissed her explanation and remained non-compliant. The attendant stood by her actions, emphasizing the necessity of adhering to health and safety protocols. The passenger's behavior did not change, and the situation remained unresolved.",health and medical issues
