ACN,Party1_Role,Party2_Role,objective_summary,label
1787885,Flight Attendant,Ground Personnel,"The incident involved a conflict between a flight attendant and ground personnel during the deplaning process of a full flight. The cleaning crew requested early access to clean the first-class section before all passengers had deplaned, which the flight attendant initially refused. This led to tension, as the cleaning crew and a gate agent, who arrived without a face mask, displayed an attitude. The flight attendant emphasized the importance of passenger safety and deplaning efficiency, citing stress from COVID-related protocols and passenger concerns. After deplaning was complete, the crew faced delays in retrieving their belongings, and the flight deck remained inaccessible. The flight attendant acknowledged potential oversights and expressed a commitment to follow procedures, highlighting the need for safe and efficient passenger experiences.",mask policy
1790572,Flight Attendant,Ground Personnel,"An incident occurred during a flight involving a misunderstanding between the flight attendant (Y) and the flight crew. After the doors closed, Y approached her colleague (X) to inform her of a disruptive passenger who refused to wear a mask. Y dealt with the passenger while X closed the doors and made an announcement, with both stating the cabin was secure. However, X assumed Y would finish her duties, and Y believed X had secured the cabin. The confusion arose when the captain opened the flight deck door, expecting the cabin to be secure but was unaware of the status. Both realized their mutual assumption led to the oversight. They re-secured the cabin and resumed the briefing, causing a delay. The incident was caused by both parties' distractions and mutual assumptions, highlighting the need for clearer communication protocols to prevent such misunderstandings. Implementing a check system or specific confirmation procedure could enhance future operations.",mask policy
1791338,Flight Attendant,Flight Crew,"The incident involved a misunderstanding between a flight attendant and the flight crew regarding the cabin security process. The flight attendant was distracted by a disruptive passenger who refused to wear a mask, leading to an oversight in communication. After addressing the passenger, the flight attendant assumed the flight crew had been informed that the cabin was secure. Similarly, the flight crew believed the flight attendant had communicated the cabin's readiness. This mutual assumption resulted in the cabin not being properly secured before the safety briefing began. Approximately one minute into the briefing, the captain noticed the lack of communication and informed the flight attendant, prompting both parties to re-secure the cabin promptly. The incident was attributed to the distraction caused by the disruptive passenger and the crew's assumption that the other party had handled their respective duties. A potential solution identified was to improve communication protocols and account for habits like the pilots closing the flight deck door for warmth.",mask policy
1797439,Flight Attendant,Ground Personnel,"A conflict occurred between a flight attendant (Party 1) and ground personnel (Party 2) during the disembarkation process of a flight at ZZZ airport. The incident arose due to a ""quick-turn"" operation, where the cleaning crew boarded the aircraft before all passengers had disembarked. This led to confusion as passengers, cleaning staff, and crew members were moving through the cabin simultaneously. The flight attendant was unaware of the situation escalating, as she was focused on her usual duties, including calling rows to deplane and ensuring passenger safety. During the process, she noticed the cleaning crew slipping onboard in casual attire, which blended them in with passengers and crew. Pilots were also leaving the aircraft, adding to the chaos. The flight attendant assumed all passengers had disembarked after seeing the last passenger, who resembled a cleaner, and stepped off the plane. However, a male passenger had remained onboard, intermixed with the cleaning crew and crew members. He was eventually found after his boarding pass was located under his seat. Contributing factors included the quick turnaround procedure, the lack of distinction in clothing between cleaning staff and other individuals onboard, and the presence of multiple ground staff and crew members in the jet-bridge and cabin. The flight attendant noted that double-checking passengers and crew for proper identification could help prevent such confusion in the future. She also expressed concerns about passengers removing or lowering their masks, which could further complicate the deplaning process. As a result of the incident, the flight attendant planned to alert corporate security to the situation and the potential for similar confusion during future disembarkations.",mask policy
1801802,Flight Crew,Flight Attendant,"The incident began when a flight attendant reported a passenger's child resisting the face mask policy. The mother claimed the child was under two years old, exempting the child from the mask requirement. The flight attendant believed this was an attempt to avoid compliance and sought to adjust the weight and balance count. The captain, managing a busy pushback and fatigued from early morning hours, decided to maintain the current count, as the child had a designated seat, suggesting the child was over two. Later, the flight attendant realized she had miscounted the child as a passenger rather than an infant, leading her to alert the captain. She concluded the mother had falsely claimed the child's age. Reflecting on the experience, the flight attendant vowed to verify the age of children in such situations in the future. The outcome was resolved without further incident, with the flight attendant learning to ask passengers about their child's age to ensure accurate counts and compliance.",mask policy
1805938,Flight Crew,Flight Attendant,"The incident occurred when a Flight Attendant interrupted the sterile cockpit procedure during landing rollout to inform the flight crew about a passenger not complying with the mask policy. This action was contrary to established safety protocols, which reserve cockpit intercom use for emergencies. The flight crew, accustomed to associating such chimes with critical issues, were distracted, potentially compromising safety. The result was a report from the Captain. To address this, guidelines were reissued to clarify acceptable scenarios for cockpit communication during landing, emphasizing the importance of adhering to sterile procedures.",mask policy
1740938,Flight Attendant,Other,"The flight attendant was demonstrating the oxygen mask use during the safety briefing while wearing her own face mask, which could have led passengers to misunderstand the correct procedure. The cause was her misinterpretation of face mask policies, believing she needed to wear it throughout without exceptions. To address this, she plans to enhance her situational awareness and remove her mask during the demonstration to ensure accurate instruction.",mask policy
1741944,Flight Attendant,Ground Personnel,"The incident occurred when a flight attendant observed two policy violations during the flight. First, catering personnel were not wearing masks, which contravened company health and safety protocols. Second, a non-revenue pilot was initially non-compliant with mask-wearing requirements. The flight attendant addressed the pilot, who initially refused but complied temporarily. Upon the attendant leaving, the pilot removed his mask again. The Purser intervened, reminding the pilot to wear his mask, to which he finally complied. The catering issue was reported but not resolved during the flight. The result was the pilot's compliance after two reminders, while the catering staff's non-compliance was noted but addressed through reporting.",mask policy
1742716,Flight Attendant,Other,"The incident occurred during the boarding process when a passenger expressed dissatisfaction with another passenger not wearing a mask. The flight attendant suggested moving the concerned passenger to an exit row to create distance, but this was complicated by another passenger in the exit row who had removed their mask while eating. The passenger in seat X became agitated, stating that it was unacceptable that mask-wearing was not being enforced. Despite the flight attendant's request for both passengers to wear masks, the passenger in seat X refused. The flight attendant then informed the other flight attendant and the pilots. After returning to his seat, the passenger in seat X remained calm. Passengers expressed general anxiety about flying and varying mask requirements, as well as a lack of respect for flight attendants' instructions.",mask policy
1743828,Flight Crew,Other,"The incident involved a passenger at the gate without a face mask who claimed to have COVID-19 and cited a medical condition (asthma) as the reason for not wearing it. The flight attendant expressed concerns about the passenger being contagious and potentially disruptive. The Captain addressed the situation by contacting MedLink, who confirmed the passenger was cleared. The station manager reported the passenger was cooperative. After resolving concerns, the passenger was allowed to board. The outcome was the passenger boarding the flight following the resolution.",mask policy
