ACN,Party1_Role,Party2_Role,objective_summary,label
2068792,Flight Attendant,Flight Attendant,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",operational issues
2102491,Flight Attendant,Flight Attendant,"The incident involved an off-duty Flight Attendant (Party1) who attempted to assist during a safety procedure on a flight. The aircraft experienced an issue with the landing gear, prompting the captain to conduct a preparation for land evacuation demonstration. During this time, Party1, who was in uniform and seated in the cabin, volunteered to assist by taking on the role of FA #8 at the jump seat in the aft galley. However, the Purser (Party2) denied this offer, instructing Party1 to return to their seat in the cabin, stating that only working Flight Attendants should be involved in the safety procedure. After landing, the off-duty Flight Attendants (deadhead crew) were reassigned to work the next departing flight, which caused significant fatigue due to being awake for approximately 27 hours. This decision was particularly challenging because the deadhead crew had less time available compared to the on-duty crew, who were subsequently released from their duties. The inconsistency in treatment and the denial of assistance led to frustration among the deadhead crew, who felt their efforts and well-being were overlooked despite being part of the same incident. A proposed solution is to ensure fair treatment and consideration for all crew members, including those deadheading, in such situations.",operational issues
2119017,Flight Attendant,Ground Personnel,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",operational issues
2168329,Flight Attendant,Ground Personnel,"The incident involved a flight attendant (Party1) who identified two gate-checked bags containing laptops with lithium-ion batteries during boarding. The flight attendant informed the other flight attendant and the captain about the situation, as these items are prohibited in cargo holds due to safety regulations. Two passengers confirmed they had laptops in their bags, and they retrieved them after being instructed to do so. However, the passengers reported that ground personnel had initially prevented them from retrieving the laptops, stating the cargo hold was closed. The flight attendant communicated with the captain and gate agent, and the captain eventually deemed the situation safe, allowing the flight to depart. The issue was resolved after the captain's assessment, and the flight proceeded as scheduled.",operational issues
2172923,Flight Attendant,Other,"The incident occurred on a flight from ZZZ to ZZZ1, involving a passenger (Party2) and a flight attendant (Party1). The cause was the passenger's refusal to check her bag for an international trip, leading to a confrontation. The process began with the passenger insisting her bag fit in the overhead compartment, which the flight attendant redirected to the front attendant. When the passenger was denied, she became upset, yelled at the flight attendant, and filled out a complaint form during the flight. The result was the passenger opening multiple overhead bins and taking photos, prompting the flight attendant to secure the galley and notify the captain. The captain was informed about both this misconduct and a separate issue involving a passenger's bag with lithium batteries. The proposed solution involved notifying the captain to handle these issues through appropriate channels.",operational issues
2175448,Flight Attendant,Flight Crew,"The incident occurred when a Flight Attendant attempted to close the main cabin door, mistakenly deploying the escape slide. The cause stemmed from the Flight Attendant's concern about the door's closure, which led her to reopen and check it. During this process, the slide deployed. The Flight Crew and airport officials coordinated the safe deplaning of passengers using the L2 door and air stairs. The result was a successful, injury-free evacuation. The debrief highlighted a miscommunication regarding the door status, leading to the incident. No explicit solution was proposed, but the situation was managed effectively, with the crew learning from the miscommunication.",operational issues
1963800,Flight Crew,Flight Attendant,"A minor wake turbulence event occurred during the descent of an A321 flight. The flight crew did not contact the cabin crew post-incident, as they were in a critical phase of flight. Following landing, the cabin crew expressed concern about not being contacted. Although no injuries or damage occurred, the cabin crew felt reassurance could have been beneficial. The flight crew suggested improved communication between the cabin and cockpit, and highlighted the need for ATC notifications when following heavy aircraft.",operational issues
1918721,Flight Crew,Flight Attendant,"The incident involved an A321 flight crew (Party 1) and a flight attendant (Party 2). During the flight, the crew noticed an abnormally high aft cargo bay temperature (194 degrees), which was above standard operating parameters. The crew consulted manuals and contacted maintenance but found no immediate solution. Concerned about the situation, particularly over water with limited diversion options, the crew decided to divert to ZZZ2. They made a PAN PAN call to inform ATC and contacted dispatch. During descent and landing at ZZZ2, the crew encountered challenges with overweight landing conditions and ATC communication, but the landing was uneventful. Post-landing, maintenance informed the crew that a fume report had been filed by the flight attendants, though the crew had no prior knowledge of fumes or related issues during the flight. Maintenance deferred the APU to prevent further fume events. The crew expressed concerns about the lack of communication from the flight attendants regarding the suspected fume event and questioned the adequacy of maintenance's response. They recommended improved communication protocols between the cockpit and cabin crew, better access to quick reference materials for such situations, and a more thorough investigation of potential issues instead of deferred fixes.",operational issues
1937157,Flight Crew,Flight Attendant,"The incident arose from a miscommunication between the flight captain and a flight attendant regarding the handling of a smart bag. Contributing factors included the inexperience of the new ops agent and flight attendant, as well as the captain's distraction while retrieving food, leading to a lack of direct involvement in the bag's handling. The flight attendant initially gate-checked the smart bag, which was later identified as requiring special handling. The ops agent retrieved the bag from the cargo area after being notified. During the flight, the captain noticed the bag in the cabin and pointed out the policy violation. The flight attendant acknowledged the mistake, and the bag's handling was corrected. The smart bag was erroneously loaded into the cargo compartment but was later moved to the passenger cabin. The incident highlighted the need for improved communication and involvement by the captain, especially when dealing with safety-sensitive items like smart bags. The captain reflected on the need to be more involved in the handling of such items and recognized the impact of new staff and distractions on communication. This awareness serves as a lesson for future operations.",operational issues
1943492,Flight Attendant,Flight Crew,"The incident involved a hard landing followed by a tail strike, causing the aircraft to skid aggressively on the runway. After passengers deplaned, the initial pilots departed without debriefing the flight attendant. The new Captain was informed about the tail strike and subsequent leak. Maintenance attempted repairs but couldn't fix the issue, leading the Captain to decide against using the aircraft further. As a result, the plane was deferred, and a new aircraft was used.",operational issues
1981241,Flight Attendant,Ground Personnel,"The incident occurred when a passenger checked in a personal oxygen machine as baggage on an A320 flight. Upon landing, the Lead Flight Attendant (LFA) noticed the device and inquired about its origin, discovering it had been stored in the cargo hold. The flight attendant highlighted that such devices are prohibited due to safety risks, including potential fires or explosions. The proposed solution is for ground personnel to refuse loading such devices into checked baggage to prevent future safety hazards. The summary underscores the need for enhanced protocols to ensure passenger and aircraft safety.",operational issues
1788734,Flight Attendant,Ground Personnel,"The incident occurred after the aircraft arrived at the gate. The flight attendant requested the incoming cleaning crew to wait before boarding, as passengers were still deplaning, including those needing wheelchairs, and social distancing protocols were in place. The cleaners refused, citing instructions to proceed immediately. The captain reinforced the need to wait, explaining that pandemic procedures prevent quick turnaround and that cleaners posed a safety hazard by obstructing the aisle and galleys, hindering the crew's safety obligations. Despite the request, the cleaners persisted, leading to a safety risk that required immediate resolution. The flight attendant emphasized the necessity of adhering to safety protocols to ensure passenger and crew safety.",operational issues
1790572,Flight Attendant,Ground Personnel,"An incident occurred during a flight involving a misunderstanding between the flight attendant (Y) and the flight crew. After the doors closed, Y approached her colleague (X) to inform her of a disruptive passenger who refused to wear a mask. Y dealt with the passenger while X closed the doors and made an announcement, with both stating the cabin was secure. However, X assumed Y would finish her duties, and Y believed X had secured the cabin. The confusion arose when the captain opened the flight deck door, expecting the cabin to be secure but was unaware of the status. Both realized their mutual assumption led to the oversight. They re-secured the cabin and resumed the briefing, causing a delay. The incident was caused by both parties' distractions and mutual assumptions, highlighting the need for clearer communication protocols to prevent such misunderstandings. Implementing a check system or specific confirmation procedure could enhance future operations.",operational issues
1797439,Flight Attendant,Ground Personnel,"A conflict occurred between a flight attendant (Party 1) and ground personnel (Party 2) during the disembarkation process of a flight at ZZZ airport. The incident arose due to a ""quick-turn"" operation, where the cleaning crew boarded the aircraft before all passengers had disembarked. This led to confusion as passengers, cleaning staff, and crew members were moving through the cabin simultaneously. The flight attendant was unaware of the situation escalating, as she was focused on her usual duties, including calling rows to deplane and ensuring passenger safety. During the process, she noticed the cleaning crew slipping onboard in casual attire, which blended them in with passengers and crew. Pilots were also leaving the aircraft, adding to the chaos. The flight attendant assumed all passengers had disembarked after seeing the last passenger, who resembled a cleaner, and stepped off the plane. However, a male passenger had remained onboard, intermixed with the cleaning crew and crew members. He was eventually found after his boarding pass was located under his seat. Contributing factors included the quick turnaround procedure, the lack of distinction in clothing between cleaning staff and other individuals onboard, and the presence of multiple ground staff and crew members in the jet-bridge and cabin. The flight attendant noted that double-checking passengers and crew for proper identification could help prevent such confusion in the future. She also expressed concerns about passengers removing or lowering their masks, which could further complicate the deplaning process. As a result of the incident, the flight attendant planned to alert corporate security to the situation and the potential for similar confusion during future disembarkations.",operational issues
