ACN,Party1_Role,Party2_Role,objective_summary,label
1790572,Flight Attendant,Ground Personnel,"An incident occurred during a flight involving a misunderstanding between the flight attendant (Y) and the flight crew. After the doors closed, Y approached her colleague (X) to inform her of a disruptive passenger who refused to wear a mask. Y dealt with the passenger while X closed the doors and made an announcement, with both stating the cabin was secure. However, X assumed Y would finish her duties, and Y believed X had secured the cabin. The confusion arose when the captain opened the flight deck door, expecting the cabin to be secure but was unaware of the status. Both realized their mutual assumption led to the oversight. They re-secured the cabin and resumed the briefing, causing a delay. The incident was caused by both parties' distractions and mutual assumptions, highlighting the need for clearer communication protocols to prevent such misunderstandings. Implementing a check system or specific confirmation procedure could enhance future operations.",passenger-related issues
1791338,Flight Attendant,Flight Crew,"The incident involved a misunderstanding between a flight attendant and the flight crew regarding the cabin security process. The flight attendant was distracted by a disruptive passenger who refused to wear a mask, leading to an oversight in communication. After addressing the passenger, the flight attendant assumed the flight crew had been informed that the cabin was secure. Similarly, the flight crew believed the flight attendant had communicated the cabin's readiness. This mutual assumption resulted in the cabin not being properly secured before the safety briefing began. Approximately one minute into the briefing, the captain noticed the lack of communication and informed the flight attendant, prompting both parties to re-secure the cabin promptly. The incident was attributed to the distraction caused by the disruptive passenger and the crew's assumption that the other party had handled their respective duties. A potential solution identified was to improve communication protocols and account for habits like the pilots closing the flight deck door for warmth.",passenger-related issues
1736305,Flight Attendant,Flight Attendant,"The incident was triggered by a medical situation involving a sick passenger on board a flight from ZZZ to ZZZ1. The flight attendants encountered a vomit episode in the forward lavatory, attributed to a national health concern, and promptly alerted the captain. They maintained effective communication with the flight deck, ensuring the situation was managed with care. The crew coordinated with medical services,Dispatch, and Station Ops, leading to the decision to allow passengers to deplane after the aircraft was cleaned. Additionally, the attendants comforted a passenger whose mother was gravely ill. The flight attendants successfully managed the medical incident, ensuring passenger safety and comfort. Passengers were permitted to deplane post-cleaning, adhering to safety protocols amidst the pandemic, thus resolving the situation effectively.",passenger-related issues
1748574,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant was assisting the purser with boarding procedures, including welcoming passengers and distributing hand sanitizer wipes. While en route to perform her exit row verification-briefing, a passenger from row 10 requested to move to an open seat in the same row instead of sitting in her assigned seat. The flight attendant instructed the passenger to remain seated and approached the purser to seek approval for the seat change. After accommodating the passenger's request, the flight attendant inadvertently bypassed her exit row briefing. Later, during her pre-flight preparations, the flight attendant realized she had not completed the exit row briefing. Upon reaching 10,000 feet and being cleared to move, she promptly returned to her exit row, apologized to the passenger, and conducted the required briefing. She acknowledged that the distraction caused by accommodating the passenger led to her oversight and assured the crew of her commitment to being more diligent in the future.",passenger-related issues
1749900,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger regarding the passenger's refusal to wear a face mask during the flight. The passenger was argumentative and claimed to have a disability, stating that they had informed the airline beforehand and believed the information was in their profile. However, the airline's records did not reflect this. The flight attendant and the captain repeatedly requested compliance with the airline's mask policy. Eventually, the passenger complied with the policy during the flight, resolving the situation.",passenger-related issues
1751692,Flight Attendant,Other,"During a flight, a **Flight Attendant (FA)** reported an incident involving a passenger, referred to as Passenger X, who exhibited unusual behavior. Passenger X used the restroom a total of **nine times** within a span of **1.5 to 2 hours**, which raised concerns among the crew and other passengers. Upon entering the restroom, Passenger X was heard coughing heavily, to the point of gagging, which worried two other passengers. When asked about his condition, he initially claimed it was due to allergies but later stated he was not feeling well because he had not eaten breakfast. The FA provided snack bags to all passengers and kept a close eye on Passenger X throughout the flight. Additionally, Passenger X was repeatedly reminded to wear his mask properly. The FA noted that he was reading or digging through his bags, which may have contributed to the need for mask reminders. The FA informed the Pilot-in-Command (PIC) about the situation, and the PIC requested that the FA check if there was a way to take Passenger X's temperature. Since the crew did not have a thermometer, the PIC suggested contacting a customer service agent to meet the flight. After landing, the PIC instructed the FA to ask Passenger X to remain seated until all other passengers had deplaned, so that someone could speak with him privately. Passenger X complied but was visibly unhappy and removed his mask in frustration. After noticing the FA's surprise, he quickly put the mask back on. Passenger X was the last to deplane and was met by a customer service agent at the gate. The FA later reported that Passenger X had used the forward restroom immediately after boarding the plane, adding to the total of nine restroom visits. His behavior created disturbances and safety concerns during the flight.",passenger-related issues
1752385,Flight Attendant,Other,"The incident involved a flight attendant (FA) and a passenger who refused to comply with face mask policies during a flight. The passenger initially boarded the plane without a mask but complied after being asked. The passenger was initially rowdy but did not cause significant issues until he began throwing almonds at another passenger. When asked to stop, he complied. However, throughout the flight, the passenger repeatedly removed his mask despite being asked multiple times by the flight attendant and another crew member. When the passenger attempted to argue against wearing the mask, claiming he had a test done and possibly a medical condition, the flight attendant questioned whether he had discussed this with a gate agent. The passenger responded with a threat, implying the flight attendant would not win. The flight attendant then contacted the cabin manager and informed the passenger that the mask policy was non-negotiable, leading to the passenger being met at the gate upon deplaning. After exiting the plane, the flight attendant felt unsafe due to a group of older and large men traveling with the disruptive passenger. The group boarded the same tram as the flight attendant and made loud comments about her enforcing mask policies. The flight attendant expressed a desire to feel safe and supported in her role.",passenger-related issues
1752685,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant encountered two passengers, seated in rows XXA and XXB, who were not wearing masks during boarding. The attendant advised them to comply with the airline's mask policy. During a later compliance check, the attendant noticed that passenger XXB had his mask improperly positioned, resting on his chin. Despite repeated requests, XXB refused to adjust his mask, becoming agitated and yelling that he couldn't breathe. The attendant explained the policy's importance for safety, and eventually, XXB complied. Later, a couple seated in rows XXC and XXD informed the attendant that they felt uncomfortable near XXB and requested a seat change. The attendant suggested row YY, and the couple expressed gratitude. However, upon the attendant's departure, XXB removed his mask again. For the remainder of the flight, XXB kept his face covered with his hands, making it difficult for the attendant to confirm proper mask usage. The couple reported feeling unsafe, and the incident concluded with XXB's continued non-compliance, leaving the couple distressed.",passenger-related issues
1753680,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant repeatedly requested a passenger to comply with the FAA's face mask policy. Despite multiple requests, the passenger ignored the instructions and responded with hostility and inappropriate language during the third attempt. The flight attendant documented the passenger's behavior due to their refusal to follow safety regulations and their disruptive demeanor. No specific resolution was proposed in the context provided.",passenger-related issues
1753809,Flight Attendant,Other,"The incident involved a flight attendant (Party1) and two passengers (Party2) in seats XX5 and XX6. During deplaning, several passengers approached the flight attendant to report that the two passengers had been spitting, wiping saliva, phlegm, and blood over their seating area, including seats, armrests, tray tables, window, and wall. The two passengers exited the aircraft before the other passengers could notify the flight attendant. The flight attendant terminated the flight and informed Operations to request cleaners to sanitize the affected area thoroughly. The blood was smeared in an X shape on the wall, likely from a small wound. The flight attendant noted that without the passengers' notification, the extent of the contamination would have gone unnoticed, as the saliva and secretions had dried by the time she could inspect the area. The flight attendant reflected on the need for updated passenger announcements to emphasize the seriousness of such misconduct and the potential consequences. No immediate solution was proposed for the passengers' actions, but the flight attendant emphasized the importance of addressing such behavior to protect other passengers, crew, and employees.",passenger-related issues
