ACN,Party1_Role,Party2_Role,objective_summary,label
2068792,Flight Attendant,Flight Attendant,"A flight attendant discovered an open biohazard bag containing soiled linens, wipes, and a dustpan behind the last row of economy seats after the plane had pushed back from the gate. The attendant, wearing gloves, investigated the contents and reported the issue to the captain. The crew decided to seal the bag and continue the flight, though they expressed discomfort with having the biohazard on board. The situation could have been prevented with more time for thorough cleaning and pre-boarding checks.",safety related
2102491,Flight Attendant,Flight Attendant,"The incident involved an off-duty Flight Attendant (Party1) who attempted to assist during a safety procedure on a flight. The aircraft experienced an issue with the landing gear, prompting the captain to conduct a preparation for land evacuation demonstration. During this time, Party1, who was in uniform and seated in the cabin, volunteered to assist by taking on the role of FA #8 at the jump seat in the aft galley. However, the Purser (Party2) denied this offer, instructing Party1 to return to their seat in the cabin, stating that only working Flight Attendants should be involved in the safety procedure. After landing, the off-duty Flight Attendants (deadhead crew) were reassigned to work the next departing flight, which caused significant fatigue due to being awake for approximately 27 hours. This decision was particularly challenging because the deadhead crew had less time available compared to the on-duty crew, who were subsequently released from their duties. The inconsistency in treatment and the denial of assistance led to frustration among the deadhead crew, who felt their efforts and well-being were overlooked despite being part of the same incident. A proposed solution is to ensure fair treatment and consideration for all crew members, including those deadheading, in such situations.",safety related
2175448,Flight Attendant,Flight Crew,"The incident occurred when a Flight Attendant attempted to close the main cabin door, mistakenly deploying the escape slide. The cause stemmed from the Flight Attendant's concern about the door's closure, which led her to reopen and check it. During this process, the slide deployed. The Flight Crew and airport officials coordinated the safe deplaning of passengers using the L2 door and air stairs. The result was a successful, injury-free evacuation. The debrief highlighted a miscommunication regarding the door status, leading to the incident. No explicit solution was proposed, but the situation was managed effectively, with the crew learning from the miscommunication.",safety related
1963800,Flight Crew,Flight Attendant,"A minor wake turbulence event occurred during the descent of an A321 flight. The flight crew did not contact the cabin crew post-incident, as they were in a critical phase of flight. Following landing, the cabin crew expressed concern about not being contacted. Although no injuries or damage occurred, the cabin crew felt reassurance could have been beneficial. The flight crew suggested improved communication between the cabin and cockpit, and highlighted the need for ATC notifications when following heavy aircraft.",safety related
1978886,Flight Attendant,Flight Attendant,"The incident involved a situation where the nose gear of a flight was reported to be malfunctioning, remaining in the down position. The captain informed the flight attendants, Person A and the narrator, of the issue and stated that they would circle to burn fuel and wait for further instructions from air traffic control. The attendants followed procedures, synchronized their watches, and prepared for further updates. After 14 minutes, the captain addressed the passengers, confirming the return to the original destination for a normal landing. Ten minutes later, the captain called the attendants to confirm that all gears, including the nose gear, were down and functioning properly, allowing for a safe landing. The attendants completed their pre-landing checks, made announcements, and ensured passenger safety. The plane landed as scheduled,Taxiied to the gate, and passengers were deplaned. The flight was then switched to another aircraft and departed from a different gate, concluding the incident without further complications.",safety related
1937157,Flight Crew,Flight Attendant,"The incident arose from a miscommunication between the flight captain and a flight attendant regarding the handling of a smart bag. Contributing factors included the inexperience of the new ops agent and flight attendant, as well as the captain's distraction while retrieving food, leading to a lack of direct involvement in the bag's handling. The flight attendant initially gate-checked the smart bag, which was later identified as requiring special handling. The ops agent retrieved the bag from the cargo area after being notified. During the flight, the captain noticed the bag in the cabin and pointed out the policy violation. The flight attendant acknowledged the mistake, and the bag's handling was corrected. The smart bag was erroneously loaded into the cargo compartment but was later moved to the passenger cabin. The incident highlighted the need for improved communication and involvement by the captain, especially when dealing with safety-sensitive items like smart bags. The captain reflected on the need to be more involved in the handling of such items and recognized the impact of new staff and distractions on communication. This awareness serves as a lesson for future operations.",safety related
1949120,Flight Attendant,Other,"The incident occurred during a flight when a flight attendant received a report from the captain of an unusual odor in the cabin. The flight attendant made an announcement requesting passengers to report any vaping activity or unusual behavior. During her investigation, she noticed Passenger A had a device under her coat that was emitting a sweet odor. Despite the flight attendant's request to hand over the device, Passenger A refused. The flight attendant confiscated the device and isolated it in the galley to identify the source of the odor. After the flight, Passenger A demanded the return of the device and verbally confronted the flight attendant. The flight attendant maintained professionalism and reported the incident to the captain. As a result, Passenger A was banned from the airline. The flight attendant concluded her actions as necessary for cabin safety.",safety related
1954832,Flight Attendant,Other,"The incident involved a conflict between a flight attendant and a passenger on a B737-700 flight. The passenger was advised by the flight attendant to refrain from using an electronic cigarette during the flight, as per safety regulations outlined in the safety demonstration. Despite being informed, the passenger did not comply and used the electronic cigarette both at his seat and in the forward lavatory. The flight attendant chose not to confront the passenger further due to his apparent agitation. The flight attendant subsequently reported the incident to the authorities. No further action or proposed solution was mentioned in the context.",safety related
1981241,Flight Attendant,Ground Personnel,"The incident occurred when a passenger checked in a personal oxygen machine as baggage on an A320 flight. Upon landing, the Lead Flight Attendant (LFA) noticed the device and inquired about its origin, discovering it had been stored in the cargo hold. The flight attendant highlighted that such devices are prohibited due to safety risks, including potential fires or explosions. The proposed solution is for ground personnel to refuse loading such devices into checked baggage to prevent future safety hazards. The summary underscores the need for enhanced protocols to ensure passenger and aircraft safety.",safety related
1788734,Flight Attendant,Ground Personnel,"The incident occurred after the aircraft arrived at the gate. The flight attendant requested the incoming cleaning crew to wait before boarding, as passengers were still deplaning, including those needing wheelchairs, and social distancing protocols were in place. The cleaners refused, citing instructions to proceed immediately. The captain reinforced the need to wait, explaining that pandemic procedures prevent quick turnaround and that cleaners posed a safety hazard by obstructing the aisle and galleys, hindering the crew's safety obligations. Despite the request, the cleaners persisted, leading to a safety risk that required immediate resolution. The flight attendant emphasized the necessity of adhering to safety protocols to ensure passenger and crew safety.",safety related
