ACN,Party1_Role,Party2_Role,objective_summary,label
2100755,Flight Attendant,Ground Personnel,"The incident arose from a security breach involving a gate-checked bag containing spare lithium-ion batteries. The flight attendant cited unclear company policies on lithium-ion batteries and excessive enforcement of carry-on policies by ground personnel as contributing factors. The flight attendant suggested that such bags should not be gate-checked, underscoring the importance of improved guidelines and staff training to prevent future breaches.",training
2119017,Flight Attendant,Ground Personnel,"The incident involved a flight attendant who was informed by a passenger that their checked luggage contained an electric razor and a camera, potentially housing lithium batteries. The attendant initially failed to notify Operations or the Captain, possibly due to uncertainty about the items. Upon realizing the oversight, the attendant informed an Operations Agent upon arrival, leading to the passenger's bags being pulled before their connecting flight. The attendant reflected on the importance of safety and suggested enhancing procedures to reduce human error through better screening of checked baggage for lithium batteries.",training
2182306,Flight Attendant,Ground Personnel,"The incident involved a Flight Attendant and Ground Personnel, with the Flight Attendant being required to check their flight bag due to lithium batteries. The cause was attributed to poor training among the Ground Personnel, leading to the forced surrender of lithium-ion batteries and their placement in the cargo hold. Despite the Flight Attendant's attempt to explain that they were within carry-on limits and that the bag contained necessary manuals, the situation remained unresolved. The summary highlights the conflict arising from regulatory enforcement and the resulting actions taken by the Ground Personnel.",training
1794733,Flight Attendant,Other,"The incident involved a flight attendant (FA) who failed to conduct an exit row safety briefing during the first leg of a flight due to a lapse in memory. The FA, who had been on extended leave for over a year due to COVID-19-related schedule reductions, attributed the oversight to the disruption of routine caused by the extended absence. The mistake was discovered during the boarding process of the second flight, when the FA was about to conduct the exit row briefing and realized the omission. To prevent recurrence, the FA proposed refreshing their memory and reviewing the work manual to ensure adherence to flight duties. The incident was reported as a safety concern.",training
1803987,Flight Crew,Flight Attendant,"The incident occurred during a flight when the First Officer (FO) and Captain (CA) were both absent from the cockpit, leaving the aircraft uncontrolled. The First Officer had informed the Captain of the need to use the lavatory, and the flight attendants (FAs) were expected to manage the cockpit exchange. However, during the crew swap, the flight deck door was opened, and the Captain entered the cockpit while no pilot was seated at the controls. Simultaneously, the A FA was in the process of moving from the FO's seat to the Captain's seat, creating a dangerous situation. The FO returned to the cockpit, retook control, and addressed the unsafe procedure with the Captain. The B FA also expressed concerns about the improper exchange. The incident was reported to the Pilot Union Professional Standards, and the FO used it as a teaching moment to emphasize the importance of proper cockpit procedures. The event highlights a critical lapse in safety protocols and underscores the need for adherence to established procedures.",training
1739626,Flight Crew,Flight Attendant,"The incident involved an ERJ145 aircraft during its morning flight. The captain released the parking brake but failed to re-engage it, causing the aircraft to move on the ramp after the engines were started. The first officer, noticing the movement, applied both the brakes and the parking brake, resulting in an abrupt stop. A flight attendant sustained injuries from the sudden stop, including whiplash and bruising. The primary causes of the incident were the captain's oversight in not re-engaging the parking brake after releasing it and the first officer's overreaction to the aircraft's movement. The captain acknowledged a lapse in vigilance during ramp operations without proper communication from ground staff and attributed the first officer's actions to his recent completion of initial operating experience (IOE), indicating a lack of line operation experience. The captain learned the importance of being more vigilant when taxiing without a tug and emphasized the need to address ramp operation threats during pre-flight briefings. Additionally, the incident highlighted the importance of effective crew resource management (CRM) and clear communication to prevent similar occurrences.",training
1752712,Flight Attendant,Flight Attendant,"The incident occurred during a flight when one flight attendant (Party 1) chose to sit in an aft-facing jumpseat instead of their assigned seat, avoiding passenger interaction. The reporting flight attendant (Party 2) attempted to explain the importance of occupying the assigned jumpseat. After landing, when the reporter mentioned filing a report, Party 1 became upset, screaming and suggesting the reporter leave or seek medical help. Despite efforts to reason, no resolution was reached. As a result, the reporter documented the incident, and Party 1 was recommended for additional training on jumpseat protocols.",training
1755324,Flight Crew,Flight Attendant,"The incident occurred on flight ABCD between ZZZ and ZZZ1. The flight attendant noticed the lavatory sink had no water and informed the captain, who decided to depart as scheduled, assuming the water tank was empty and couldn't be refilled at the outstation. However, upon arrival, ground operations had refilled the water, but the sink remained inoperative, causing a delay in the next flight. The captain later regretted not following standard procedures, particularly due to COVID-19 considerations. The solution emphasized adhering to SOPs to prevent similar issues.",training
1757896,Flight Attendant,Other,"The flight attendant was distracted due to a 1-hour and 15-minute delay, followed by an aircraft swap, leading to a rushed departure preparation. While preparing for the flight, the attendant focused on COVID-related announcements, mistakenly using an outdated safety demonstration instead of the current one. The error was reported, highlighting the need for crew efficiency under time constraints. No specific solution was proposed in the documentation.",training
1758517,Flight Attendant,Other,"The incident involved a flight attendant who noticed a commuting captain not wearing a mask throughout the flight, prompting a request to do so. The captain refused, citing the need to hold an open bottle of water. Post-flight, the captain questioned the mask policy and criticized the flight attendant for being ""demanding."" The flight attendant emphasized the captain's role in setting safety standards and felt the captain's actions were non-compliant with procedures. Key considerations include the justification for the captain's refusal, the impact on passenger safety perceptions, and the need for clear policies and training to handle such situations. Solutions may involve updating guidelines to accommodate mask-wearing while managing items, improving communication strategies, and reinforcing the importance of safety protocols. The incident underscores the balance between safety and practicality, highlighting the need for effective conflict resolution and policy enforcement.",training
